mechanism_tag,mechanism_name,mechanism_family,valid_deduplicated_event_count,municipality_count,state_count,safety_event_count,non_safety_event_count,unclear_or_other_event_count,display_tier,definition,analytical_unit,caption
none_identified,None Identified,pressure_channel,3694,1156,42,1672,128,1894,standalone,No specific compensation mechanism was identified in the retained event record.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 3,694 distinct documented none identified implementation events across 1,156 municipalities in 42 states. No specific compensation mechanism was identified in the retained event record. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
payroll_effective_date,Payroll Effective Date,timing_implementation,1876,1119,42,786,105,985,standalone,The date a compensation change became operative in payroll administration.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 1,876 distinct documented payroll effective date implementation events across 1,119 municipalities in 42 states. The date a compensation change became operative in payroll administration. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
retroactive,Retroactive,timing_implementation,1418,922,42,597,52,769,standalone,A compensation change applied to an earlier effective period.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 1,418 distinct documented retroactive implementation events across 922 municipalities in 42 states. A compensation change applied to an earlier effective period. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
retroactive_pay,Retroactive Pay,compensation_outcome,1418,922,42,597,52,769,standalone,Back pay issued after a compensation term took effect or was settled.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 1,418 distinct documented retroactive pay implementation events across 922 municipalities in 42 states. Back pay issued after a compensation term took effect or was settled. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
recurring,Recurring,timing_implementation,720,515,35,337,27,356,standalone,A compensation component that continues rather than ending after one payment.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 720 distinct documented recurring implementation events across 515 municipalities in 35 states. A compensation component that continues rather than ending after one payment. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
fiscal_constraint,Fiscal Constraint,pressure_channel,619,395,33,152,69,398,standalone,Budget pressure or limited fiscal capacity that constrained compensation choices.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 619 distinct documented fiscal constraint implementation events across 395 municipalities in 33 states. Budget pressure or limited fiscal capacity that constrained compensation choices. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
budget_pay_plan_process,Budget Pay Plan Process,institutional_channel,617,391,31,146,68,403,standalone,A budget or pay-plan process that formally set or revised compensation.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 617 distinct documented budget pay plan process implementation events across 391 municipalities in 31 states. A budget or pay-plan process that formally set or revised compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
no_direct_compensation_outcome,No Direct Compensation Outcome,compensation_outcome,544,375,28,142,60,342,standalone,A documented administrative event without a direct pay outcome in the retained evidence.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 544 distinct documented no direct compensation outcome implementation events across 375 municipalities in 28 states. A documented administrative event without a direct pay outcome in the retained evidence. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
across_the_board_raise,Across The Board Raise,compensation_outcome,373,298,34,178,11,184,standalone,The same general increase applied across covered roles or classifications.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 373 distinct documented across the board raise implementation events across 298 municipalities in 34 states. The same general increase applied across covered roles or classifications. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
one_time,One Time,timing_implementation,299,242,25,139,10,150,standalone,A payment or adjustment that does not recur in the regular base schedule.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 299 distinct documented one time implementation events across 242 municipalities in 25 states. A payment or adjustment that does not recur in the regular base schedule. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
non_base_compensation_other,Non Base Compensation Other,compensation_outcome,292,195,18,174,12,106,standalone,Compensation outside regular base wages that did not fit a more specific category.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 292 distinct documented non base compensation other implementation events across 195 municipalities in 18 states. Compensation outside regular base wages that did not fit a more specific category. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
ordinance_council_adoption,Ordinance Council Adoption,institutional_channel,255,221,33,61,17,177,standalone,A council or ordinance action formally approving a compensation change.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 255 distinct documented ordinance council adoption implementation events across 221 municipalities in 33 states. A council or ordinance action formally approving a compensation change. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
ordinance_adoption,Ordinance Adoption,timing_implementation,206,188,35,50,12,144,standalone,Formal adoption of compensation terms through an ordinance.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 206 distinct documented ordinance adoption implementation events across 188 municipalities in 35 states. Formal adoption of compensation terms through an ordinance. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
unclear,Unclear,timing_implementation,140,127,19,55,12,73,standalone,The retained evidence points to a compensation event but does not identify the mechanism clearly.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 140 distinct documented unclear implementation events across 127 municipalities in 19 states. The retained evidence points to a compensation event but does not identify the mechanism clearly. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
base_wage_change,Base Wage Change,compensation_outcome,120,98,19,59,3,58,standalone,A change to the recurring base wage or salary rate.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 120 distinct documented base wage change implementation events across 98 municipalities in 19 states. A change to the recurring base wage or salary rate. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
step_progression,Step Progression,compensation_outcome,87,74,18,45,7,35,standalone,"Movement through a salary schedule based on steps, service, rank, or progression rules.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 87 distinct documented step progression implementation events across 74 municipalities in 18 states. Movement through a salary schedule based on steps, service, rank, or progression rules. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
cola_cpi_adjustment,COLA CPI Adjustment,compensation_outcome,79,61,23,35,5,39,standalone,"A cost-of-living adjustment, sometimes linked to inflation or a price index.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 79 distinct documented cola cpi adjustment implementation events across 61 municipalities in 23 states. A cost-of-living adjustment, sometimes linked to inflation or a price index. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
uniform_or_equipment_allowance,Uniform Or Equipment Allowance,compensation_outcome,68,56,13,36,4,28,standalone,"A payment for required uniforms, equipment, maintenance, or related costs.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 68 distinct documented uniform or equipment allowance implementation events across 56 municipalities in 13 states. A payment for required uniforms, equipment, maintenance, or related costs. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
benefit_cost_change,Benefit Cost Change,compensation_outcome,65,53,15,28,5,32,standalone,"A change in benefit value, employee contributions, or employer benefit costs.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 65 distinct documented benefit cost change implementation events across 53 municipalities in 15 states. A change in benefit value, employee contributions, or employer benefit costs. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
budget_appropriation,Budget Appropriation,timing_implementation,64,58,24,17,6,41,standalone,A budget allocation that authorized or funded compensation.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 64 distinct documented budget appropriation implementation events across 58 municipalities in 24 states. A budget allocation that authorized or funded compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
stipend_or_premium,Stipend Or Premium,compensation_outcome,62,52,15,30,1,31,standalone,"A supplemental payment for assignments, qualifications, shifts, or special duties.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 62 distinct documented stipend or premium implementation events across 52 municipalities in 15 states. A supplemental payment for assignments, qualifications, shifts, or special duties. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
settlement_or_mou,Settlement Or MOU,institutional_channel,58,48,19,27,4,27,standalone,A settlement or memorandum of understanding that changed compensation terms.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 58 distinct documented settlement or mou implementation events across 48 municipalities in 19 states. A settlement or memorandum of understanding that changed compensation terms. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
market_recruitment_retention,Market Recruitment Retention,pressure_channel,44,35,16,17,5,22,standalone,"Pay action justified by labor-market competition, hiring, or retention pressure.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 44 distinct documented market recruitment retention implementation events across 35 municipalities in 16 states. Pay action justified by labor-market competition, hiring, or retention pressure. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
classification_band_change,Classification Band Change,compensation_outcome,43,40,13,19,2,22,standalone,"A change to job classification, pay grade, range, or band.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 43 distinct documented classification band change implementation events across 40 municipalities in 13 states. A change to job classification, pay grade, range, or band. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
longevity,Longevity,compensation_outcome,40,35,13,18,1,21,standalone,Additional compensation tied to years of service.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 40 distinct documented longevity implementation events across 35 municipalities in 13 states. Additional compensation tied to years of service. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
overtime,Overtime,compensation_outcome,38,36,15,15,2,21,standalone,Compensation for hours or duties beyond regular schedules.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 38 distinct documented overtime implementation events across 36 municipalities in 15 states. Compensation for hours or duties beyond regular schedules. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
inflation_indexing,Inflation Indexing,pressure_channel,31,22,8,21,0,10,standalone,A compensation rule explicitly linked to inflation or an index.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 31 distinct documented inflation indexing implementation events across 22 municipalities in 8 states. A compensation rule explicitly linked to inflation or an index. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
holiday_pay,Holiday Pay,compensation_outcome,22,19,9,13,1,8,small_multiple,Premium or additional compensation for holidays.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 22 distinct documented holiday pay implementation events across 19 municipalities in 9 states. Premium or additional compensation for holidays. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
lump_sum,Lump Sum,compensation_outcome,18,16,6,14,0,4,small_multiple,A single lump-sum payment rather than a recurring wage-rate increase.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 18 distinct documented lump sum implementation events across 16 municipalities in 6 states. A single lump-sum payment rather than a recurring wage-rate increase. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
bargaining_leverage,Bargaining Leverage,pressure_channel,17,15,6,12,1,4,small_multiple,Evidence that negotiating leverage shaped compensation terms.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 17 distinct documented bargaining leverage implementation events across 15 municipalities in 6 states. Evidence that negotiating leverage shaped compensation terms. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate."
