aggressive_tier,caveat,claim_links,computed_percentage,corroboration_status,direction,directional_value_retained,formula,magnitude,mechanism,municipality,period,raw_values,relaxation_rule,reported_percentage,reproduced,result_id,semantic_outcome,side,source_basis,source_coordinates,source_count,source_ids,source_record_id,staffing_review_class,staffing_type,state,stored_percentage,strict_eligibility,unit_type
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,0.0,corroborated,neutral_or_unspecified,,(later-prior)/prior*100,0.0,base_wage_schedule_change,Manley,2017->2018,"[""$12.50"", ""$12.50"", """"]",GROWTH-2,,True,AGGRES-3157c57ca9ee65bebd34c6b2,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-6b7a586b12eaee5206fc34b5"", ""prior_span_id"": ""B4X2500SPAN-20260730-10013106cc853a9ef665047b"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-462f764253a1eca54609,,,NE,0.0,strong_named_position_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,15.384615384615385,corroborated,positive,,(later-prior)/prior*100,15.384615,base_wage_schedule_change,Nutley,2022->2023,"[""$13.00; $20.00"", ""$15.00; $25.00"", """"]",GROWTH-2,,True,AGGRES-e1435bcd3915d646e7d82aa2,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-b0c43228741f13df39460bbe"", ""prior_span_id"": ""B4X2500SPAN-20260730-f2097ad8c7b2c26956538f5d"", ""span_id"": """"}",3,3,B4X2500GROWTHCONT-d5020bc5beb3d63f5cc0,,,NJ,15.384615,strong_named_position_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,4.04624277456649,corroborated,positive,,(later-prior)/prior*100,4.046243,base_wage_schedule_change,Monongahela,2022->2024,"[""$32.87"", ""$34.20"", """"]",GROWTH-2,,True,AGGRES-70dc34b4af128ee35ec0e6e2,uphold_tier_2_with_narrower_wording,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-edaa7a3a020a4fbd3367d331"", ""prior_span_id"": ""B4X2500SPAN-20260730-9ef6ced9733db2fcc0c9f31c"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-7b7f91f0c2c8acacf1b8,,,PA,4.046243,strong_named_position_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,1.8999612252811242,corroborated,positive,,(later-prior)/prior*100,1.899961,base_wage_schedule_change,Fletcher,2019->2020,"[""$25.79"", ""$26.28"", """"]",GROWTH-2,,True,AGGRES-96a455bfe26e6f98490383b9,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-012bf8cead7934237b78c3de"", ""prior_span_id"": ""B4X2500SPAN-20260730-a22ebf0850935e179f89db9b"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-7475c696dd64eb78b50d,,,VT,1.899961,strong_named_position_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,3.014818599897802,corroborated,positive,,(later-prior)/prior*100,3.014819,base_wage_schedule_change,Vershire,2021->2022,"[""$19.57"", ""$20.16"", """"]",GROWTH-2,,True,AGGRES-5191ec9e3f4606bff37caa91,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-ffea126559aa654be3497ee0"", ""prior_span_id"": ""B4X2500SPAN-20260730-fef1069420116d179f432121"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-1378bf1e9b1f59d540a9,,,VT,3.014819,strong_named_position_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,3.0163934426229564,corroborated,positive,,(later-prior)/prior*100,3.016393,base_wage_schedule_change,Vershire,2021->2022,"[""$15.25"", ""$15.71"", """"]",GROWTH-2,,True,AGGRES-054fe2010a4621503ae885c0,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-22bc2673ca99923709eed3b8"", ""prior_span_id"": ""B4X2500SPAN-20260730-778ec813465a51a5738bf9d8"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-dc47b522c2b1bc492468,,,VT,3.016393,strong_named_position_match,growth
tier_2_bounded_analytically_usable,descriptive channel evidence only; no causal effect and isolated levels are not changes,MECH-06,,not_corroborated,channel_consistent,,,,,cog_2025_170601,2020,"[""$6.0""]",STAFF-2,,,AGGRES-7770d125784ab4abee283cad,uphold_tier_2_with_narrower_wording,non_safety,"emic will most likely materialize in fiscal years 2022-23 and 2023-24, based on how the rates are calculated by the New York State Comptroller. Also included within fringe benefits is a salary adjustment line budgeted at $4.9 million in 2020- 21 and decreasing to $3.4 million in 2023-24, representing a decrease of $1.5 million, or 30.6 percent, over the Financial Plan. The Administration included a new hiring freeze line budgeted at $6.0 million in the second out- year of the Financial Plan that is reduced to $4.5 million in years three and four. This reflects the Administration’s need to control expenditures in the outyears of the plan by not filling vacant positions and this budget mechanism reduces total fringe benefits by $6.0 million in FY 2022 and $4.5 million in FY 2023 and 2024. All other fringe benefits are static or have minimal increases budgeted over the Financ","{""character_end"": ""209240"", ""character_start"": ""209236"", ""column"": """", ""page"": ""69"", ""row"": """", ""table_id"": """"}",1,EXTSOURCE-894b60205de697699c3b5d2e,EXTRECON-cbdcc133abcf8005596cd322,direct_channel_evidence,hiring_freeze,NY,,staffing_hypothesis_ready,staffing
tier_2_bounded_analytically_usable,descriptive channel evidence only; no causal effect and isolated levels are not changes,,,not_corroborated,channel_consistent,,,,,cog_2025_207659,2014,"[""5,000""]",STAFF-2,,,AGGRES-42ef61f8982997ae94addc7f,uphold_tier_2_with_narrower_wording,non_safety,"ervices, and opposed staff layoffs. 59) Mr. Julio Granda, 980 SW 44 Avenue, representing several employees of Miami-Dade Library in support of fully funding library services, and opposed library staff layoffs. 60) Ms. Ricci Yuhico, 15688 SW 85 Lane, representing several employees of Miami-Dade Library in support of fully funding library services, and opposed library staff layoffs. She provided for the record, a stack of petitions containing over 5,000 signatures in support of Libraries (See Exhibits). 61) Mr. Brian Colleary, 3545 NE 166 Street, spoke in support of funding/maintaining the library services and the U-Media Center at the North Dade Regional Branches. 62) Ms. Ellen Book Berger, 2706 N. Greenway Drive, Coral Gables, spoke in support of the Mayor’s original proposed millage rate and fully funding the Libraries. 63) Mr. Michael Rosenberg, 13030 N. Calusa Club Drive, spoke in support","{""character_end"": ""24758"", ""character_start"": ""24753"", ""column"": """", ""page"": """", ""row"": """", ""table_id"": """"}",1,EXTSOURCE-a092e903152582464e68dbc0,EXTRECON-9dba7945a45396a78a844fb5,direct_channel_evidence,layoffs,FL,,staffing_hypothesis_ready,staffing
tier_2_bounded_analytically_usable,descriptive channel evidence only; no causal effect and isolated levels are not changes,MECH-06,,not_corroborated,channel_consistent,,,,,cog_2025_109723,2024,"[""2""]",STAFF-2,,,AGGRES-dff21ef350b089f73572e4de,uphold_tier_2_with_narrower_wording,non_safety,"in effect through April 2023).[13] [14] It also reduced authorized positions by 1,064 in FY 2024 (from 302,402 as of budget adoption to 301,338 as of the most recent April 2024 financial plan) largely through the elimination of vacancies as part of another PEG in November 2023, offset by some increases in successive plans. Growth in actual positions has since stagnated. In February, the Adams Administration eased the hiring freeze, now allowing 2-for-1 hiring in agencies again. As of May 2024, the City’s actual full-time workforce totaled 284,201, 94.1 percent of the pre-pandemic peak, down very slightly from November 2023. The vacancy rate stood at 5.7 percent. === H3 152 === Variation in Employee Categories === P 153 === The City’s workforce is composed of three main classes of employees (found in the Dashboard as “Employee Categories”). They are: pedagogical, such as teachers, princ","{""character_end"": ""20515"", ""character_start"": ""20514"", ""column"": """", ""page"": """", ""row"": """", ""table_id"": """"}",1,EXTSOURCE-64670a4e0a8e8938d899afdc,EXTRECON-5dd7d99a491447164da43a4e,direct_channel_evidence,hiring_freeze,NY,,staffing_hypothesis_ready,staffing
tier_2_bounded_analytically_usable,descriptive channel evidence only; no causal effect and isolated levels are not changes,,,not_corroborated,channel_consistent,,,,,cog_2025_207659,2014,"[""5,000""]",STAFF-2,,,AGGRES-70394126da89da99e61d6ca2,uphold_tier_2_with_narrower_wording,non_safety,"ervices, and opposed staff layoffs. 59) Mr. Julio Granda, 980 SW 44 Avenue, representing several employees of Miami-Dade Library in support of fully funding library services, and opposed library staff layoffs. 60) Ms. Ricci Yuhico, 15688 SW 85 Lane, representing several employees of Miami-Dade Library in support of fully funding library services, and opposed library staff layoffs. She provided for the record, a stack of petitions containing over 5,000 signatures in support of Libraries (See Exhibits). 61) Mr. Brian Colleary, 3545 NE 166 Street, spoke in support of funding/maintaining the library services and the U-Media Center at the North Dade Regional Branches. 62) Ms. Ellen Book Berger, 2706 N. Greenway Drive, Coral Gables, spoke in support of the Mayor’s original proposed millage rate and fully funding the Libraries. 63) Mr. Michael Rosenberg, 13030 N. Calusa Club Drive, spoke in support","{""character_end"": ""77353"", ""character_start"": ""77348"", ""column"": """", ""page"": """", ""row"": """", ""table_id"": """"}",1,EXTSOURCE-a092e903152582464e68dbc0,EXTRECON-5dfcbc606cb97f96ca5eaed3,direct_channel_evidence,layoffs,FL,,staffing_hypothesis_ready,staffing
