non_scalar_structuring_id,normalization_id,original_value_type,original_normalized_value,original_value_candidates,non_scalar_structure_type,non_scalar_structuring_status,structured_value_count,fake_scalar_created,structuring_basis,source_locator_lineage
BRMNSRES-88710f571ba887e68a1034e2,BRMQNORM-20260803-0001d204e3083ffa11178fb4,,,[],non_base_amount,structured_without_scalar_collapse,0,false,value_type=missing;pay_basis=allowance;evidence_category=quant_allowance_or_reimbursement,"{""candidate_id"": ""BRM5C-BRM5-20260731-05046-02"", ""final"": ""https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/6723970b97e4e117adfca55c/1730385675756/ActiveContract%2B-%2BBaxter%2BSergeants%2B-%2B12-31-2025.pdf"", ""original"": ""https://static1.squarespace.com/static/66b147b5fbc8bf54fa5072be/t/6723970b97e4e117adfca55c/1730385675756/ActiveContract%2B-%2BBaxter%2BSergeants%2B-%2B12-31-2025.pdf"", ""scout_target_id"": ""BRM5-20260731-05046""}"
BRMNSRES-1f279a593d527ceb4fbd6df1,BRMQNORM-20260803-0019c67d5a7b6139d3b33aa0,,,[],budget_or_pay_plan_context,structured_without_scalar_collapse,0,false,value_type=missing;pay_basis=budget_amount;evidence_category=qual_non_base_compensation_mechanism,"{""candidate_id"": ""BRM5C-BRM5-20260731-18678-01"", ""final"": ""https://seagravestx.us/docs/public-notices/approved-budget-2025-2026.pdf"", ""original"": ""https://www.seagravestx.us/docs/public-notices/approved-budget-2025-2026.pdf"", ""scout_target_id"": ""BRM5-20260731-18678""}"
BRMNSRES-f0a1a35397fdc5130a3844ad,BRMQNORM-20260803-002774e291c25766cf48352d,currency_amount,12.07,[12.07],scalar_value,not_non_scalar_structure,1,false,value_type=currency_amount;pay_basis=monthly;evidence_category=quant_base_wage_direct_value,"{""candidate_id"": ""BRM5C-BRM5-20260731-14370-02"", ""final"": ""https://brightontwp.org/wp-content/uploads/2023/12/Board-of-Sup-min11.13.2023.pdf"", ""original"": ""https://brightontwp.org/wp-content/uploads/2023/12/Board-of-Sup-min11.13.2023.pdf"", ""scout_target_id"": ""BRM5-20260731-14370""}"
BRMNSRES-7c7cdd15f68dea9a54448e0d,BRMQNORM-20260803-00396f477d2d99f08596e07d,,,[],non_base_amount,structured_without_scalar_collapse,0,false,value_type=missing;pay_basis=allowance;evidence_category=quant_allowance_or_reimbursement,"{""candidate_id"": ""BRM5C-BRM5-20260731-17930-02"", ""final"": ""https://townoffortannny.gov/uploads/7/3/6/3/73635113/1.13.25_tbm___organizational_meeting_minutes.pdf"", ""original"": ""https://www.townoffortannny.gov/uploads/7/3/6/3/73635113/1.13.25_tbm___organizational_meeting_minutes.pdf"", ""scout_target_id"": ""BRM5-20260731-17930""}"
BRMNSRES-6a304cbc982c199a62fbcce7,BRMQNORM-20260803-004400e5f13287d7c9b8a2e3,,,[],budget_or_pay_plan_context,structured_without_scalar_collapse,0,false,value_type=missing;pay_basis=budget_amount;evidence_category=qual_non_base_compensation_mechanism,"{""candidate_id"": ""BRM5C-BRM5-20260731-03092-01"", ""final"": ""https://static-gcs.edit.site/users-files/4f05183b03da372c2a98445a02f51fd2/2022-2023-st-johnsville-budget-final%283%29.pdf"", ""original"": ""https://static-gcs.edit.site/users-files/4f05183b03da372c2a98445a02f51fd2/2022-2023-st-johnsville-budget-final%283%29.pdf?dl=1"", ""scout_target_id"": ""BRM5-20260731-03092""}"
BRMNSRES-4e0bbcac10e7ad907bb55e95,BRMQNORM-20260803-00483a69cc1c55342a75e42a,,,[],budget_or_pay_plan_context,structured_without_scalar_collapse,0,false,value_type=missing;pay_basis=budget_amount;evidence_category=quant_budget_or_pay_plan_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-02772-03"", ""final"": ""https://cms4files1.revize.com/marshfieldwi/Human%20Resources/Policies%20%26%20Procedures/2025-2026%20Salary%20Schedule%20Marshfield%20-%20Website%20Info.pdf"", ""original"": ""https://cms4files1.revize.com/marshfieldwi/Human%20Resources/Policies%20%26%20Procedures/2025-2026%20Salary%20Schedule%20Marshfield%20-%20Website%20Info.pdf"", ""scout_target_id"": ""BRM5-20260731-02772""}"
BRMNSRES-9f71e307cfc2637f36175a45,BRMQNORM-20260803-004c72492f5829efbcca89c7,currency_amount,28.8,[28.8],scalar_value,not_non_scalar_structure,1,false,value_type=currency_amount;pay_basis=hourly;evidence_category=quant_base_wage_direct_value,"{""candidate_id"": ""BRM5C-BRM5-20260731-05453-01"", ""final"": ""https://townofaugustamo.org/april-4-2022-meeting-minutes-highlights"", ""original"": ""https://www.townofaugustamo.org/april-4-2022-meeting-minutes-highlights/"", ""scout_target_id"": ""BRM5-20260731-05453""}"
BRMNSRES-3dc791737b8a4f19b37e5573,BRMQNORM-20260803-0076a52fdca6d2e21f407c00,currency_amount,85.0,[85.0],budget_or_pay_plan_context,structured_without_scalar_collapse,1,false,value_type=currency_amount;pay_basis=budget_amount;evidence_category=quant_budget_or_pay_plan_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-10217-01"", ""final"": ""https://storage.googleapis.com/juniper-media-library/65/2025/09/2025%20Adopted%20Budget.pdf"", ""original"": ""https://storage.googleapis.com/juniper-media-library/65/2025/09/2025%20Adopted%20Budget.pdf"", ""scout_target_id"": ""BRM5-20260731-10217""}"
BRMNSRES-f5fd6c4ac5c2c3200a8006c4,BRMQNORM-20260803-0078e04f670b46fc3a9f7e7b,,,[],budget_or_pay_plan_context,structured_without_scalar_collapse,0,false,value_type=missing;pay_basis=budget_amount;evidence_category=quant_other_compensation_value,"{""candidate_id"": ""BRM5C-BRM5-20260731-02963-02"", ""final"": ""https://deruyter.gov/wp-content/uploads/2025/06/Village-Minutes-April-13-2022.pdf"", ""original"": ""https://deruyter.gov/wp-content/uploads/2025/06/Village-Minutes-April-13-2022.pdf"", ""scout_target_id"": ""BRM5-20260731-02963""}"
BRMNSRES-ffdd4cbce5ed91c776a0cec9,BRMQNORM-20260803-007b180c9fb80b697e4b7b19,,,[],budget_or_pay_plan_context,structured_without_scalar_collapse,0,false,value_type=missing;pay_basis=budget_amount;evidence_category=qual_non_base_compensation_mechanism,"{""candidate_id"": ""BRM5C-BRM5-20260731-14924-01"", ""final"": ""https://webgen1files1.revize.com/sabinaltx/CITY%20OF%20SABINAL%202024_2025%20BUDGET.pdf"", ""original"": ""https://webgen1files1.revize.com/sabinaltx/CITY%20OF%20SABINAL%202024_2025%20BUDGET.pdf"", ""scout_target_id"": ""BRM5-20260731-14924""}"
