figure_id,axis_labels_readable,legend_reserved,overlap,status
profile-map-retroactivity-payroll,True,True,False,pass
profile-map-non-base-compensation,True,True,False,pass
profile-map-scheduled-base-growth,True,True,False,pass
profile-map-budgets-pay-plans,True,True,False,pass
profile-map-ordinance-adoption,True,True,False,pass
profile-map-formal-bargaining,True,True,False,pass
profile-map-classification-structure,True,True,False,pass
profile-map-staffing-market-pressure,True,True,False,pass
corpus-scale,True,True,False,pass
evidence-pipeline,True,True,False,pass
side-visibility,True,True,False,pass
analytical-readiness,True,True,False,pass
documentary-growth,True,True,False,pass
staffing-channel,True,True,False,pass
implementation-lifecycle,True,True,False,pass
local-comparisons,True,True,False,pass
claim-overview,True,True,False,pass
claim-matrix-supported-and-mechanisms,True,True,False,pass
claim-matrix-unsupported-boundaries,True,True,False,pass
counterexamples,True,True,False,pass
strict-bounded-sensitivity,True,True,False,pass
