example_id,source_record_id,example_type,municipality,state,source_family,evidence_type,side_label,mechanism_class,brief_bounded_evidence_summary,why_this_example_matters,claim_it_supports,caveats,raw_bounded_snippet_or_pointer,source_lineage
WCCPEX-120a8b6fc9b00901981f2636,BRMSAMESIDEQA-07b8aba078cb98484595fc93,non_base,North Sewickley,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,police_direct,non_base_compensation,"North Sewickley, PA: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-009939a34aea7fdd1f16f016,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-009939a34aea7fdd1f16f016
WCCPEX-0dcc3e5a0b0284b2a1fba088,BRMSAMESIDEQA-108b15c6f4c19de8caefb44c,non_base,Tinicum,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,non_safety_direct,non_base_compensation,"Tinicum, PA: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-00d4584dfc5c7bc9c8ab9726,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-00d4584dfc5c7bc9c8ab9726
WCCPEX-1183e3994ecf34e4483d0be9,BRMSAMESIDEQA-41678792a62355be61618977,non_base,Manheim,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,fire_direct,non_base_compensation,"Manheim, PA: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for fire_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-01edc71782ed2882dad80d05,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-01edc71782ed2882dad80d05
WCCPEX-8fb6d55d693a1bbb2f501aef,BRMSAMESIDEQA-fedb35b781ff5d13dd1382dd,non_base,Huntington Bay,NY,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,police_direct,non_base_compensation,"Huntington Bay, NY: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-02b0c802455c23ac1a6db3c1,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-02b0c802455c23ac1a6db3c1
WCCPEX-e7be88fa29409c9d99639d6b,BRMSAMESIDEQA-5576ddc1ba6d515c7849a114,non_base,Center,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,police_direct,non_base_compensation,"Center, PA: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-0321535dfe55fb638f0b45db,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-0321535dfe55fb638f0b45db
WCCPEX-139c0028f316f0def5fd6fc3,BRMSAMESIDEQA-f107c2642e4844a2d3d3b18e,non_base,Dublin,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,police_direct,non_base_compensation,"Dublin, PA: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-0327a650a75112227ea948df,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-0327a650a75112227ea948df
WCCPEX-bfb60e7149599b9feef7e672,BRMSAMESIDEQA-f1deba0b08cbd04cf617c718,non_base,Grosse Ile,MI,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,police_direct,non_base_compensation,"Grosse Ile, MI: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-0388235461e8bf9ed6770f19,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-0388235461e8bf9ed6770f19
WCCPEX-c1c9db118da134b2e18043a2,BRMSAMESIDEQA-3125145b5598b617cc32ebe5,non_base,Dublin,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,police_direct,non_base_compensation,"Dublin, PA: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-03effef344c5a677267eac66,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-03effef344c5a677267eac66
WCCPEX-3f968083bb0a3e6b945ae625,BRMSAMESIDEQA-502544ea510234d2284a136d,non_base,Huron,SD,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,police_direct,non_base_compensation,"Huron, SD: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-0459a2c1d621286634f84f15,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-0459a2c1d621286634f84f15
WCCPEX-e8b1c0f585f83d8d9be78067,BRMSAMESIDEQA-ef1113eb183c294234ff0400,non_base,Milford,OH,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,non_base,police_direct,non_base_compensation,"Milford, OH: a BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03 record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the non base compensation channel without treating the record as a causal estimate.,claim_family_C,"bounded non base evidence for the named side/unit and period only; no cross-side, national, prevalence, or causal claim",docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-055c685967cc160270c66e59,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-055c685967cc160270c66e59
