gold_id,obs_id_or_source_id,source_corpus,source_type,city,occupation_class,safety_flag,gold_label,expected_score_band,evidence_type,boilerplate_grievance_arbitration_trap,economic_terms_link,hand_code_rationale,supporting_quote_or_locator,notes
gold_001,ma_somerville_police_spsoa_2012,causal,arbitration_award,Somerville,police,1,clear_positive,76_100,interest_arbitration,no,yes,"Interest-arbitration award explicitly frames wage-setting through statutory criteria and comparable-town reasoning.","contracts.csv arbitration_clause_text: ""Interest Arbitration process is utilized... municipality's ability to pay, wages and benefits of comparable towns, and the cost of living.""","Core positive anchor for v10."
gold_002,ma_somerville_police_spea_2012,causal,arbitration_award,Somerville,police,1,clear_positive,76_100,wage_reasoning_award,no,yes,"Arbitration award directly ties contract formation to interest arbitration and economic criteria, including comparables.","contracts.csv arbitration_clause_text: ""Interest Arbitration process is utilized... municipality's ability to pay, wages and benefits of comparable towns, and the cost of living.""","Also references JLMC certification in verified project notes."
gold_003,ma_wayland_fire_jlmc_2020,causal,arbitration_award,Wayland,fire,1,clear_positive,76_100,jlmc,no,yes,"JLMC stipulated award clearly resolves successor-contract economic terms in a formal impasse-resolution lane.","full_text_path locator: corpus/ma_wayland/ma_wayland_fire_jlmc_stipulated_award_2020_2023.pdf; opening text shows ""BEFORE THE JOINT LABOR-MANAGEMENT COMMITTEE"" and ""STIPULATED AWARD""; para. 5 sets wages.","Use as clean JLMC/stipulated-award positive even without comparability language."
gold_004,ma_wayland_public_works_2020,causal,cba,Wayland,public_works,0,clear_negative,0,ordinary_cba_no_impasse,no,no,"Ordinary CBA with no verified impasse, arbitration, mediation, factfinding, or JLMC signal in the checked text.","Locator only: pdftotext scan of corpus/ma_wayland/ma_wayland_dpw_2020_2023.pdf returned no hits for arbitration/grievance/JLMC/factfinding/mediation/impasse.","Useful low-noise negative anchor."
gold_005,ma_wayland_library_2020,causal,cba,Wayland,library,0,clear_negative,0,ordinary_cba_no_impasse,no,no,"Ordinary CBA with no verified impasse-process signal in the reviewed OCR text.","Locator only: pdftotext scan of corpus/ma_wayland/ma_wayland_library_2020_2023.pdf returned no hits for arbitration/grievance/JLMC/factfinding/mediation/impasse.","Useful low-noise negative anchor."
gold_006,ma_worcester_fire_2017,causal,cba,Worcester,fire,1,clear_negative,0,ordinary_cba_no_impasse,no,no,"Signed successor MOA/CBA row with wage terms but no verified impasse-resolution language in the checked OCR text.","Locator only: pdftotext scan of corpus/ma_worcester/worcester_local1009_fire_cba_2017-2020.pdf returned no hits for arbitration/grievance/JLMC/factfinding/mediation/impasse.","Safety negative helps separate occupation from document type."
gold_007,ma_boston_clerical_admin_2023,causal,cba,Boston,clerical_admin,0,false_positive_trap,1_25,grievance_arbitration_boilerplate,yes,no,"Contains repeated arbitration language, but it is an Article-level grievance procedure rather than wage-setting or impasse-resolution context.","contracts.csv arbitration_clause_text begins: ""Chapter 150E, Section 8... independent grievance procedure culminating in final and binding arbitration.""","High-risk trap because the token 'arbitration' is prominent and frequent."
gold_008,ma_arlington_public_works_2018,causal,cba,Arlington,public_works,0,false_positive_trap,1_25,grievance_arbitration_boilerplate,yes,no,"Arbitration appears in a grievance/discipline context under civil-service rules, not contract formation or wage settlement.","contracts.csv arbitration_clause_text: ""A grievance involving the suspension, dismissal, removal or termination... may... be subject to binding arbitration...""","Good boundary test for discipline/grievance arbitration."
gold_009,ma_seekonk_public_works_2023,causal,cba,Seekonk,public_works,0,false_positive_trap,0,grievance_arbitration_boilerplate,yes,no,"The contract itself narrows arbitration to grievances only, making it a direct anti-pattern for the v10 attribute.","contracts.csv arbitration_clause_text: ""Final binding arbitration will prevail on grievances only.""","Best short anti-example."
gold_010,ma_seekonk_teacher_2021,causal,cba,Seekonk,teacher,0,false_positive_trap,1_25,grievance_arbitration_boilerplate,yes,no,"The agreement contains a full multi-step grievance procedure ending in arbitration, which a model might over-score despite no contract-formation or wage-setting impasse context.","full_text_path locator: corpus/ma_seekonk/ma_seekonk_educators_association_2021_2024.pdf, Art. 4.4.4: ""present the grievance for arbitration"" under Level Four grievance procedure.","Useful school-side trap."
gold_011,boston_bps_btu_negotiations_page,discourse,bargaining_update,Boston,teacher,0,clear_negative,0,mechanism_proxy,no,yes,"Mechanism-proxy wage-comparison page contains explicit salary-comparison structure but no verified impasse, mediation, factfinding, or arbitration-backstop signal.","Table title locator: ""Minimum and Maximum Teacher Salary with a Masters Comparisons to Surrounding Districts / School Year 24-25.""","Keep outside the causal gold set; useful to test that peer-wage content alone should not trigger v10."
