state,city,source_role,occupation_class_candidate,source_type_candidate,candidate_title,candidate_url,source_owner,expected_years,causal_candidate,matched_triad_value,claim_ids_served,hypotheses_served,expected_text_quality,access_notes,selection_priority,followup_status,provenance_confidence,notes
Pennsylvania,Philadelphia,police,police,cba,FOP Lodge 5 Contracts page (current CBA / Act 111 award summary) -- reconfirmed,https://fop5.org/contracts/,union_local_fop5,2022-2025 (current listing),yes,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06,H1;H2;H4;H7,clean,Unchanged from pilot scan; public union site with contract/award PDFs linked directly.,ingest_next,confirmed,high,No change from pa_nj_candidate_sources_2026-07-12.csv; reconfirmed this follow-up.
Pennsylvania,Philadelphia,fire,fire,arbitration_award,"Interest Arbitration Award, City and IAFF Local 22 -- reconfirmed",https://www.phila.gov/documents/interest-arbitration-award-city-and-iaff-local-22/,city_phila_gov,2017-2020 award,yes,high,CLM-2026-07-12-01;CLM-2026-07-12-06;CLM-2026-07-12-07,H2;H5;H7,clean,"Unchanged from pilot scan; city-hosted, high provenance.",ingest_next,confirmed,high,No change from pa_nj_candidate_sources_2026-07-12.csv; reconfirmed this follow-up.
Pennsylvania,Philadelphia,non_safety_general,other,context_only,"AFSCME DC33 3-year contract (2025-07-01 to 2028-06-30), ratified after 2025 strike -- dates now confirmed",https://www.phila.gov/2025-07-09-city-of-philadelphia-reaches-tentative-agreement-with-afscme-district-council-33-ending-work-stoppage/,city_phila_gov,2025-2028,maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05,H1;H3;H7,unknown,"News/announcement page confirms a signed 3-year deal (3% raises each year, $1,500 bonus) with exact effective dates; a direct signed-CBA PDF was still not located this follow-up round.",needs_review,partially_confirmed,medium,"Upgrade from the pilot scan: dates and terms are now confirmed via a city-hosted announcement (not just a proposal PDF), but the signed CBA document itself remains unlocated."
Pennsylvania,Philadelphia,non_safety_general,other,context_only,"AFSCME DC47 one-year contract extension (white-collar), 4.4% raises + $1,400 bonus",https://www.phillyvoice.com/district-council-47-new-contract-ratified-philadelphia/,third_party_news,"current cycle, exact dates not stated in snippet",maybe,high,CLM-2026-07-12-05,H3,unknown,"News source, not a city or union primary document; confirms a ratified contract exists but not a document link.",needs_review,partially_confirmed,low,Second Philadelphia non-safety union (white-collar) alongside DC33 (blue-collar); still no direct document for either.
Pennsylvania,Philadelphia,legal_institutional,unknown,context_only,PLRB proposed decisions involving FOP Lodge 5 and AFSCME DC47 (2025 case filings),https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/proposed/2025/fop-5-phila-pf-c-24-80-e.pdf,state_labor_board_plrb,2024-2025 case filings,no,none,,,clean,"PLRB decisions about unfair-labor-practice disputes, not the CBAs themselves; useful only to confirm active bargaining units and dates.",hold,context_only,high,Background/context only; not a document-level source for ingestion.
Pennsylvania,Pittsburgh,police,police,cba,"Pittsburgh Police FOP Fort Pitt Lodge 1 Working Agreement (2019-2022), third-party host -- still unresolved to an official source",https://www.scribd.com/document/534477367/Pittsburgh-Police-Union-Contract-1-1-19-12-31-22,third_party_host_scribd,2019-2022 (expired; successor 2023-2025 confirmed to exist via Ballotpedia),maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06,H1;H2;H4;H7,ocr_messy,No official-domain copy located in this follow-up round either; still needs verification before use.,needs_review,not_found,low,Unchanged from pilot scan. Recommend a targeted search of pittsburghpa.gov council-legislation records for the 2023-2025 successor instead of relying on Scribd.
Pennsylvania,Pittsburgh,fire,fire,context_only,Pittsburgh Fire Fighters IAFF Local 1 homepage -- no contract link found again this round,https://pittsburghfirefighters.org/,union_local_iaff1,unknown,no,medium,CLM-2026-07-12-01,H2,unknown,Searched again this follow-up; still no CBA document link surfaced.,needs_review,not_found,low,Weakest leg of the Pittsburgh triad after two search rounds; needs a direct site visit/navigation rather than search-engine indexing.
Pennsylvania,Pittsburgh,non_safety_general,other,context_only,"AFSCME Local 2719 -- Contract Agreements page (confirmed real, signed 3-year CBA ratified 2025-12-22)",https://afscme13.org/local-2719/content/39616,union_local_afscme13,2025-2028 (signed 2025-12-22),maybe,high,CLM-2026-07-12-05,H3,unknown,"This follow-up located the specific 'Local 2719 Contract Agreements' page on the union's own domain (afscme13.org) and confirmed exact signing date and terms (new minimum wage, longevity pay, stronger grievance language) via AFSCME/AFL-CIO press coverage; the direct PDF itself was not opened/verified in this pass.",needs_review,partially_confirmed,medium,"Major upgrade from the pilot scan, which only had a budget-appendix inference. Recommend visiting afscme13.org/local-2719/content/39616 directly (not just search-indexed) to pull the exact document link before ingestion."
Pennsylvania,Pittsburgh,non_safety_general,unknown,context_only,Pittsburgh Water & Sewer Authority (PWSA) and AFSCME Local 2719 2021 agreement -- jurisdiction caveat,https://locals.afscme13.org/local-2719/2021-pwsa-agreement,union_local_afscme13,2021,no,low,,,unknown,"PWSA is a separate municipal authority, not the City of Pittsburgh directly; do not substitute this for the main city AFSCME 2719 agreement.",hold,context_only,medium,Documented so a future agent does not mistake the PWSA-specific agreement for the City of Pittsburgh general-employee CBA.
Pennsylvania,Allentown,police,police,unknown,"FOP Lodge 10 (Allentown police) -- union confirmed, no document link found again",https://dev.allentownpa.gov/Home/News-Details/ID/964/Police-Union-Contract-Extended,city_allentownpa_gov,"extension announced, exact dates unlocated",maybe,medium,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,unknown,No change from pilot scan; still only a news item on the city's own domain.,needs_review,not_found,medium,No new information this follow-up round.
Pennsylvania,Allentown,fire,fire,cba,"Allentown Firefighters IAFF Local 302 -- Contract Documents page, access status still unverified",https://www.iafflocal302.org/members/contract-documents/,union_local_iaff302,unknown,maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04,H1;H2;H4,unknown,Page name still suggests public contract documents; access-gating status (member login vs. public) not resolved this round either.,needs_review,access_blocked,low,The word 'members' in the URL path is a genuine access-restriction risk; needs a direct visit to confirm public access before promotion.
Pennsylvania,Allentown,non_safety_general,other,context_only,SEIU Local 668 -- identified as Allentown's third union (corrects prior AFSCME assumption),https://www.seiu668.org/,union_local_seiu668,unknown,maybe,medium,CLM-2026-07-12-05,H3,unknown,"City-side sources confirm Allentown has exactly three union contracts: FOP, IAFF, and SEIU -- not AFSCME as the pilot scan's search terms had assumed. SEIU Local 668 represents ~9,000 PA municipal/county/private employees statewide, plausibly including Allentown's general-employee unit, but no Allentown-specific document was located.",needs_review,partially_confirmed,low,"Corrects a methodological gap in the original pilot scan, which searched for 'AFSCME' in Allentown and found nothing because the actual non-safety union is SEIU. Search SEIU Local 668's own site directly for an Allentown-specific agreement next."
Pennsylvania,Erie,police,police,context_only,"City of Erie v. Haas Memorial Lodge (FOP Lodge 7) -- reconfirmed, still case law only",https://caselaw.findlaw.com/pa-commonwealth-court/1377220.html,court_case_reference,2001 award referenced,maybe,medium,CLM-2026-07-12-06,H2;H7,clean,No change from pilot scan.,needs_review,not_found,medium,No new information this follow-up round.
Pennsylvania,Erie,fire,fire,context_only,"City of Erie Fire Department -- IAFF Local 293 benefits page, reconfirmed",https://efd.erie.pa.us/benefits/,city_erie_pa_us,unknown,no,medium,CLM-2026-07-12-01,H2,unknown,No change from pilot scan.,needs_review,not_found,low,No new information this follow-up round.
Pennsylvania,Erie,non_safety_general,other,context_only,"AFSCME Local 2206 (Erie City clerical/office/maintenance/technical) -- new, strong non-safety lead found this round",https://afscme13.org/news/afscme-local-2206-members-ratify-strong-new-contract-erie-city,union_local_afscme13,"ratified 2026-03-04, term not stated in snippet",maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05,H1;H3;H7,unknown,"AFSCME Council 13 press release confirms a real, recently ratified (2026-03-04) collective bargaining agreement covering clerical, office, maintenance, and technical employees of the City of Erie; direct CBA PDF not located this pass, likely resolvable via the City of Erie's own labor-relations pages or a direct AFSCME Local 2206 site visit.",needs_review,partially_confirmed,medium,Materially closes Erie's previously-total non-safety gap from the pilot scan (which had zero non-safety candidates for Erie). Recommend this as the priority next search target for Erie.
Pennsylvania,Erie,other,other,context_only,"[EXCLUDED FALSE POSITIVE, reconfirmed] Erie County, NEW YORK labor relations CBAs -- still not Erie, PA",https://www3.erie.gov/laborrelations/,other_jurisdiction_ny,n/a,no,none,,,unknown,Reconfirmed as a jurisdiction false positive in this follow-up round; excluded again.,reject,duplicate,high,Carried forward from pa_nj_candidate_sources_2026-07-12.csv to keep the exclusion visible in the follow-up file too.
Pennsylvania,Reading,police,police,unknown,"Reading FOP Lodge #9 -- lodge identity now confirmed, no document found",https://www.facebook.com/readingfop9/,union_local_fop9,unknown,maybe,medium,CLM-2026-07-12-06,H2;H7,unknown,"This follow-up identified the specific lodge (FOP Lodge #9) via its Facebook page, closing the 'which lodge' gap from the pilot scan; a document (CBA or Act 111 award) was not located.",needs_review,partially_confirmed,low,"Upgrade from the pilot scan, which had zero leads at all for Reading police. Next step: search 'Reading FOP Lodge 9' directly against readingpa.gov and PLRB Act 111 award filings."
Pennsylvania,Reading,fire,fire,context_only,"Reading Fire Department -- IAFF Local 1803, reconfirmed",https://readingpafire.com/,union_local_iaff1803,unknown,no,medium,CLM-2026-07-12-01,H2,unknown,No change from pilot scan.,needs_review,not_found,low,No new information this follow-up round.
Pennsylvania,Reading,non_safety_general,other,context_only,"AFSCME Local 2763 (Reading general employees, 2023-2026) -- terms reconfirmed, document still unlocated",https://www.readingpa.gov/regular-council-meeting-6-26-23,city_readingpa_gov,2023-2026,maybe,high,CLM-2026-07-12-05,H3,unknown,No new direct-document lead found this round beyond the pilot scan's council-minutes confirmation.,needs_review,partially_confirmed,medium,No change from pa_nj_candidate_sources_2026-07-12.csv; reconfirmed only.
