review_record_id,record_type,primary_outcome,source_evidence_pass,coordinate_pass,interpretation_boundary_pass,formula_pass,outcome_pass,rationale_pass,claim_consequence_pass,wording_boundary_pass,qa_pass
XREVIEW-0d76ea434d607dc4476f4b2c,headline_candidate,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-1404e2aa8a71686e41173175,headline_candidate,upheld_as_stated,True,True,True,True,True,True,True,True,True
XREVIEW-28dcb7fd095c5a9a51e84ec7,headline_candidate,upheld_as_stated,True,True,True,True,True,True,True,True,True
XREVIEW-64af44ae85bed274198afb3c,headline_candidate,upheld_as_stated,True,True,True,True,True,True,True,True,True
XREVIEW-9ef640d81acfe5ce5c17731c,headline_candidate,upheld_as_stated,True,True,True,True,True,True,True,True,True
XREVIEW-a51c1e4181758400925b20c2,headline_candidate,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-f23372b4b014f3685bb6f609,headline_candidate,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-f2c7d56d2640dd88b24fb79d,headline_candidate,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-fa3103ef911aa327495589c6,headline_candidate,upheld_as_stated,True,True,True,True,True,True,True,True,True
XREVIEW-043838ca02904ab1e74970ce,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-0e8a5d44759de94aa5fd7f01,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-1058bfc1fe7301bbaadba576,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-13da45a80f180f3f7100e8a4,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-1cffd00c56199421d8efad06,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-278e55e7a817aad9c0e9322c,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-30482af59ad21737ac3cbe89,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-32bdf71889ff74e10c981931,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-4125d5f9d9b8d82da3445b0d,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-4f9a3162d0a83e9d5cee77f0,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-50e0bbc13102467e74eaee92,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-57b21c6433b34803c86d9cfc,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-5a4354a58b182e95c45582ea,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-5d799c8f259c6304ccdcd141,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-5daba48d19411ee77cb1297a,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-5df716afacb8628d3bc9f461,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-679725e10c43990bf21dbb16,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-7ad7eb24dccb0b1d7cce15f5,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-802c65eaa2ff2abf54f9ddb0,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-80ea70ba442209281b9ae868,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-88cb23e87fd5a6fa6718d8d9,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
XREVIEW-91d92849ac122b12a1a9da6e,implementation_sequence,upheld_with_narrower_wording,True,True,True,True,True,True,True,True,True
