profile_id,profile_title,mechanism_tags,caption,word_count,definition_present,wage_channel_present,side_pattern_present,claim_ids,category_type,claim_id,figure_id,title,topics
retroactivity-payroll,Retroactivity and payroll timing,retroactive|retroactive_pay|payroll_effective_date,"A compensation term whose effective date reaches back before the final approval or payment date. It can push compensation upward by making a later settlement effective for earlier work. It converts the earlier effective period into an owed payment, often delivered as back pay. It determines when an approved increase starts reaching paychecks and prevents adoption dates from being mistaken for payment. Among side-classified events, safety appears more often (945 versus 114) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",117,True,True,True,CLAIM-E,reader_facing_mechanism,,,,
non-base-compensation,Non-base and one-time compensation,non_base_compensation_other|stipend_or_premium|uniform_or_equipment_allowance|overtime|holiday_pay|longevity|benefit_cost_change|reimbursement|one_time|lump_sum,"Compensation outside regular base wages that does not fit a more specific category. It adds pay outside the base rate, so a base-wage comparison can miss part of compensation. It raises pay for specific duties, qualifications, shifts, or working conditions. It increases cash compensation or reimburses required job costs without changing base pay. It can substantially increase earnings beyond base pay when staffing or scheduling produces extra hours. It adds premium compensation for holiday work or recognized holidays. It adds scheduled pay as service accumulates and can steepen wage growth for long-tenured workers. It can change total compensation or take-home value even when base wages do not move. It offsets work expenses but should not be treated as recurring wages. It raises current compensation without permanently increasing the base schedule. It increases compensation once but does not by itself raise future base wages. Among side-classified events, safety appears more often (452 versus 37) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",198,True,True,True,CLAIM-C,reader_facing_mechanism,,,,
scheduled-base-growth,Scheduled base-wage growth,across_the_board_raise|base_wage_change|step_progression|cola_cpi_adjustment|inflation_indexing|recurring,"The same general increase applied across covered jobs or classifications. It raises covered rates together, but does not necessarily change the gap between safety and non-safety jobs. It directly changes recurring salary or wage rates. It can generate repeated wage growth as employees move through scheduled steps. It can preserve purchasing power by linking raises to inflation or a stated percentage. It can trigger recurring adjustments as inflation changes. It raises future compensation repeatedly because the amount remains in the pay structure. Among side-classified events, safety appears more often (384 versus 32) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",137,True,True,True,CLAIM-B|CLAIM-G,reader_facing_mechanism,,,,
budgets-pay-plans,"Budgets, pay plans, and fiscal constraint",budget_pay_plan_process|fiscal_constraint|budget_appropriation,"A budget or pay-plan process that formally sets or revises compensation schedules. It can authorize, sequence, or constrain the schedules through which wages become operative. It can hold pay down, delay implementation, or redirect increases toward narrower groups or one-time payments. It supplies the legal or financial authority for compensation to be paid. Among side-classified events, safety appears more often (154 versus 69) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",108,True,True,True,CLAIM-F,reader_facing_mechanism,,,,
ordinance-adoption,Council and ordinance adoption,ordinance_council_adoption|ordinance_adoption,"A city council or ordinance action that formally authorizes compensation terms. It turns a proposal or agreement into an authorized municipal action, although authorization is not proof of payment. It formalizes compensation terms, but the retained evidence must still show implementation or payment separately. Among side-classified events, safety appears more often (76 versus 21) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",99,True,True,True,CLAIM-F,reader_facing_mechanism,,,,
formal-bargaining,Formal bargaining and impasse resolution,bargaining_leverage|collective_bargaining|settlement_or_mou|contract_ratification|interest_arbitration,"The practical power employees or unions can use to win better terms during negotiations. It can improve negotiated terms when employees can credibly apply staffing, political, legal, or job-action pressure. It provides the formal channel through which wage schedules and non-base terms are negotiated. It can implement targeted changes faster or more narrowly than a complete successor contract. It approves negotiated terms but remains distinct from their payroll-effective or paid stage. It can impose compensation terms when ordinary bargaining reaches an impasse. Among side-classified events, safety appears more often (42 versus 5) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",137,True,True,True,CLAIM-A,reader_facing_mechanism,,,,
classification-structure,Classification and pay structure,classification_band_change|salary_range_change|classification_civil_service,"A change to a job classification, pay grade, range, or band. It can raise or lower attainable pay by moving a job into a different grade or range. It changes the floor, ceiling, or spread of possible pay rather than necessarily changing observed earnings immediately. It governs placement and progression in ways that can structure long-run pay paths. Among side-classified events, safety appears more often (23 versus 2) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",113,True,True,True,CLAIM-B|CLAIM-F,reader_facing_mechanism,,,,
staffing-market-pressure,"Staffing, market, and comparability pressure",market_recruitment_retention|vacancy_pressure|comparability_parity,"A pay action justified by labor-market competition, hiring, or retention pressure. It can produce targeted raises or premiums when employers struggle to hire or keep workers. It can motivate targeted raises, premiums, or retention measures when positions are hard to fill. It can pull pay toward a reference job, bargaining unit, or neighboring jurisdiction. Among side-classified events, safety appears more often (22 versus 7) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",109,True,True,True,CLAIM-A|CLAIM-D,reader_facing_mechanism,,,,
none-identified,None Identified,none_identified,"The retained record documents compensation activity but does not identify a specific wage-setting process. The 2,001 deduplicated records show that an event can be visible even when the document does not name the process that produced it. I report this as a classification limit, not as a compensation mechanism or evidence that municipalities lack one.",56,True,True,True,,evidence_status,,,,
no-direct-compensation-outcome,No Direct Compensation Outcome,no_direct_compensation_outcome,"An administrative event for which the retained record does not show a direct pay outcome. These 544 records may document administrative action, discussion, or approval without a retained payment result. I keep them outside the mechanism profiles because action without a direct pay outcome cannot establish that compensation changed.",49,True,True,True,,evidence_status,,,,
unclear,Unclear,unclear,The record points to a compensation event but does not identify the mechanism clearly. The 140 deduplicated records remain unresolved because the available language does not support a more specific label. Leaving them unclear protects the mechanism counts from convenient guessing and keeps uncertainty visible.,45,True,True,True,,evidence_status,,,,
,,,"In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms; the evidence establishes mechanism operation, not an average wage effect.",30,,,,,,CLAIM-A,,,
,,,"In reviewed unit-cycle records, step, seniority, rank, and COLA provisions create recurring scheduled wage-growth paths; step progression leans safety in the available sample, while across-board results are mixed and COLA cells are sparse.",33,,,,,,CLAIM-B,,,
,,,"Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay; no complete total-compensation sum is estimated.",29,,,,,,CLAIM-C,,,
,,,"Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings; the staffing evidence is descriptive, not causal or prevalence evidence.",32,,,,,,CLAIM-D,,,
,,,"Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay; adoption alone is not payment, and only retained evidence with a paid stage is described as paid.",38,,,,,,CLAIM-E,,,
,,,"Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions; these records do not establish that every proposal was implemented or paid.",32,,,,,,CLAIM-F,,,
,,,"Both safety and non-safety units use bargaining, steps, COLAs, and pay plans. The available evidence is consistent with a reinforcing safety-pressure bundle in some settings, but local and growth results are mixed and do not establish a uniform safety advantage.",40,,,,,,CLAIM-G,,,
,,,"The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate.",27,,,,,,CLAIM-H,,,
,,,A national safety wage-gap estimate is not supported by the current corpus.,12,,,,,,UNSUP-01,,,
,,,A national prevalence estimate for any compensation mechanism is not supported by the current corpus.,15,,,,,,UNSUP-02,,,
,,,A causal effect estimate for any compensation mechanism is not supported by the current design.,15,,,,,,UNSUP-03,,,
,,,No regression-based claim is supported because no regression-ready design passed the gate and no regression was run.,17,,,,,,UNSUP-04,,,
,,,A precise claim that safety wages grow a fixed percentage faster is not supported by the available matched evidence.,19,,,,,,UNSUP-05,,,
,,,The evidence does not establish that a documented mechanism caused an observed wage difference.,14,,,,,,UNSUP-06,,,
,,,"The corpus is not a representative national sample and has no national worker, bargaining-unit, or pay-record denominator. Scouting reached 35,574 of 35,589 eligible municipalities (99.9579%), and the retained corpus contains 15,163 unique PDFs with 1,029,482 native PDF pages. Near-complete discovery coverage is not analytical representativeness.",51,,,,,,,limitation-research-design-scope,,
,,,"Of 18,689 intended residual targets, 12,844 remained unsearched after repeated source-less search outcomes. Those targets are unknown possibilities, not known missing evidence. Previously found candidates and verified sources remained intact, and the unsearched queue was preserved rather than treated as evidence of absence. The failure was consistent with a service or capacity limitation, but its exact cause was not exposed.",62,,,,,,,limitation-discovery-search,,
,,,"Access blocks, unavailable URLs, corrupt payloads, and a 30 GiB retention ceiling left 7,895 verified sources storage-held and 24,569 low-value context sources deferred. The project retained 14,449 unique external payloads with hashes and source pointers and kept storage holds separate from substantive rejections. Storage-held sources were not processed for this revision.",54,,,,,,,limitation-verification-retention,,
,,,"PDFs, HTML, tables, CSVs, embedded data, shells, and low-text files required different paths; 118 sources were deferred for OCR and 97 needed extraction repair. Of 14,703 inspected retained-source records, 14,257 were extraction-ready and 14,160 produced usable payloads. OCR deferral means image-only documents were not silently treated as empty.",51,,,,,,,limitation-document-readiness,,
,,,"Extraction produced 5,558,770 raw field hits and 4,289,437 raw spans. Repeated tables, boilerplate, and ambiguous labels meant those were not independent facts. Deterministic compaction reduced the field layer by 66.25% and preserved 1,876,183 compact administrative observations. Large row counts measure processing volume, not evidence prevalence.",52,,,,,,,limitation-extraction-overproduction,,
,,,"Early wage-table signals were not reliable enough to become a clean comparable wage panel; a five-case rendered challenge contradicted all five assisted outcomes. The project did not force those signals into estimates. It expanded to staffing, implementation, documentary growth, local comparisons, and compensation mechanisms. The broader framing improved evidence use but did not manufacture missing wage matches.",57,,,,,,,limitation-analytical-framing,,
,,,"The new external administrative layer did not receive GABRIEL scoring. Deterministic rules and bounded semantic AI review are not independent human gold coding. Claim-critical review examined 1,726 unique records; 368 sampled second-pass QA records passed, and 201 conflicts remained unresolved rather than conveniently resolved. Earlier eligible documentary evidence did use GABRIEL where available.",54,,,,,,,limitation-rating-review,,
,,,"Side, period, role, pay basis, and compensation basis often did not align: 1,523,558 observations remained side-unresolved, with 131,124 basis holds and 266,849 conflict-sensitive observations. The project preserved 18,358 staffing units, 1,268 implementation sequences, 10 bounded local comparisons, and 432 documentary growth records. The external layer still produced zero compatible wage matches, growth pairs, vacancy rates, overtime shares, or total-compensation sums.",66,,,,,,,limitation-comparability,,
,,,"Safety-specific records are more visible, while non-safety pay is often embedded in broad budgets or personnel schedules and many records remain unresolved. The analysis keeps safety, non-safety, mixed, side-independent, and unresolved records separate and reports exact denominators. Documentation absence cannot be treated as real-world absence or national prevalence.",48,,,,,,,limitation-side-imbalance,,
,,,"Only 3 of 16 regression-readiness gates passed. There was no defensible external matched wage panel or causal identification design. No regression was run and no national wage-gap, prevalence, or causal estimate was produced; strict descriptive and mechanism findings were retained. Not running an invalid model is a substantive quality decision.",50,,,,,,,limitation-mathematical-design,,
,,,"Local comparisons remain local; maps show documented events, not workers, wage-effect size, or prevalence; grouping compresses source lineage. All 14 claims were adjudicated, seven counterexamples remained visible, and 201 high-impact conflicts stayed outside clean totals. Appendix tables preserve the category and claim lineage hidden by concise profiles.",47,,,,,,,limitation-reporting-visuals,,
,,,"Hosted search failed, storage filled, checkpoint designs scaled poorly, some parsers hung, interfaces interrupted coordination, and deployment jobs were delayed. Lane-owned files, append-only ledgers, checkpoints, quarantine, hashes, and resume-only logic preserved accepted work. Phase 0 inventoried about 119.88 GiB without deleting it. Operational recovery protected evidence but added monitoring and reconciliation cost.",53,,,,,,,limitation-operations-infrastructure,,
,,,"The project produced a large, traceable evidence base and bounded mechanism findings, but it did not produce a representative wage panel, national prevalence estimate, regression, or causal effect. The remaining work is targeted: improve matched local panels, resolve selected conflicts, and preserve source lineage for future research.",43,,,,,,,what_worked_what_failed_visual,,
,,,"I use this page to document full-summer research workflow and to show how the project changed as evidence, infrastructure, and scale required safer designs. The sequence preserves human direction, AI execution, accepted work, and strict claim boundaries instead of presenting the workflow as perfectly linear.",45,,,,,,,full_project_workflow_visual,Full-summer research workflow,"Frame matched city × cycle design|Scout municipalities|Verify source candidates|Review, deduplicate, retain|Classify document readiness|Extract text, tables, structured data|Recover fields and exact spans|Rate eligible documentary evidence|Compact administrative records|Reconcile side, period, identity|Normalize and match units|Run descriptive mathematics|Cross-examine critical evidence|Add bounded evidence tiers|Adjudicate 14 claims|Render, QA, and plan handoff"
,,,"I use this page to document from a continuing log to relay packages and to show how the project changed as evidence, infrastructure, and scale required safer designs. The sequence preserves human direction, AI execution, accepted work, and strict claim boundaries instead of presenting the workflow as perfectly linear.",49,,,,,,,relay_system_evolution_visual,From a continuing log to relay packages,"PROGRESS.md recorded decisions and next steps|Self-contained prompts locked each stage|Lane outputs preserved partial progress|Relay ZIPs recorded commits, validation, blockers, and next task|ChatGPT read relays and designed the next bounded prompt"
,,,"I use this page to document human and ai division of work and to show how the project changed as evidence, infrastructure, and scale required safer designs. The sequence preserves human direction, AI execution, accepted work, and strict claim boundaries instead of presenting the workflow as perfectly linear.",48,,,,,,,human_ai_roles_expanded_visual,Human and AI division of work,"Joachim — question, priorities, corrections, standards, voice, final judgment|ChatGPT — orchestration prompts, analytical frameworks, evidence tiers, QA gates, handoff structure|Codex — local scripts, files, lane runs, checkpoints, validation, visuals, commits|GABRIEL — ratings for eligible earlier documentary evidence|Deterministic local rules — later administrative processing without new GABRIEL scoring"
,,,"I use this page to document tools and functions by stage and to show how the project changed as evidence, infrastructure, and scale required safer designs. The sequence preserves human direction, AI execution, accepted work, and strict claim boundaries instead of presenting the workflow as perfectly linear.",47,,,,,,,tools_by_stage_visual,Tools and functions by stage,"Scouting — structured hosted search|Verification — HTTP and locator checks|Retention — downloads, hashing, exact-payload deduplication|Readiness — text-layer and table checks; OCR deferral|Extraction — PDF/HTML/table/embedded-data parsing|Rating — GABRIEL on eligible documentary material|Compaction — deterministic reduction of noisy hits|Reconciliation — municipality, side, period, identity, source|Analysis — compatibility, formulas, descriptive math|Cross-examination — exact excerpts, rows, context, coordinates|Visuals — local plotting, geospatial rendering, PDF page QA"
,,,"I use this page to document codex execution workflow evolved with scale and to show how the project changed as evidence, infrastructure, and scale required safer designs. The sequence preserves human direction, AI execution, accepted work, and strict claim boundaries instead of presenting the workflow as perfectly linear.",48,,,,,,,Codex_execution_evolution_visual,Codex execution workflow evolved with scale,Small pilots established schemas and failure modes|Early parallel pilots used isolated Git worktrees|Later stages used locked lane inputs and lane-owned outputs|Heavy profile guided architecture and difficult pipeline stages|Routine guidance covered deterministic rebuilds and packaging|Coordinator merges protected shared summaries
,,,"I use this page to document how staggered independent lanes worked and to show how the project changed as evidence, infrastructure, and scale required safer designs. The sequence preserves human direction, AI execution, accepted work, and strict claim boundaries instead of presenting the workflow as perfectly linear.",47,,,,,,,staggered_lane_system_visual,How staggered independent lanes worked,"Split a large task into disjoint rows, states, sources, claims, or figures|Lock each lane’s input and hash|Start workers several minutes apart|Write only lane-owned files|Checkpoint accepted work frequently|Resume incomplete work only|Merge after all lanes finish|Audit shared counts and lineage"
,,,"I use this page to document representative scaling milestones and to show how the project changed as evidence, infrastructure, and scale required safer designs. The sequence preserves human direction, AI execution, accepted work, and strict claim boundaries instead of presenting the workflow as perfectly linear.",45,,,,,,,scaling_over_time_visual,Representative scaling milestones,"4-row GABRIEL pilot|150-source review pilot — 149 downloads|500-source review batch — 495 downloads|1,500-source batch — 1,480 downloads|4,000 scout rows — 6,437 candidates|10,000 scout rows — 9,072 candidates|35,589 eligible municipalities — 99.9579% covered|14,160 usable external payloads|Millions of raw hits compacted to 1,876,183 observations|14 final claims and a 76-page first atlas"
,,,"I use this page to document errors, failures, and repairs and to show how the project changed as evidence, infrastructure, and scale required safer designs. The sequence preserves human direction, AI execution, accepted work, and strict claim boundaries instead of presenting the workflow as perfectly linear.",46,,,,,,,errors_failures_repairs_visual,"Errors, failures, and repairs","Dirty worktree — classified active rendered assets instead of deleting them|Source-less hosted search — stopped production and preserved 12,844 targets|Large checkpoints — replaced arrays with append-only ledgers|30 GiB ceiling — retained 14,449 payloads and held 7,895|Parser timeouts — added child-process wall limits|Quadratic lookup — indexed and resumed incomplete inputs only|Interface interruption — accepted 14,160 payloads remained valid|Strict matching — kept zero-match baseline and added bounded tiers|Deployment delay — verified direct URL and committed checksum|Phase 0 launcher/output issues — repaired only task-owned inventory files"
,,,"I use this page to document strict and broader evidence stayed separate and to show how the project changed as evidence, infrastructure, and scale required safer designs. The sequence preserves human direction, AI execution, accepted work, and strict claim boundaries instead of presenting the workflow as perfectly linear.",48,,,,,,,evidence_tier_redesign_visual,Strict and broader evidence stayed separate,"Strict evidence — exact and claim-safe|Bounded evidence — compatible with an explicit caveat|Directional evidence — mechanism or direction, no precise magnitude|Context — relevant but not claim support|Rejected — incompatible, duplicate, conflicted, or unsupported|Result — five claims strengthened in class; one became more mixed; eight unchanged; zero upgrades"
