canonical_candidate_id,wave_1_candidate_ids,wave_2_candidate_ids,candidate_url,normalized_url,candidate_title,candidate_snippet,candidate_domain,official_source_flag_from_search,municipality,state,period,side_scope,department_scope,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,expected_claim_upgrades,original_external_data_families,search_priority,source_quality_score,candidate_relevance_score,prior_provisional_bucket,prior_provisional_family,duplicate_linkage_status,search_wave_provenance,search_target_ids,search_call_ids,query_versions,source_candidate_id,discovered_at,likely_source_type_from_search,likely_file_type_from_search,review_id,primary_external_data_family,secondary_external_data_families,direct_staffing_relevance,administrative_source_type,primary_source_quality,claim_upgrade_tags,administrative_directness_score,official_source_score,expected_field_yield_score,event_linkage_score,claim_upgrade_score,verification_priority_score,duplicate_risk_score,navigation_risk_score,review_confidence_score,reason_codes,concise_review_rationale,review_confidence,final_priority_bucket,official_source_flag,review_method,candidate_review_lane_id,reviewed_at
EXTCAND-00657c1ff63eb26c4eb6bfa4,EXTCAND-00657c1ff63eb26c4eb6bfa4,,https://www.indeed.com/q-city-of-l-bayou-vista%2C-tx-jobs.html,https://www.indeed.com/q-city-of-l-bayou-vista%2C-tx-jobs.html,,"## Likely official/primary public administrative source types (for “Bayou Vista, TX” payroll/compensation/positions in 2025) 1. **City of Bayou Vista (revize-hosted municipal documents)** - **Annual budget & budget hearings (FY 2025 or 2024–2025 / 2025–2026 depending on their fiscal year naming)** with line items for: - **authorized positions**, departmental staffing, wage/benefit assumptions, som",www.indeed.com,unconfirmed,Bayou Vista,TX,2025,side_independent,side_independent,ROOTCOMP-e0ede85e61bd4f0324d458a2,MECHEXP-158e98d5f30a86629dfe6cad|MECHEXP-7dfbc02c622f8acf2b2fe520|MECHEXP-862779b1b6307ab1b6e980c5|MECHEXP-d8ab36581f343ad6e7286b9c,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-fa6412b9f61792881ea06c1d,SEARCHCALL-be5227c86bd200005790b720,v1_primary,EXTCAND-00657c1ff63eb26c4eb6bfa4,2026-08-05T00:09:00.998173+00:00,public_source_candidate_unconfirmed,html,AVAILREVIEW-1a7f44b4709bad71e21270bb,multi_family_administrative_source,benefits_and_total_compensation|payroll_and_earnings|staffing_and_headcount,direct_headcount_metric,payroll_roster,weak_secondary_source,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|direct_staffing_relevance|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates payroll roster in multi family administrative source. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_003,2026-08-05T14:31:38.425823+00:00
EXTCAND-018fbd7fbd72d7e0f1326ceb,EXTCAND-018fbd7fbd72d7e0f1326ceb,,https://www.linkedin.com/in/rachel-cagle-a3779357,https://www.linkedin.com/in/rachel-cagle-a3779357,,"## Likely official/primary public administrative source types (for “Monroe, OH” + 2019 payroll/pay/positions staffing compensation/pension benefits) Because the target is **metadata-only discovery** (not opening candidates), the highest-yield source *types* are: 1. **City/Township budget & compensation authority (local government)** - **Annual operating budget / appropriations resolutions** (often",www.linkedin.com,unconfirmed,Monroe,OH,2019,fire|police|safety_combined,fire|police|safety_combined,ROOTCOMP-6661961b09ec99922f95ebb7|ROOTCOMP-b0337c8c0e5c2272202ba3a5|ROOTCOMP-e5c70fe258c59f5214de4415|ROOTCOMP-f82b767719006606af055786,MECHEXP-1f1ee409dfe37fd6e0dca753|MECHEXP-2716b5dcfd882fd79f7f8c7c|MECHEXP-27a6b8c3a5eae5ce8c7cc8fe|MECHEXP-2a047eb68579c607cb654add|MECHEXP-2a9a688a0df14106bc24fe96|MECHEXP-49d49e01d0c973f3546f585d|MECHEXP-5658aae3f4f42c6f3b58e52a|MECHEXP-573339617054e16831d41adb|MECHEXP-6890f03e8559af423a7e9170|MECHEXP-69e430fbf42c60825400408c|MECHEXP-76c5a4d665f112de406be34d|MECHEXP-8c32d4cd764a7a2631701b58|MECHEXP-c66197db39d630649139933a|MECHEXP-cd9cdb6390f1b8395ea72c2d|MECHEXP-d5a6968cb6fac5f062cacfb0|MECHEXP-f708f4ba06e3a965b021cd4c,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-9685828369f02946c2147c55,SEARCHCALL-c84df809acd971c0cd10c378,v1_primary,EXTCAND-018fbd7fbd72d7e0f1326ceb,2026-08-05T00:24:24.198861+00:00,public_source_candidate_unconfirmed,web,AVAILREVIEW-daca902afd0bc4b94b9d2b28,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,contextual_staffing_only,payroll_roster,weak_secondary_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates payroll roster in multi family administrative source. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_005,2026-08-05T14:39:38.635829+00:00
EXTCAND-01ee86d6105ac5ca542ffbdd,EXTCAND-01ee86d6105ac5ca542ffbdd,,https://www.indeed.com/q-police-l-bayou-vista%2C-tx-jobs.html,https://www.indeed.com/q-police-l-bayou-vista%2C-tx-jobs.html,,"## Likely official/primary public administrative source types (for “Bayou Vista, TX” payroll/compensation/positions in 2025) 1. **City of Bayou Vista (revize-hosted municipal documents)** - **Annual budget & budget hearings (FY 2025 or 2024–2025 / 2025–2026 depending on their fiscal year naming)** with line items for: - **authorized positions**, departmental staffing, wage/benefit assumptions, som",www.indeed.com,unconfirmed,Bayou Vista,TX,2025,side_independent,side_independent,ROOTCOMP-e0ede85e61bd4f0324d458a2,MECHEXP-158e98d5f30a86629dfe6cad|MECHEXP-7dfbc02c622f8acf2b2fe520|MECHEXP-862779b1b6307ab1b6e980c5|MECHEXP-d8ab36581f343ad6e7286b9c,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-fa6412b9f61792881ea06c1d,SEARCHCALL-be5227c86bd200005790b720,v1_primary,EXTCAND-01ee86d6105ac5ca542ffbdd,2026-08-05T00:09:00.998252+00:00,public_source_candidate_unconfirmed,html,AVAILREVIEW-61acdf2bf0486c40ec709669,multi_family_administrative_source,benefits_and_total_compensation|payroll_and_earnings|staffing_and_headcount,direct_headcount_metric,payroll_roster,weak_secondary_source,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|direct_staffing_relevance|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates payroll roster in multi family administrative source. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_004,2026-08-05T14:35:38.470726+00:00
EXTCAND-0337417b54351861aa3625ef,EXTCAND-0337417b54351861aa3625ef,,https://www.indeed.com/viewjob?jk=fdcd023643cad484,https://www.indeed.com/viewjob?jk=fdcd023643cad484,,"Likely **official/primary source types** to target for Addison, IL “municipal payroll/salaries/overtime/budget authorized positions + staffing vacancies recruitment retention turnover + pay steps/schedules + ordinances/resolutions/pay plans/pension & health contributions/compensation studies” (metadata-only discovery): 1. **Municipal payroll / compensation disclosures** - “Employee compensation” o",www.indeed.com,unconfirmed,Addison,IL,undated,side_independent,side_independent,ROOTCOMP-fc49bcf3fb8f8675662c1ef3,MECHEXP-0b405a1e9585bd4b83b7e942|MECHEXP-2e4f8f32e43ca2cda36d91e9|MECHEXP-b951577bf5151b91279148e2|MECHEXP-f2629b14757ccf1af7c66d3f,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-5f859efaf6056d04070de06c,SEARCHCALL-ffcba9f456b61b86efc347dc,v1_primary,EXTCAND-0337417b54351861aa3625ef,2026-08-04T23:32:10.583894+00:00,public_source_candidate_unconfirmed,web,AVAILREVIEW-1171c0b0386792cfe515221d,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,overtime_staffing_response,payroll_roster,weak_secondary_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|direct_staffing_relevance|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates payroll roster in multi family administrative source. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_005,2026-08-05T14:39:38.619804+00:00
EXTCAND-036c5b39f556d81377de34f3,EXTCAND-036c5b39f556d81377de34f3,,https://www.glassdoor.com/Job/hillsboro-police-jobs-SRCH_IL.0%2C9_IC1145416_KO10%2C16.htm,https://www.glassdoor.com/Job/hillsboro-police-jobs-SRCH_IL.0%2C9_IC1145416_KO10%2C16.htm,,"Likely **official / primary administrative source types** for a metadata-only discovery target covering **City of Bloomfield, KY (2024)** items like *pay plan, salary schedule/steps, authorized positions, vacancies/staffing, recruitment/retention/turnover, overtime, benefits/pension/health contributions, and compensation study/analysis*: 1. **City “Ordinances” & code updates (2024)** - “Adopted” d",www.glassdoor.com,unconfirmed,Bloomfield,KY,2024,all_units,all_units,ROOTCOMP-2657f2ed222bcb6ad8d40319,MECHEXP-86046713fd2161e3d452b4c2|MECHEXP-9b1bea13d2c059a0245d614a|MECHEXP-d0fc3cfd5de705385426f5e0|MECHEXP-df36d81a02efa57524e167ae,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-e5e47c0c449d52be57857c08,SEARCHCALL-2ba7b6887ee2e9586fe7c61d,v1_primary,EXTCAND-036c5b39f556d81377de34f3,2026-08-04T23:30:15.171887+00:00,public_source_candidate_unconfirmed,htm,AVAILREVIEW-22fa9ed2cd0aa323de64d7b6,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|recruitment_and_retention|staffing_and_headcount,overtime_staffing_response,staffing_table,weak_secondary_source,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|direct_staffing_relevance|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates staffing table in multi family administrative source. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_004,2026-08-05T14:35:38.454639+00:00
EXTCAND-04e056a5aaba9b9c2ba4acda,EXTCAND-04e056a5aaba9b9c2ba4acda,,https://www.indeed.com/q-retail-stores-l-wimberley%2C-tx-jobs.html,https://www.indeed.com/q-retail-stores-l-wimberley%2C-tx-jobs.html,,"### Likely **official/primary public administrative source types** for “Dripping Springs, TX (2025) payroll/salaries/overtime/budgeted positions & staffing/pay plan/turnover” metadata discovery 1. **City budget/financial ordinance & resolution packets (FY2025/FY2025-26)** - Ordinances adopting the municipal budget, budget amendments, and resolutions ratifying the budget. - Often includes line-item",www.indeed.com,unconfirmed,Dripping Springs,TX,2025,all_units,all_units,ROOTCOMP-176a486df8067d441a02f7be,MECHEXP-01237d4d193edb15a33fbbf0|MECHEXP-08d361b0960a0ecb4809a5a1|MECHEXP-61dc78a60571174bdec1a34d|MECHEXP-fc111c37e9c505a775dbeb67,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-952777d65802d24db97d2774,SEARCHCALL-a9c112063e66442193fdffe0,v1_primary,EXTCAND-04e056a5aaba9b9c2ba4acda,2026-08-05T00:03:17.866476+00:00,public_source_candidate_unconfirmed,html,AVAILREVIEW-9c57dc4e196e59242a80b39b,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,direct_headcount_metric,payroll_roster,weak_secondary_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|direct_staffing_relevance|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates payroll roster in multi family administrative source. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_001,2026-08-05T14:23:38.410734+00:00
EXTCAND-0646992bfd1d4e0007dd8128,EXTCAND-0646992bfd1d4e0007dd8128,,https://www.indeed.com/q-hiring-immediately-l-oil-city%2C-la-jobs.html,https://www.indeed.com/q-hiring-immediately-l-oil-city%2C-la-jobs.html,,"### Likely official / primary administrative source types for “Oil City, LA” (2025) payroll/pay plan/positions metadata 1. **State “LLA public reports” payroll/earnings analysis (primary public compensation disclosures)** - Louisiana Legislative Auditor (LLA) hosts downloadable “Public Reports” PDFs for local entities, which often include **employee earnings/payroll by year** and related staffing/",www.indeed.com,unconfirmed,Oil City,LA,2025,police,police,ROOTCOMP-07e8e64c5e5f77a0ffd00eee,MECHEXP-24b7a78036523021ad017823|MECHEXP-2f65f4b55c459016e1b2d940|MECHEXP-30d7ce6b7c3e08e50dc88e59|MECHEXP-5998dbef806d7758d08671c6|MECHEXP-939558962a01caa4ead54720|MECHEXP-d8e82e2e5b37b1bba392e35e|MECHEXP-e1b3e63f9825af1bb8fe6342|MECHEXP-e1e3d307466e09ccb893d2e3,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,payroll_and_earnings,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-796d4881223d503e921954b2,SEARCHCALL-517221731b946263e3f9b185,v1_primary,EXTCAND-0646992bfd1d4e0007dd8128,2026-08-04T23:47:27.398818+00:00,public_source_candidate_unconfirmed,html,AVAILREVIEW-0ae5c26f611a9f23bbaa7e67,payroll_and_earnings,,contextual_staffing_only,payroll_roster,weak_secondary_source,upgrades_growth_analysis|upgrades_local_wage_comparison,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates payroll roster in payroll and earnings. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_002,2026-08-05T14:27:38.483956+00:00
EXTCAND-071a279af5add3ec8e3c8b34,EXTCAND-071a279af5add3ec8e3c8b34,,https://www.indeed.com/q-yard-driver-l-minnesota-jobs.html,https://www.indeed.com/q-yard-driver-l-minnesota-jobs.html,,"Here are the **likely official/primary public administrative source types** you should target for “Crow Wing, MN (2026)” payroll/salary/benefits/positions staffing and related metadata (ordinances/resolutions/pay plan, authorized positions, vacancies, recruitment/retention/turnover, step schedules, overtime, pension/health contributions, etc.). (Search results I found already strongly indicate Cro",www.indeed.com,unconfirmed,Crow Wing,MN,2026,police,police,ROOTCOMP-7c657ebc57715d0271e60ef7|ROOTCOMP-f6f85054d5080c886c48dcb8,MECHEXP-3d158b95622801c608965468|MECHEXP-58057fefdc8e43ded421561b|MECHEXP-84d3fe171986b70568aa2269|MECHEXP-901a44243be39c23f6df3449|MECHEXP-9393a3c7dd0350cbd92003c9|MECHEXP-eff71bcadc239aa2a693681e,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-f2b668cd31648de9ac2de3cb,SEARCHCALL-5820bfa615db04d80a0123de,v1_primary,EXTCAND-071a279af5add3ec8e3c8b34,2026-08-04T23:33:36.131603+00:00,public_source_candidate_unconfirmed,html,AVAILREVIEW-3918d5142335a0da12e07398,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,overtime_staffing_response,payroll_roster,weak_secondary_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|direct_staffing_relevance|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates payroll roster in multi family administrative source. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_005,2026-08-05T14:39:38.620695+00:00
EXTCAND-076fde6af04a4418ef71ca62,EXTCAND-076fde6af04a4418ef71ca62,,https://www.ziprecruiter.com/c/International-Paper/Job/General-Labor-3rd-Shift/-in-Bedford-Park%2CIL?jid=fec1be3cf666b316,https://www.ziprecruiter.com/c/International-Paper/Job/General-Labor-3rd-Shift/-in-Bedford-Park%2CIL?jid=fec1be3cf666b316,,"Likely **official/primary administrative source types** for metadata-only discovery targeting **Village of Bedford Park, Illinois (FY 2024)** items like *payroll salaries/earnings/overtime, budget authorized positions, vacancies/staffing recruitment/retention/turnover, salary step schedules, ordinance/resolution pay plan, and pension/health contribution/compensation studies*: 1. **Village of Bedfo",www.ziprecruiter.com,unconfirmed,Bedford Park,IL,2024,non_safety,non_safety,ROOTCOMP-ca49dbdce0bbec48ca22543a,MECHEXP-28e0cf80bb4e765c136e7d1a|MECHEXP-4dfbfaf50049e5aed4877d8b|MECHEXP-8642d6b5da826519391f7fda|MECHEXP-8e030c1eb27822abbe50c5ab|MECHEXP-da4e6479345eb076dd958f56,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,multi_family_administrative_source,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-e158cfb27fc6bead9d1d3c66,SEARCHCALL-ee595fe4c365f2291b3c0361,v1_primary,EXTCAND-076fde6af04a4418ef71ca62,2026-08-04T23:32:26.246388+00:00,public_source_candidate_unconfirmed,web,AVAILREVIEW-e3adbb5d4098ec604c731af1,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,overtime_staffing_response,payroll_roster,weak_secondary_source,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|direct_staffing_relevance|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates payroll roster in multi family administrative source. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_002,2026-08-05T14:27:38.617456+00:00
EXTCAND-0a22c739f4cba9cb40963452,EXTCAND-0a22c739f4cba9cb40963452,,https://www.indeed.com/q-pepsi-l-gaines%2C-mi-jobs.html,https://www.indeed.com/q-pepsi-l-gaines%2C-mi-jobs.html,,"### Likely official/primary source types (metadata-only discovery) for “Gaines, MI” (2024) payroll/pay plan staffing compensation Because “Gaines, MI” can refer to multiple local governments, the most reliable *administrative* sources to target are the government’s own websites/portals and Michigan state repositories that collect local fiscal/compensation documents: 1. **Local government official ",www.indeed.com,unconfirmed,Gaines,MI,2024,all_units,all_units,ROOTCOMP-20d2e29070809f5b0fdabe60,MECHEXP-2f3cebf4ab17f2152b4ed60f|MECHEXP-55522b028dd8095a787df755|MECHEXP-59755d9474dd4f3f240eaf17|MECHEXP-907b0ba13227cbcf283f7f29|MECHEXP-a4ca0b0ea2f66e411078b449,,and staffing gaps linked to this municipality-period action bundle|benefit|confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | tests recruitment and retention pressure with comparable administrative outcomes | tests vacancy and staffing-reduction mechanisms with denominators | upgrades implementation from documented term to paid outcome|implementation|payroll|progression|workforce,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,,unreviewed,unreviewed,excluded_out_of_scope,payroll_and_earnings,none_at_final_canonical_input,external_search_wave_001_compacted,EXTSEARCH-690384c00bda53577ab737f5,SEARCHCALL-1c44f6e70d5407ce06affed0,v1_primary,EXTCAND-0a22c739f4cba9cb40963452,2026-08-04T23:35:42.546546+00:00,public_source_candidate_unconfirmed,html,AVAILREVIEW-5e9f6f809944f4bf9b47100b,payroll_and_earnings,,contextual_staffing_only,payroll_roster,weak_secondary_source,upgrades_growth_analysis|upgrades_local_wage_comparison,4,1,4,4,4,3,0,0,4,administrative_source_type_signal|excluded_domain_or_non_us_source|mechanism_event_linked|root_event_linked,weak secondary source; metadata indicates payroll roster in payroll and earnings. Final bucket: excluded out of scope.,high,excluded_out_of_scope,false,deterministic_local_metadata_only,candidate_review_lane_001,2026-08-05T14:23:38.409139+00:00
