figure_id,map_axes_share_of_figure,target_range,status
corrected-category-map-none-identified,0.504,0.50–0.65,pass
corrected-category-map-payroll-effective-date,0.504,0.50–0.65,pass
corrected-category-map-retroactive,0.504,0.50–0.65,pass
corrected-category-map-retroactive-pay,0.504,0.50–0.65,pass
corrected-category-map-recurring,0.504,0.50–0.65,pass
corrected-category-map-fiscal-constraint,0.504,0.50–0.65,pass
corrected-category-map-budget-pay-plan-process,0.504,0.50–0.65,pass
corrected-category-map-no-direct-compensation-outcome,0.504,0.50–0.65,pass
corrected-category-map-across-the-board-raise,0.504,0.50–0.65,pass
corrected-category-map-one-time,0.504,0.50–0.65,pass
corrected-category-map-non-base-compensation-other,0.504,0.50–0.65,pass
corrected-category-map-ordinance-council-adoption,0.504,0.50–0.65,pass
corrected-category-map-ordinance-adoption,0.504,0.50–0.65,pass
corrected-category-map-unclear,0.504,0.50–0.65,pass
corrected-category-map-base-wage-change,0.504,0.50–0.65,pass
corrected-category-map-step-progression,0.504,0.50–0.65,pass
corrected-category-map-cola-cpi-adjustment,0.504,0.50–0.65,pass
corrected-category-map-uniform-or-equipment-allowance,0.504,0.50–0.65,pass
corrected-category-map-benefit-cost-change,0.504,0.50–0.65,pass
corrected-category-map-budget-appropriation,0.504,0.50–0.65,pass
corrected-category-map-stipend-or-premium,0.504,0.50–0.65,pass
corrected-category-map-settlement-or-mou,0.504,0.50–0.65,pass
corrected-category-map-market-recruitment-retention,0.504,0.50–0.65,pass
corrected-category-map-classification-band-change,0.504,0.50–0.65,pass
corrected-category-map-longevity,0.504,0.50–0.65,pass
corrected-category-map-overtime,0.504,0.50–0.65,pass
corrected-category-map-inflation-indexing,0.504,0.50–0.65,pass
corrected-category-map-holiday-pay,0.504,0.50–0.65,pass
corrected-category-map-lump-sum,0.504,0.50–0.65,pass
corrected-category-map-bargaining-leverage,0.504,0.50–0.65,pass
corrected-category-map-collective-bargaining,0.504,0.50–0.65,pass
corrected-category-map-salary-range-change,0.504,0.50–0.65,pass
corrected-category-map-contract-ratification,0.504,0.50–0.65,pass
corrected-category-map-vacancy-pressure,0.504,0.50–0.65,pass
corrected-category-map-reimbursement,0.504,0.50–0.65,pass
corrected-category-map-comparability-parity,0.504,0.50–0.65,pass
corrected-category-map-classification-civil-service,0.504,0.50–0.65,pass
corrected-category-map-interest-arbitration,0.504,0.50–0.65,pass
corrected-profile-map-retroactivity-payroll,0.504,0.50–0.65,pass
corrected-profile-map-non-base-compensation,0.504,0.50–0.65,pass
corrected-profile-map-scheduled-base-growth,0.504,0.50–0.65,pass
corrected-profile-map-budgets-pay-plans,0.504,0.50–0.65,pass
corrected-profile-map-ordinance-adoption,0.504,0.50–0.65,pass
corrected-profile-map-formal-bargaining,0.504,0.50–0.65,pass
corrected-profile-map-classification-structure,0.504,0.50–0.65,pass
corrected-profile-map-staffing-market-pressure,0.504,0.50–0.65,pass
