review_type,extraction_case_id,page_number,lane,observation_ids,observation_count,qa_reason,resolution_classification,resolution_status,unresolved_flag,structured_basis,canonical_observation_id,duplicate_observation_ids
exact_structured_content_duplicate,cex_a8b0a89bfcd3f21db563404c,12,nonbase,nobsqa1000_8cb73e4deeb044017f4f2196|nobsqa1000_ac007894589648e6a297584e,2,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest stable observation ID is canonical.,nobsqa1000_8cb73e4deeb044017f4f2196,nobsqa1000_ac007894589648e6a297584e
exact_structured_content_duplicate,cex_fb56931c22da3938b1933bd7,18,nonbase,nobsqa1000_b1daf034adf9636583ea8371|nobsqa1000_cd5b1b86c7446210ce26802f,2,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest stable observation ID is canonical.,nobsqa1000_b1daf034adf9636583ea8371,nobsqa1000_cd5b1b86c7446210ce26802f
exact_structured_content_duplicate,cex_1479248c79b0675874ed5c47,25,nonbase,nobsqa1000_2cb021072ce2590833c44cfc|nobsqa1000_df5c3c3103971f3ece39b0f0|nobsqa1000_fce6076e76236d8f255ecb02,3,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest stable observation ID is canonical.,nobsqa1000_2cb021072ce2590833c44cfc,nobsqa1000_df5c3c3103971f3ece39b0f0|nobsqa1000_fce6076e76236d8f255ecb02
exact_structured_content_duplicate,cex_3ecfd7b90b64dd24f259e7e4,15,nonbase,nobsqa1000_abff138ab419a97147fbb82f|nobsqa1000_d510dc349afb469075c628a9,2,EXACT_STRUCTURED_CONTENT_REPEATED,duplicate_or_same_observation,resolved,false,Exact structured content; earliest stable observation ID is canonical.,nobsqa1000_abff138ab419a97147fbb82f,nobsqa1000_d510dc349afb469075c628a9
potential_quantitative_conflict,cex_cf2ef3b39fdcb44d58e51f3b,6,quantitative,qobs_8044c5b70358d7b132b804a2|qobs_4b7fa2ac4dc2c0441ed90118,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate percentage components/cells.,,
potential_quantitative_conflict,cex_5bcf8fc4872759a9bb92a89b,10,quantitative,qobs_09740c868c022a470219240f|qobs_e183f31821059045e64e898d,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate percentage components/cells.,,
potential_quantitative_conflict,cex_43e0f3541d71ad9b5fbacbcc,5,quantitative,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate percentage components/cells.,,
potential_quantitative_conflict,cex_3aa9b7e69b4a086e1dd2e5b5,8,quantitative,qobs_37b00ea23114e8bcc3dc5ac6|qobs_d21cb18e2de539057c644ca9,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,insufficient_evidence_needs_review,unresolved,true,"Carried forward from corrected 1,000-document targeted-QA shadow.",,
potential_quantitative_conflict,cex_f86002aabdcccceea3315e2d,5,quantitative,qobs_dc3e4751cef3e970f04b7f96|qobs_b3ee2db3f3a0aabb224d611b|qobs_bb580cc8f6ed01dcb4c94361|qobs_f4d14c722cfade7fd4c6ad82,4,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate percentage components/cells.,,
potential_quantitative_conflict,cex_60f545713dd3d64f8f7d2580,36,quantitative,qobs_4eccb7887656c2d01ed5891a|qobs_fa06ad19d5b99b9cbebf7851,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate structured values on the page.,,
potential_quantitative_conflict,cex_0bdde108326cd26fbfcd23a1,1,quantitative,qobs_399fb6bc05bb808915e05676|qobs_61022f6cd00d5a01659db83f,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_effective_period,resolved,false,Different year tokens identify distinct effective periods.,,
potential_quantitative_conflict,cex_0bdde108326cd26fbfcd23a1,2,quantitative,qobs_ca9ae5f89960cc9ea76a9fdd|qobs_95bdd64c7a0562271046a114|qobs_efa686783a8994c3e2550434,3,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_effective_period,resolved,false,Different year tokens identify distinct effective periods.,,
potential_quantitative_conflict,cex_0265647a9dfb1ada78c6c015,28,quantitative,qobs_3182599c90ebc7d9a53ce7a8|qobs_deaef29db45f0e484ecf83cb,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_classification_or_rank,resolved,false,Reason codes distinguish named/classified/market pay components.,,
potential_quantitative_conflict,cex_0265647a9dfb1ada78c6c015,28,quantitative,qobs_c378eca908a151025bb9b314|qobs_571970b1da5de4214cdb6e7f,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_classification_or_rank,resolved,false,Reason codes distinguish named/classified/market pay components.,,
potential_quantitative_conflict,cex_4ae96d4716c9d16f51e96338,1,quantitative,qobs_8b795385291a2329c660b313|qobs_616ed91fc6e84cac4546b313|qobs_ac972bfdadb3e8da81f13317,3,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_classification_or_rank,resolved,false,Distinct structured reason codes identify separate schedule rows/cells.,,
potential_quantitative_conflict,cex_4ae96d4716c9d16f51e96338,1,quantitative,qobs_1f67d73bb436adb3a6d166ef|qobs_3993b784bdd5dcb1d082fe02,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_classification_or_rank,resolved,false,Distinct structured reason codes identify separate schedule rows/cells.,,
potential_quantitative_conflict,cex_9910ffe374d823ba0403d682,1,quantitative,qobs_0aedd9ce7bcafbaa7c006e87|qobs_a32111d0e07be1a417ac3a00|qobs_d3d77c681e1d95d916fb00ea,3,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_effective_period,resolved,false,Different year tokens identify distinct effective periods.,,
potential_quantitative_conflict,cex_9910ffe374d823ba0403d682,1,quantitative,qobs_d1f487ed8b6a0e4398a22091|qobs_a7ed5daa06348c7ff796e752,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate percentage components/cells.,,
potential_quantitative_conflict,cex_5c42671b903f2c4c5b1772db,11,quantitative,qobs_7487d85e6da52c266564386c|qobs_3fff7ead5bf92d2bfa54d110|qobs_0ac01ed6fb17d98e9e55f450|qobs_e3f50c415d913677b30993ca,4,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate structured values on the page.,,
potential_quantitative_conflict,cex_03b2c71eb4e4270de7dbae55,5,quantitative,qobs_58c90faa148bd87f0a301554|qobs_3232855663389a176dfe533e,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_schedule_cell,resolved,false,Distinct reason codes identify separate structured values on the page.,,
potential_quantitative_conflict,cex_89199500d21c2dbab6bb3b4c,22,quantitative,qobs_d27117eb74b19b547ef8b778|qobs_419736e633d6cc58da5b6dc0,2,SAME_EVIDENCE_KEY_DIFFERENT_VALUES,distinct_classification_or_rank,resolved,false,Distinct structured reason codes identify separate schedule rows/cells.,,
