claim_id,claim_title,claim_statement,mechanism_name,mechanism_class,mechanism_explanation,causal_pressure_direction,how_mechanism_creates_wage_pressure,beneficiary_side,fit_with_safety_wages_grow_faster_assertion,evidence_strength,evidence_counts,example_ids,example_summaries,counterexamples_or_limits,claim_boundary,what_would_make_good_as_gold,recommended_language,language_to_avoid,source_lineage,gate_dependency,caveats
MECH-01,Collective bargaining formalizes recurring wage adjustment,"The corpus supports a bounded causal-mechanism interpretation that recurring negotiations create a decision point at which wage schedules, steps, premiums, and implementation dates can be raised and locked into an enforceable agreement. This is a documentary institutional finding, not an estimated causal effect.",collective bargaining,collective_bargaining,"Recurring negotiations create a decision point at which wage schedules, steps, premiums, and implementation dates can be raised and locked into an enforceable agreement.",upward,"Recurring negotiations create a decision point at which wage schedules, steps, premiums, and implementation dates can be raised and locked into an enforceable agreement.",mixed,supports,strong,"{""mechanism_records"":988,""quant_qual_links"":146,""side_counts"":{""remains_unclear"":724,""not_applicable"":57,""police_direct"":171,""non_safety_direct"":5,""fire_direct"":26,""safety_combined_direct"":3,""side_independent"":2},""claim_boundary_counts"":{""mechanism_only"":716,""repair_needed"":60,""conditional_with_caveats"":16,""claim_ready"":190,""supporting_example_ready"":5,""local_context_only"":1}}","[""WCCPEX-b7717536d2561f66db0ced52"",""WCCPEX-620023a75d044a4d722b9ff0"",""WCCPEX-8b5ca902e53552361ae73478"",""WCCPEX-51cbb8dfdcf9b325c7291eb0"",""WCCPEX-43c0717d1d8782a017697102"",""WCCPEX-5eaee9d18f6def9a66a41150""]","[""Traceable example WCCPEX-b7717536d2561f66db0ced52"",""Traceable example WCCPEX-620023a75d044a4d722b9ff0"",""Traceable example WCCPEX-8b5ca902e53552361ae73478"",""Traceable example WCCPEX-51cbb8dfdcf9b325c7291eb0"",""Traceable example WCCPEX-43c0717d1d8782a017697102"",""Traceable example WCCPEX-5eaee9d18f6def9a66a41150""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,"Repeated same-city, same-cycle safety and non-safety agreements with audited wage schedules and bargaining issue histories.","Collective bargaining formalizes recurring wage adjustment. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
MECH-02,Arbitration and factfinding preserve a wage-setting route through impasse,"The corpus supports a bounded causal-mechanism interpretation that when bargaining stalls, neutral awards or recommendations can set or shape compensation rather than leaving the status quo as the only outcome; comparability, recruitment, and ability-to-pay arguments enter a formal decision process. This is a documentary institutional finding, not an estimated causal effect.",arbitration factfinding,arbitration_factfinding,"When bargaining stalls, neutral awards or recommendations can set or shape compensation rather than leaving the status quo as the only outcome; comparability, recruitment, and ability-to-pay arguments enter a formal decision process.",mixed,"When bargaining stalls, neutral awards or recommendations can set or shape compensation rather than leaving the status quo as the only outcome; comparability, recruitment, and ability-to-pay arguments enter a formal decision process.",safety_combined,partially_supports,moderate,"{""mechanism_records"":13,""quant_qual_links"":5,""side_counts"":{""police_direct"":8,""remains_unclear"":5},""claim_boundary_counts"":{""mechanism_only"":4,""claim_ready"":7,""repair_needed"":2}}","[""WCCPEX-c50f28536893cd93aa5a787c"",""WCCPEX-9002228502ce09035b47f850"",""WCCPEX-485dc4377f5385f3763a6858""]","[""Traceable example WCCPEX-c50f28536893cd93aa5a787c"",""Traceable example WCCPEX-9002228502ce09035b47f850"",""Traceable example WCCPEX-485dc4377f5385f3763a6858""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,"A larger audited award/factfinding panel paired with predecessor contracts, adopted schedules, and matched non-safety settlements in the same municipal cycle.","Arbitration and factfinding preserve a wage-setting route through impasse. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
MECH-03,Non-base provisions raise effective compensation beyond the base schedule,"The corpus supports a bounded causal-mechanism interpretation that overtime, holiday pay, longevity, stipends, allowances, premiums, and reimbursements add contractual compensation channels that a base-wage comparison misses. This is a documentary institutional finding, not an estimated causal effect.",non base compensation,non_base_compensation,"Overtime, holiday pay, longevity, stipends, allowances, premiums, and reimbursements add contractual compensation channels that a base-wage comparison misses.",upward,"Overtime, holiday pay, longevity, stipends, allowances, premiums, and reimbursements add contractual compensation channels that a base-wage comparison misses.",safety_combined,supports,strong,"{""mechanism_records"":7383,""quant_qual_links"":349,""side_counts"":{""remains_unclear"":4952,""police_direct"":1750,""fire_direct"":402,""non_safety_direct"":179,""mixed_direct"":4,""safety_combined_direct"":16,""not_applicable"":57,""side_independent"":23},""claim_boundary_counts"":{""mechanism_only"":2782,""claim_ready"":788,""conditional_with_caveats"":331,""repair_needed"":3376,""supporting_example_ready"":98,""local_context_only"":8}}","[""WCCPEX-605e55a2877ed56999fd1d6a"",""WCCPEX-a443067e1aa2cb1c4e72dce3"",""WCCPEX-dea0cd1123e3866a6fa117d1"",""WCCPEX-120a8b6fc9b00901981f2636"",""WCCPEX-0dcc3e5a0b0284b2a1fba088"",""WCCPEX-1183e3994ecf34e4483d0be9"",""WCCPEX-8fb6d55d693a1bbb2f501aef"",""WCCPEX-e7be88fa29409c9d99639d6b"",""WCCPEX-139c0028f316f0def5fd6fc3"",""WCCPEX-bfb60e7149599b9feef7e672"",""WCCPEX-c1c9db118da134b2e18043a2"",""WCCPEX-3f968083bb0a3e6b945ae625"",""WCCPEX-e8b1c0f585f83d8d9be78067"",""WCCPEX-ae1ffd17ba3dcc0fe5cf02de"",""WCCPEX-4dcb57e2aec527dd221d981f"",""WCCPEX-749c1916a1d7e72b10c6f811"",""WCCPEX-961a5a827b4525bed2f99394"",""WCCPEX-e0b97ea3b53da73a66d69057"",""WCCPEX-5b34de8a11ca2968da1d460f"",""WCCPEX-40427164279d48875a35b20e"",""WCCPEX-1b3e6a08ac7bc12280e6fbef"",""WCCPEX-e6ebf3653a12fb280d7f17b7"",""WCCPEX-316efbdce9cee6bf08b6d6a9"",""WCCPEX-bd01578a0fb3894d5d5426ce"",""WCCPEX-f184272e349e694eda16225f"",""WCCPEX-2dadf77577382fb3876aa931"",""WCCPEX-36ef32c2827332108cf8c70e""]","[""Traceable example WCCPEX-605e55a2877ed56999fd1d6a"",""Traceable example WCCPEX-a443067e1aa2cb1c4e72dce3"",""Traceable example WCCPEX-dea0cd1123e3866a6fa117d1"",""Traceable example WCCPEX-120a8b6fc9b00901981f2636"",""Traceable example WCCPEX-0dcc3e5a0b0284b2a1fba088"",""Traceable example WCCPEX-1183e3994ecf34e4483d0be9"",""Traceable example WCCPEX-8fb6d55d693a1bbb2f501aef"",""Traceable example WCCPEX-e7be88fa29409c9d99639d6b"",""Traceable example WCCPEX-139c0028f316f0def5fd6fc3"",""Traceable example WCCPEX-bfb60e7149599b9feef7e672"",""Traceable example WCCPEX-c1c9db118da134b2e18043a2"",""Traceable example WCCPEX-3f968083bb0a3e6b945ae625"",""Traceable example WCCPEX-e8b1c0f585f83d8d9be78067"",""Traceable example WCCPEX-ae1ffd17ba3dcc0fe5cf02de"",""Traceable example WCCPEX-4dcb57e2aec527dd221d981f"",""Traceable example WCCPEX-749c1916a1d7e72b10c6f811"",""Traceable example WCCPEX-961a5a827b4525bed2f99394"",""Traceable example WCCPEX-e0b97ea3b53da73a66d69057"",""Traceable example WCCPEX-5b34de8a11ca2968da1d460f"",""Traceable example WCCPEX-40427164279d48875a35b20e"",""Traceable example WCCPEX-1b3e6a08ac7bc12280e6fbef"",""Traceable example WCCPEX-e6ebf3653a12fb280d7f17b7"",""Traceable example WCCPEX-316efbdce9cee6bf08b6d6a9"",""Traceable example WCCPEX-bd01578a0fb3894d5d5426ce"",""Traceable example WCCPEX-f184272e349e694eda16225f"",""Traceable example WCCPEX-2dadf77577382fb3876aa931"",""Traceable example WCCPEX-36ef32c2827332108cf8c70e""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,"Role-level total-compensation accounting that harmonizes hours, eligibility, take-up, overtime exposure, and identical compensation categories across safety and non-safety units.","Non-base provisions raise effective compensation beyond the base schedule. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
MECH-04,"Step, seniority, and rank ladders embed scheduled wage growth","The corpus supports a bounded causal-mechanism interpretation that progression rules increase pay as tenure, rank, or schedule steps advance, producing automatic or semi-automatic growth between major renegotiations. This is a documentary institutional finding, not an estimated causal effect.",step schedule seniority,step_schedule_seniority,"Progression rules increase pay as tenure, rank, or schedule steps advance, producing automatic or semi-automatic growth between major renegotiations.",upward,"Progression rules increase pay as tenure, rank, or schedule steps advance, producing automatic or semi-automatic growth between major renegotiations.",mixed,supports,strong,"{""mechanism_records"":891,""quant_qual_links"":30,""side_counts"":{""remains_unclear"":401,""non_safety_direct"":26,""police_direct"":361,""fire_direct"":96,""safety_combined_direct"":2,""not_applicable"":5},""claim_boundary_counts"":{""repair_needed"":544,""mechanism_only"":202,""supporting_example_ready"":5,""conditional_with_caveats"":10,""claim_ready"":130}}","[""WCCPEX-f2fd6f6f10b7f68fc611502d"",""WCCPEX-04b78c315901ed753adfaafc"",""WCCPEX-d93826f028e20287c2faebf3"",""WCCPEX-18b246564de6514fdf28595d"",""WCCPEX-78769159a6eaa8ae1ae032ba"",""WCCPEX-9d784d3da22258d434186744"",""WCCPEX-d363647aa741f6ddfaed93bb"",""WCCPEX-1a482d9e803680bc2be37c26"",""WCCPEX-3d15a47f11f5a872cc55e2e0"",""WCCPEX-28fd478fa2f6d4ea75d7b7ba"",""WCCPEX-4516fe088559a68174ce543e"",""WCCPEX-62e56069a08dc0760e99fb25"",""WCCPEX-f1ad0285e5ddced9c7585869"",""WCCPEX-7657b9ea57a65a3c51691bdd"",""WCCPEX-6a0895a6349285225d856eaa"",""WCCPEX-a75b353474526a5b70a21547"",""WCCPEX-e326af1f96621c14301c1057"",""WCCPEX-b13fcf995718d58794224ae6""]","[""Traceable example WCCPEX-f2fd6f6f10b7f68fc611502d"",""Traceable example WCCPEX-04b78c315901ed753adfaafc"",""Traceable example WCCPEX-d93826f028e20287c2faebf3"",""Traceable example WCCPEX-18b246564de6514fdf28595d"",""Traceable example WCCPEX-78769159a6eaa8ae1ae032ba"",""Traceable example WCCPEX-9d784d3da22258d434186744"",""Traceable example WCCPEX-d363647aa741f6ddfaed93bb"",""Traceable example WCCPEX-1a482d9e803680bc2be37c26"",""Traceable example WCCPEX-3d15a47f11f5a872cc55e2e0"",""Traceable example WCCPEX-28fd478fa2f6d4ea75d7b7ba"",""Traceable example WCCPEX-4516fe088559a68174ce543e"",""Traceable example WCCPEX-62e56069a08dc0760e99fb25"",""Traceable example WCCPEX-f1ad0285e5ddced9c7585869"",""Traceable example WCCPEX-7657b9ea57a65a3c51691bdd"",""Traceable example WCCPEX-6a0895a6349285225d856eaa"",""Traceable example WCCPEX-a75b353474526a5b70a21547"",""Traceable example WCCPEX-e326af1f96621c14301c1057"",""Traceable example WCCPEX-b13fcf995718d58794224ae6""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,"Digitized step-by-step panels for matched city-cycle units, with promotion, eligibility, and workforce-composition checks.","Step, seniority, and rank ladders embed scheduled wage growth. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
MECH-05,COLA and indexing clauses transmit inflation or scheduled percentages into pay,"The corpus supports a bounded causal-mechanism interpretation that fixed percentage raises and CPI-linked adjustments convert time or inflation triggers into scheduled pay changes, protecting nominal wage growth from being renegotiated from zero each year. This is a documentary institutional finding, not an estimated causal effect.",cola cpi indexing,cola_cpi_indexing,"Fixed percentage raises and CPI-linked adjustments convert time or inflation triggers into scheduled pay changes, protecting nominal wage growth from being renegotiated from zero each year.",upward,"Fixed percentage raises and CPI-linked adjustments convert time or inflation triggers into scheduled pay changes, protecting nominal wage growth from being renegotiated from zero each year.",mixed,partially_supports,strong,"{""mechanism_records"":1701,""quant_qual_links"":131,""side_counts"":{""remains_unclear"":1449,""fire_direct"":30,""police_direct"":176,""not_applicable"":22,""non_safety_direct"":24},""claim_boundary_counts"":{""mechanism_only"":152,""conditional_with_caveats"":84,""repair_needed"":1167,""claim_ready"":293,""supporting_example_ready"":5}}","[""WCCPEX-fa637add09963a080b3734e2"",""WCCPEX-c85689d111d6649da0624c40"",""WCCPEX-878f9634860427d13452c14b"",""WCCPEX-f3a85cfcb6f64732cba1a36a""]","[""Traceable example WCCPEX-fa637add09963a080b3734e2"",""Traceable example WCCPEX-c85689d111d6649da0624c40"",""Traceable example WCCPEX-878f9634860427d13452c14b"",""Traceable example WCCPEX-f3a85cfcb6f64732cba1a36a""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,"Matched safety/non-safety COLA formulas, caps, floors, effective dates, and realized adjustments across repeated municipal cycles.","COLA and indexing clauses transmit inflation or scheduled percentages into pay. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
MECH-06,"Recruitment, retention, and market comparability justify upward adjustments","The corpus supports a bounded causal-mechanism interpretation that vacancy pressure, retention risk, and external comparators supply an explicit decision rationale for higher schedules, premiums, or targeted adjustments; essential-service staffing can make that rationale more urgent for public safety. This is a documentary institutional finding, not an estimated causal effect.",market recruitment retention,market_recruitment_retention,"Vacancy pressure, retention risk, and external comparators supply an explicit decision rationale for higher schedules, premiums, or targeted adjustments; essential-service staffing can make that rationale more urgent for public safety.",upward,"Vacancy pressure, retention risk, and external comparators supply an explicit decision rationale for higher schedules, premiums, or targeted adjustments; essential-service staffing can make that rationale more urgent for public safety.",mixed,supports,strong,"{""mechanism_records"":1395,""quant_qual_links"":130,""side_counts"":{""remains_unclear"":835,""safety_combined_direct"":34,""police_direct"":299,""fire_direct"":85,""non_safety_direct"":67,""mixed_direct"":1,""not_applicable"":73,""side_independent"":1},""claim_boundary_counts"":{""mechanism_only"":703,""conditional_with_caveats"":75,""claim_ready"":358,""repair_needed"":208,""supporting_example_ready"":50,""local_context_only"":1}}","[""WCCPEX-80dbbcb3f4d246dc7abfaaef"",""WCCPEX-fe047165d32196d00caf2864"",""WCCPEX-0683fc0744fd1d5134a9f6da"",""WCCPEX-d7f34abf3d9e4467ca7392bb""]","[""Traceable example WCCPEX-80dbbcb3f4d246dc7abfaaef"",""Traceable example WCCPEX-fe047165d32196d00caf2864"",""Traceable example WCCPEX-0683fc0744fd1d5134a9f6da"",""Traceable example WCCPEX-d7f34abf3d9e4467ca7392bb""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,"Vacancy, turnover, applicant, and comparator-market data linked to adopted adjustments for matched safety and non-safety units.","Recruitment, retention, and market comparability justify upward adjustments. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
MECH-07,Retroactivity converts bargaining delay into payable increases and back pay,"The corpus supports a bounded causal-mechanism interpretation that retroactive effective dates preserve scheduled increases despite delayed settlement or adoption and can create back-pay obligations when an agreement is implemented later. This is a documentary institutional finding, not an estimated causal effect.",retroactivity implementation,retroactivity_implementation,Retroactive effective dates preserve scheduled increases despite delayed settlement or adoption and can create back-pay obligations when an agreement is implemented later.,upward,Retroactive effective dates preserve scheduled increases despite delayed settlement or adoption and can create back-pay obligations when an agreement is implemented later.,mixed,supports,strong,"{""mechanism_records"":3771,""quant_qual_links"":34,""side_counts"":{""remains_unclear"":2575,""fire_direct"":223,""police_direct"":864,""non_safety_direct"":70,""safety_combined_direct"":7,""mixed_direct"":1,""not_applicable"":31},""claim_boundary_counts"":{""mechanism_only"":1054,""conditional_with_caveats"":38,""repair_needed"":2362,""claim_ready"":181,""supporting_example_ready"":136}}","[""WCCPEX-d2fabc32027cdf0d9f2d46df"",""WCCPEX-74306cd723a39a8fdecaf5dd"",""WCCPEX-50ce521ead120927aeb6428f""]","[""Traceable example WCCPEX-d2fabc32027cdf0d9f2d46df"",""Traceable example WCCPEX-74306cd723a39a8fdecaf5dd"",""Traceable example WCCPEX-50ce521ead120927aeb6428f""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,"Audited settlement, effective, payroll-implementation, and disbursement dates plus matched comparison-unit timing.","Retroactivity converts bargaining delay into payable increases and back pay. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
MECH-08,Council and ordinance adoption make compensation changes operative policy,"The corpus supports a bounded causal-mechanism interpretation that formal adoption moves negotiated, recommended, or administratively proposed compensation into authorized municipal pay policy and funding authority. This is a documentary institutional finding, not an estimated causal effect.",ordinance council adoption,ordinance_council_adoption,"Formal adoption moves negotiated, recommended, or administratively proposed compensation into authorized municipal pay policy and funding authority.",mixed,"Formal adoption moves negotiated, recommended, or administratively proposed compensation into authorized municipal pay policy and funding authority.",mixed,partially_supports,moderate,"{""mechanism_records"":120,""quant_qual_links"":88,""side_counts"":{""fire_direct"":11,""not_applicable"":57,""police_direct"":45,""non_safety_direct"":6,""safety_combined_direct"":1},""claim_boundary_counts"":{""claim_ready"":62,""mechanism_only"":35,""repair_needed"":20,""conditional_with_caveats"":3}}","[""WCCPEX-84d60d648789abeaa588e12c"",""WCCPEX-691b60a557d81d806bb055be"",""WCCPEX-933bd132de7fd3ba9fe55c6f"",""WCCPEX-c1dfac85c609973b5e1a20cc"",""WCCPEX-502bbcdf377ad9430809d6be""]","[""Traceable example WCCPEX-84d60d648789abeaa588e12c"",""Traceable example WCCPEX-691b60a557d81d806bb055be"",""Traceable example WCCPEX-933bd132de7fd3ba9fe55c6f"",""Traceable example WCCPEX-c1dfac85c609973b5e1a20cc"",""Traceable example WCCPEX-502bbcdf377ad9430809d6be""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,"Proposal-to-vote-to-payroll lineage for matched units, including rejected or reduced proposals as counterfactual outcomes.","Council and ordinance adoption make compensation changes operative policy. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
MECH-09,Budgets both institutionalize increases and constrain their size,"The corpus supports a bounded causal-mechanism interpretation that pay-plan appropriations can finance and institutionalize compensation changes, while fiscal limits, revenue pressure, and affordability arguments can cap or delay them. This is a documentary institutional finding, not an estimated causal effect.",budget fiscal constraint,budget_fiscal_constraint,"Pay-plan appropriations can finance and institutionalize compensation changes, while fiscal limits, revenue pressure, and affordability arguments can cap or delay them.",mixed,"Pay-plan appropriations can finance and institutionalize compensation changes, while fiscal limits, revenue pressure, and affordability arguments can cap or delay them.",mixed,complicates,strong,"{""mechanism_records"":7133,""quant_qual_links"":3,""side_counts"":{""remains_unclear"":3817,""non_safety_direct"":667,""police_direct"":1436,""safety_combined_direct"":27,""fire_direct"":295,""not_applicable"":880,""mixed_direct"":11},""claim_boundary_counts"":{""mechanism_only"":1475,""conditional_with_caveats"":182,""claim_ready"":4203,""repair_needed"":1141,""supporting_example_ready"":132}}","[""WCCPEX-6e0a5f498b3ab5fea3275c6c"",""WCCPEX-9484c5ee48320bc2c57fca84"",""WCCPEX-6ffef1e55fc830798fb7ca9b""]","[""Traceable example WCCPEX-6e0a5f498b3ab5fea3275c6c"",""Traceable example WCCPEX-9484c5ee48320bc2c57fca84"",""Traceable example WCCPEX-6ffef1e55fc830798fb7ca9b""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,Unit-specific adopted appropriations linked to schedules and comparable fiscal exposure across safety and non-safety departments.,"Budgets both institutionalize increases and constrain their size. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
MECH-10,Classification and civil-service systems structure wage floors and advancement,"The corpus supports a bounded causal-mechanism interpretation that grades, classifications, rank rules, and civil-service structures define entry points and promotion ladders, constraining discretion while making some increases systematic. This is a documentary institutional finding, not an estimated causal effect.",classification civil service,classification_civil_service,"Grades, classifications, rank rules, and civil-service structures define entry points and promotion ladders, constraining discretion while making some increases systematic.",mixed,"Grades, classifications, rank rules, and civil-service structures define entry points and promotion ladders, constraining discretion while making some increases systematic.",mixed,partially_supports,moderate,"{""mechanism_records"":225,""quant_qual_links"":83,""side_counts"":{""police_direct"":106,""not_applicable"":20,""remains_unclear"":51,""fire_direct"":44,""non_safety_direct"":4},""claim_boundary_counts"":{""claim_ready"":144,""supporting_example_ready"":4,""repair_needed"":31,""mechanism_only"":39,""conditional_with_caveats"":7}}","[""WCCPEX-c24569c6bd53381699bae3b1"",""WCCPEX-caedb9df9638617877d52c61"",""WCCPEX-108b1206b07c1033136c2d84""]","[""Traceable example WCCPEX-c24569c6bd53381699bae3b1"",""Traceable example WCCPEX-caedb9df9638617877d52c61"",""Traceable example WCCPEX-108b1206b07c1033136c2d84""]","Non-safety units also use formal pay mechanisms; side balance, period, pay-basis, and role comparability are incomplete, so mechanism presence is not a measured safety wage premium.",bounded_causal_mechanism_interpretation,"Matched job-evaluation criteria, grade assignments, reclassification events, and schedule outcomes for comparable city occupations.","Classification and civil-service systems structure wage floors and advancement. The documentary record supports this wage-pressure channel, subject to the stated comparison boundary.",This mechanism caused a nationally estimated safety wage difference or proves a national prevalence rate.,Example IDs resolve to claim_examples.csv; aggregate counts resolve to whole_corpus_mechanism_layer.csv and whole_corpus_quant_qual_link_layer.csv.,mechanism_evidence_gate=pass; global_causal_readiness_gate=fail; global_wage_gap_readiness_gate=fail,"Mechanism strength and wage-gap identification are separate. Multiple coded spans can originate from one source; counts are evidence units, not prevalence estimates."
