example_id,source_record_id,example_type,municipality,state,source_family,evidence_type,side_label,mechanism_class,brief_bounded_evidence_summary,why_this_example_matters,claim_it_supports,caveats,raw_bounded_snippet_or_pointer,source_lineage
WCCPEX-8e43bbcb8fd2a422e8c1776c,BRMLOCALQA-33fab94c98dce7ee5063ec8b,local_comparison,New Hartford,MN,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,fire_direct,local_comparison_structure,"New Hartford, MN (2023): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}""]"
WCCPEX-3ba33f16e80188d389e25308,BRMLOCALQA-2b801666a2e1985222f582f8,local_comparison,Salem,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,police_direct,local_comparison_structure,"Salem, PA (2025): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}""]"
WCCPEX-7768659eace95d2d5edc5a3f,BRMLOCALQA-39a680cebef359daa9fb86ea,local_comparison,New Hartford,MN,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,fire_direct,local_comparison_structure,"New Hartford, MN (2023): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}""]"
WCCPEX-ef98e159096483ca7569aeb4,BRMLOCALQA-b546c99f21f2b128da799c5c,local_comparison,Oakland,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,police_direct,local_comparison_structure,"Oakland, PA (2021): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}""]"
WCCPEX-824a7b38d799ac5007f695f4,BRMLOCALQA-48853904443980bb9d4e8c2e,local_comparison,Salem,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,police_direct,local_comparison_structure,"Salem, PA (2025): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}""]"
WCCPEX-caabe26c699f3fa811fc8a9d,BRMLOCALQA-832c7fed58e5fc59cde3f773,local_comparison,Salem,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,police_direct,local_comparison_structure,"Salem, PA (2025): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}""]"
WCCPEX-a01b894c3eb9234095ac98ba,BRMLOCALQA-9904217f1ba65ef44df277f2,local_comparison,New Sewickley,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,police_direct,local_comparison_structure,"New Sewickley, PA (2023): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}""]"
WCCPEX-a88648db198e5b093f5ddb87,BRMLOCALQA-da595085d1586fdb6ae6ada8,local_comparison,New Sewickley,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,police_direct,local_comparison_structure,"New Sewickley, PA (2023): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}""]"
WCCPEX-69eabf11594f8f3c71690068,BRMLOCALQA-ae9d884b9805f7def150c547,local_comparison,Wilkins,PA,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,police_direct,local_comparison_structure,"Wilkins, PA (2025): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}""]"
WCCPEX-69c9cede01dfca579a79e693,BRMLOCALQA-b7d82de20c17978706b4b3aa,local_comparison,New Hartford,MN,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,local_comparison,fire_direct,local_comparison_structure,"New Hartford, MN (2023): local_supporting_example_ready safety/non-safety comparison structure with preserved lineage.",It supplies a traceable documentary instance for the local comparison structure channel without treating the record as a causal estimate.,claim_family_H,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",,"[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}""]"
