wave_id,priority_rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,selection_bucket,selection_reason,claim_or_source_need_connection,expected_units_to_search,verification_notes,recommended_scout_status,already_scouted_status,coverage_status_before_run,scout_purpose,anchor_cycle,known_source_cycle_exclusions,known_source_notes,known_source_urls
IL25.2-2026-07-20,1,IL,Arlington Heights,cog_2025_162229,162229,VILLAGE OF ARLINGTON HEIGHTS,municipal,place,74495,1,no,Cook County [17031; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,Largest eligible Illinois village after IL25; a substantial Cook County municipal employer for the second state-scale tier.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact VILLAGE OF ARLINGTON HEIGHTS employer and Census ID 162229, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute Cook County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no VILLAGE OF ARLINGTON HEIGHTS canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued VILLAGE OF ARLINGTON HEIGHTS source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
IL25.2-2026-07-20,2,IL,Oak Lawn,cog_2025_124891,124891,VILLAGE OF OAK LAWN,municipal,place,55734,1,no,Cook County [17031; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,Large southwest Cook County village selected for municipal public-safety and ordinary-civilian comparison outside Chicago.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact VILLAGE OF OAK LAWN employer and Census ID 124891, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute Cook County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no VILLAGE OF OAK LAWN canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued VILLAGE OF OAK LAWN source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
IL25.2-2026-07-20,3,IL,Berwyn,cog_2025_207777,207777,CITY OF BERWYN,municipal,place,54414,1,no,Cook County [17031; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,Large inner-ring Cook County city adding a dense municipal-employer contrast to the first Illinois batch.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact CITY OF BERWYN employer and Census ID 207777, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute Cook County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no CITY OF BERWYN canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF BERWYN source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
IL25.2-2026-07-20,4,IL,Mount Prospect,cog_2025_162258,162258,VILLAGE OF MOUNT PROSPECT,municipal,place,54298,1,no,Cook County [17031; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,Large northwest Cook County village selected as a clean municipal employer with likely cross-unit bargaining relevance.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact VILLAGE OF MOUNT PROSPECT employer and Census ID 162258, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute Cook County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no VILLAGE OF MOUNT PROSPECT canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued VILLAGE OF MOUNT PROSPECT source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
IL25.2-2026-07-20,5,IL,Wheaton,cog_2025_124909,124909,CITY OF WHEATON,municipal,place,52938,1,no,DuPage County [17043; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,Large DuPage County city and county-seat setting selected for administrative importance and suburban labor-market contrast.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact CITY OF WHEATON employer and Census ID 124909, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute DuPage County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no CITY OF WHEATON canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF WHEATON source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
IL25.2-2026-07-20,6,IL,Oak Park,cog_2025_124892,124892,VILLAGE OF OAK PARK,municipal,place,52055,1,no,Cook County [17031; county; government-units-primary=yes; basis=2020_place_by_county],mid_city_comparison_candidate,Medium-large inner-ring village selected to compare an independent municipal employer with nearby Chicago and Berwyn.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact VILLAGE OF OAK PARK employer and Census ID 124892, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute Cook County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no VILLAGE OF OAK PARK canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued VILLAGE OF OAK PARK source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
IL25.2-2026-07-20,7,IL,Hoffman Estates,cog_2025_162277,162277,VILLAGE OF HOFFMAN ESTATES,municipal,place,50179,2,yes,Cook County [17031; county; government-units-primary=yes; basis=2020_place_by_county] | Kane County [17089; county; government-units-primary=no; basis=2020_place_by_county],mid_city_comparison_candidate,Medium-large northwest suburban village selected for a multi-county municipal context and cross-unit comparison potential.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact VILLAGE OF HOFFMAN ESTATES employer and Census ID 162277, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute Cook County/Kane County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no VILLAGE OF HOFFMAN ESTATES canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued VILLAGE OF HOFFMAN ESTATES source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
IL25.2-2026-07-20,8,IL,Downers Grove,cog_2025_162295,162295,VILLAGE OF DOWNERS GROVE,municipal,place,49706,1,no,DuPage County [17043; county; government-units-primary=yes; basis=2020_place_by_county],mid_city_comparison_candidate,Medium-large DuPage village selected as a distinct municipal employer after Naperville and Wheaton.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact VILLAGE OF DOWNERS GROVE employer and Census ID 162295, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute DuPage County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no VILLAGE OF DOWNERS GROVE canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued VILLAGE OF DOWNERS GROVE source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
IL25.2-2026-07-20,9,IL,Plainfield,cog_2025_194711,194711,VILLAGE OF PLAINFIELD,municipal,place,47448,2,yes,Kendall County [17093; county; government-units-primary=no; basis=2020_place_by_county] | Will County [17197; county; government-units-primary=yes; basis=2020_place_by_county],mid_city_comparison_candidate,Fast-growing Will/Kendall municipal employer selected to complement Joliet and test suburban matched-cycle availability.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact VILLAGE OF PLAINFIELD employer and Census ID 194711, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute Kendall County/Will County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no VILLAGE OF PLAINFIELD canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued VILLAGE OF PLAINFIELD source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
IL25.2-2026-07-20,10,IL,Glenview,cog_2025_204271,204271,VILLAGE OF GLENVIEW,municipal,place,46904,1,no,Cook County [17031; county; government-units-primary=yes; basis=2020_place_by_county],mid_city_comparison_candidate,Medium-large north Cook County village selected for a clean municipal boundary and likely police/fire/civilian comparison value.,Illinois second-wave matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; expand geographic and employer-scale variation after IL25.,police CBA; fire CBA; one ordinary general-municipal non-safety CBA; public arbitration/factfinding/impasse or wage-setting mechanism material,"Later verification must confirm exact VILLAGE OF GLENVIEW employer and Census ID 204271, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, and mutual cycle overlap. Do not substitute Cook County, school districts, transit agencies, housing authorities, park districts, town/township governments, fire/water/other special districts, regional bodies, universities, or private providers. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear evidence.,None recorded: no VILLAGE OF GLENVIEW canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued VILLAGE OF GLENVIEW source/cycle is known locally; this is unverified scout-stage matched-set discovery only.,
