extraction_case_id,document_identity_id,text_table_detection_id,page_number,page_role,bounded_evidence_pointer,text_chars,wage_term_count,numeric_token_count,table_like_line_count,qualitative_mechanism_term_count,non_base_wage_term_count,reference_signal,rendered_image_available,rendered_image_path,packet_page_count,packet_text_chars,packet_status,cumulative_cohort
cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,1,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=1,1499,1,14,0,7,0,no,no,,6,5999,bounded_valid,remaining_parse_text_826_new
cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,2,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=2,1485,0,22,0,1,2,no,no,,6,5999,bounded_valid,remaining_parse_text_826_new
cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,4,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=4,1498,21,26,0,2,1,yes,no,,6,5999,bounded_valid,remaining_parse_text_826_new
cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,3,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=3,1478,18,24,1,1,6,yes,no,,6,5999,bounded_valid,remaining_parse_text_826_new
cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,5,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=5,32,0,3,0,0,1,no,no,,6,5999,bounded_valid,remaining_parse_text_826_new
cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,6,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf#page=6,7,0,1,0,0,0,no,no,,6,5999,bounded_valid,remaining_parse_text_826_new
cexrem_1cd033f8d5d1dbea28fb89c9,doc_8a7f8ad1a2bf91f3353bc034,ttd_56a3f16e6592609c33feef2d,5,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=5,1484,2,12,0,4,5,no,no,,6,5998,bounded_valid,remaining_parse_text_826_new
cexrem_1cd033f8d5d1dbea28fb89c9,doc_8a7f8ad1a2bf91f3353bc034,ttd_56a3f16e6592609c33feef2d,4,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=4,1497,0,19,0,4,0,no,no,,6,5998,bounded_valid,remaining_parse_text_826_new
cexrem_1cd033f8d5d1dbea28fb89c9,doc_8a7f8ad1a2bf91f3353bc034,ttd_56a3f16e6592609c33feef2d,6,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=6,1468,0,21,0,1,0,no,no,,6,5998,bounded_valid,remaining_parse_text_826_new
cexrem_1cd033f8d5d1dbea28fb89c9,doc_8a7f8ad1a2bf91f3353bc034,ttd_56a3f16e6592609c33feef2d,8,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=8,1495,10,16,0,9,0,no,no,,6,5998,bounded_valid,remaining_parse_text_826_new
cexrem_1cd033f8d5d1dbea28fb89c9,doc_8a7f8ad1a2bf91f3353bc034,ttd_56a3f16e6592609c33feef2d,7,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=7,54,0,3,0,1,0,no,no,,6,5998,bounded_valid,remaining_parse_text_826_new
cexrem_1cd033f8d5d1dbea28fb89c9,doc_8a7f8ad1a2bf91f3353bc034,ttd_56a3f16e6592609c33feef2d,9,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=9,0,0,0,0,0,0,no,no,,6,5998,bounded_valid,remaining_parse_text_826_new
cexrem_7b4d52a81880763a8ae85c85,doc_6b79b7fff367cc170a3aa876,ttd_9bcb5fe5e443c3717b1b27e7,18,candidate,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0028_sr_90b2b7dd9a256d4a1d7200fa.pdf#page=18,1462,1,9,0,0,3,no,yes,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/text_table_calibration/TEXT-TABLE-INDEPENDENT-ADJUDICATION-PREP1-2026-07-24/rendered_pages/adj_bd6513466209542a4934/page_0018.jpg,4,3683,bounded_valid,remaining_parse_text_826_new
cexrem_7b4d52a81880763a8ae85c85,doc_6b79b7fff367cc170a3aa876,ttd_9bcb5fe5e443c3717b1b27e7,17,nearby,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0028_sr_90b2b7dd9a256d4a1d7200fa.pdf#page=17,574,0,2,0,0,0,no,yes,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/text_table_calibration/TEXT-TABLE-INDEPENDENT-ADJUDICATION-PREP1-2026-07-24/rendered_pages/adj_bd6513466209542a4934/page_0017.jpg,4,3683,bounded_valid,remaining_parse_text_826_new
