claim_recommendation,confidence_basis,correction_fields,cross_exam_result_id,department,exact_excerpt_or_table_row,expected_claim_consequence,formula,headline_id,implementation_sequence_id,lane_id,lineage_fields,linked_claim,mathematical_inputs,municipality,packet_memberships,period,primary_outcome,proposed_interpretation,record_type,registry_hash,rejection_reason,reproduced_result,review_record_id,reviewer_rationale,side,source_coordinates,source_hash,source_id,source_title,staffing_review_class,state,supporting_disposition,surrounding_context,unresolved_reason
,strong_bounded_context,{},XRESULT-01e2ad48533a0b753b979048,not_applicable,"935,764",retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-043980f0e766c2379409c31f"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/d5/EXTPAYLOAD-0cf916c4e3c3c196dfd48dd9.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""935,764"",""safety_value"":""""}",cog_2025_204667,"[""core"",""headline""]",2022,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-08ca33d2ca6517fe01ea82bb,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""638966"",""character_start"":""638959"",""column"":"""",""page"":""267"",""row"":"""",""table_id"":""""}",d5464392c5246875e3c06ca17ae5b109cb3c4a2ccc6197a3c5459776871f3f7f,EXTSOURCE-0cf916c4e3c3c196dfd48dd9,retained source EXTPAYLOAD-0cf916c4e3c3c196dfd48dd9,,MI,weakly_supports_claim,"uation Under 12% Debt to Per Capita Personal Income Under 6% Principal Debt Percent Retired in Ten Years Over 50% Debt per Capita Under $2,000 Debt Service as Percentage of Non-Capital Expenditures Under 20% Fund Balance Percentages 20-30% of Revenue Shelby County’s debt obligations are within the stated affordability targets. Category 2017 2018 2019 2020 2021* Estimated Population 936,961 935,764 937,166 929,744 929,744 Per Capita Personal Income** $47,718 $49,417 $50,744 $50,744 $50,744 (in thousands) Appraised Property Valuation 60,418,966$ 67,338,527$ 67,794,202$ 68,050,683$ 82,758,224$ Assessed Valuation 18,102,855 20,247,539 20,371,062 20,405,327 25,238,040 Total General Fund Revenue 387,470 406,822 430,897 425,014 438,377 Direct G.O. Long-term Debt 898,580 807,110 890,795 802,235 913,705 Total",
,strong_bounded_context,{},XRESULT-2fd3459eb0022f005ef5b237,not_applicable,204,retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-4c7567578822504fb3cb48a9"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/fa/EXTPAYLOAD-4a42166c2c78577f2ef0d109.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""204"",""safety_value"":""""}",cog_2025_204667,"[""core"",""headline""]",2022,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-09a66cddefb321d850094a22,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""516719"",""character_start"":""516716"",""column"":"""",""page"":""201"",""row"":"""",""table_id"":""""}",fa33375eec687afa0736916196a3d1b7c827ecd3e63055bb684a53d8c0035a2a,EXTSOURCE-4a42166c2c78577f2ef0d109,retained source EXTPAYLOAD-4a42166c2c78577f2ef0d109,,MI,weakly_supports_claim,"George Askew) Floor & Kitchen Inspections 2,300 3,294 3,889 3,500 3,500 Staff Training 1,260 1,112 922 1,257 1,098 Jail Security (Chief Askew) Average Daily Population - Main Jail 2,164 2,022 2,123 2,500 2,500 Average daily population - Jail East 217 261 204 277 277 Jail Programs (Chief Askew) Fiduciary - Dress Out (initial package) 22,000 18,486 18,090 18,499 18,680 Inmate Meals 2,917,000 2,950,000 3,248,234 3,193,267 3,195,000 Juvenile participants (Jail East) 3,285 3,300 1,810 3,000 3,000 Juvenile participants (Juvenile Court) 38,894 30,000",
,strong_bounded_context,{},XRESULT-fba36a2b25c0843e8a190458,not_applicable,"2,459,616",retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-f80b1966eb9e9c4cf71abb0d"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b0/EXTPAYLOAD-5f0eb6b8182be228aab948dc.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""2,459,616"",""safety_value"":""""}",cog_2025_207834,"[""core"",""headline""]",2017,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-0b0e54e299a994dfd82b767e,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""350508"",""character_start"":""350499"",""column"":"""",""page"":""170"",""row"":"""",""table_id"":""""}",b08fd742367dfb15e1da85be4d2d5ee163bc33b78ff3a2474c4ae0d2c612f25c,EXTSOURCE-5f0eb6b8182be228aab948dc,retained source EXTPAYLOAD-5f0eb6b8182be228aab948dc,,IL,weakly_supports_claim,"ANCIAL SUMMARY ACCOUNT FY2023 ACTUALS FY2024 ADOPTED BUDGET FY2024 MODIFIED BUDGET FY2025 BUDGET $ VARIANCE % VARIANCE A41X-Taxes 5,693,657 3,550,000 3,550,000 4,250,000 700,000 20% A46X-Charges for Services 77 0 0 0 0 0% A49X-Transfers 5,639 46,463 46,463 50,282 3,819 8% AHM-Miscellaneous 11,592,852 3,246,703 3,246,703 5,002,500 1,755,797 54% Total Revenue 17,292,224 6,843,166 6,843,166 9,302,782 2,459,616 36% AH5X-Personnel 960,636 976,109 976,109 971,696 (4,413) 0% AH6X-Commodi�es 5,371 9,000 9,000 6,400 (2,600) -29% AH74X-Beneﬁts 322,791 356,018 356,018 334,458 (21,560) -6% AH7X-Contractuals 181,720 124,340 124,340 174,022 49,682 40% Total Expenses 1,470,519 1,465,467 1,465,467 1,486,576 21,109 1% GOALS ● Broaden information streams to County residents to keep them informed and educated on property tax collectio",
,strong_bounded_context,{},XRESULT-132d8acab785a0f8fe03577f,not_applicable,"214,946",retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-4f8c3a6370d5916c8b092f6a"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/d6/EXTPAYLOAD-8318a12bbba383077ba62db3.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""214,946"",""safety_value"":""""}",cog_2025_191844,"[""core"",""headline""]",undated-source-B4X2500LIVE-20260729-005879,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-0f13caa19f8d87b771808fc8,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""604514"",""character_start"":""604507"",""column"":"""",""page"":""289"",""row"":"""",""table_id"":""""}",d628691c187ea2a13b48a29de96c58b709ad1891f02f074df572a39b8730c6b3,EXTSOURCE-8318a12bbba383077ba62db3,retained source EXTPAYLOAD-8318a12bbba383077ba62db3,,WI,weakly_supports_claim,"327,400 302,400 Capital Contra (2,600) 0 0 0 County Service Charges 1,494, 032 1,077,595 1,015,289 (62,306) Abatements (1,283,135) (881,822) (826,007) 55,815 Total Expenditures $ 2,346,225 $ 2,342,405 $ 2,646,793 $ 304,388 Direct Revenue 93,582 63,800 75,300 11,500 State & Federal Revenue 12,881 0 290,665 290,665 Indirect Revenue 3,008,358 2,934,149 2,417,038 (517,111) Total Revenue $ 3,114,821 $ 2,997,949 $ 2,783,003 $ (214,946) Direct Total Tax Levy $ (768,596) $ (655,544) $ (136,210) $ 519,334 === PAGE 288 === ADOPTED 2006 BUDGET DEPT: DEPARTMENT OF PUBLIC WORKS – TRANSPORTATION SERVICES* UNIT NO. 5070 FUND: Internal Service - 0028 5070 - 2 ADDITIONAL COSTS NOT INCLUDED IN TAX LEVY* Account Summary 2004 Actual 2005 Budget 2006 Budget 2005/2006 Change Central Service Allocation $ 60,183 $ 68,688 $ 66,384 $ (2,304) Courthouse Space Rental 159",
,strong_bounded_context,{},XRESULT-272a5377664a0df2454ba10d,not_applicable,"$972,118",retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-dc57ab43304323f3e4c7b06d"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/99/EXTPAYLOAD-07beb4635e76b03f8cea0a41.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""$972,118"",""safety_value"":""""}",cog_2025_176226,"[""core"",""headline""]",2024,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-14fbce6a71a24fd3b4c2e073,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""93860"",""character_start"":""93852"",""column"":"""",""page"":""54"",""row"":"""",""table_id"":""""}",99f40f753d62e4f3f09f2084b50c34a53890c6673c963ee3fffae73fdc0a960d,B4X2500SRD-20260730-b9b5f9a3548f197e3918,retained source EXTPAYLOAD-07beb4635e76b03f8cea0a41,,TX,weakly_supports_claim,"FY2022 FY2023 FY2024 0 1,000k 250k 500k 750k 1,250k Franchise Tax Detail Revenue Source Gross Receipts Tax Xcel Energy Co $557,967 $641,994 $740,000 $750,000 1.4% Texas Gas Service Co $213,419 $253,670 $215,750 $224,380 4% Cable One Television $58,218 $53,596 $58,000 $52,200 -10% Telecommunications Franchise $26,851 $22,858 $28,000 $22,400 -20% Total Gross Receipts Tax: $856,455 $972,118 $1,041,750 $1,048,980 0.7% Total Revenue Source: $856,455 $972,118 $1,041,750 $1,048,980 0.7% Name FY2021 Actual FY2022 Actual FY2023 Budgeted FY2024 Budgeted % Change City of Borger, Texas | FY 2024 Operating Budget Page 52 === PAGE 54 === Franchise Tax Forecast Analysis and Projection: The City of Borger uses qualitative and quantitative analysis to forecast gross receipts e ectively. Without substantial population decline and steady movement away from cable TV to streaming services, revenue from cable TV is",
,strong_bounded_context,{},XRESULT-9b2ed4d34ecdf12a5c94c641,not_applicable,-------TOWN------SCHOOLCURRENT OWNERS NAME            SCHOOL DISTRICT               LAND      TAX DESCRIPTION,retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-e5cfe5e648e09064058212d5"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/cd/EXTPAYLOAD-30a6fe2e6d180f8464a9f49a.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""-------TOWN------SCHOOLCURRENT OWNERS NAME            SCHOOL DISTRICT               LAND      TAX DESCRIPTION"",""safety_value"":""""}",cog_2025_170800,"[""core"",""headline""]",2025,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-1e2f389947e2f894a8ab1d8e,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""227415"",""character_start"":""227295"",""column"":"""",""page"":""42"",""row"":"""",""table_id"":""""}",cd3e4710b398cc1085b2df6310daa406028632da3754a912b4669bbda9ea4631,EXTSOURCE-30a6fe2e6d180f8464a9f49a,retained source EXTPAYLOAD-30a6fe2e6d180f8464a9f49a,,NY,weakly_supports_claim,"- 1 VALUATION DATE-JUL 01, 2024TOWN - Alfred THESE ASSESSMENTS ARE ALSO USED FOR VILLAGE PURPOSES TAXABLE STATUS DATE-MAR 01, 2025VILLAGE - Alfred OWNERS NAME SEQUENCESWIS - 022001 UNIFORM PERCENT OF VALUE IS 059.00TAX MAP PARCEL NUMBER PROPERTY LOCATION & CLASS ASSESSMENT EXEMPTION CODE-----VILLAGE------COUNTY--------TOWN------SCHOOLCURRENT OWNERS NAME SCHOOL DISTRICT LAND TAX DESCRIPTION TAXABLE VALUECURRENT OWNERS ADDRESS PARCEL SIZE/GRID COORD TOTAL SPECIAL DISTRICTS ACCOUNT NO.******************************************************************************************************* 164.6-1-4 ****************** 11 Elm St 00000000086164.6-1-4 481 Att r",
,strong_bounded_context,{},XRESULT-b67ca81484be66d429972d06,not_applicable,2,retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-13a9b010bb3cb826fdca2f23"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7a/EXTPAYLOAD-dbee94a867271abe440b6a9e.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""2"",""safety_value"":""""}",cog_2025_160809,"[""core"",""headline""]",undated-source-B4X2500LIVE-20260729-009821,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-1f0f208fe1066188d663a0c2,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""1653634"",""character_start"":""1653633"",""column"":"""",""page"":""257"",""row"":"""",""table_id"":""""}",7afc99bcf6b464694aefa40758ec11cc99739ab4cad66474e99fe66715f6b4ef,EXTSOURCE-dbee94a867271abe440b6a9e,retained source EXTPAYLOAD-dbee94a867271abe440b6a9e,,AK,weakly_supports_claim,re other races: 3 W h i t e....................................... 2 3 1 0 . 4 Black or African American ..................... - - American Indian and Alaska Native ............. 1 9 9 9 0 . 0 A s i a n....................................... - - Native Hawaiian and Other Pacific Islander ...... 1 0 . 5 Some other race ............................. - - Subject Number Percent HISPANIC OR LATINO AND RACE Total population.......................... 2 2 1 100.0 H i s p a n i co rL a t i n o( o fa n yr a c e )................ 1 0 . 5 Mexican................................... - - P u e r t oR i c a n ............................... 1 0 . 5 Cuban .................................... - - Other Hispanic or Latino .................... - - N o tH i s p a n i co rL a t i n o........................ 2 2 0 9 9 . 5 W h i t ea l o n e ................................ 2 1 9 . 5 RELATIONSHIP Total populatio,
,strong_bounded_context,{},XRESULT-bb71588cc29398890ed73dc1,not_applicable,0,retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-7a43d81cbac4e7fbea015d1d"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7a/EXTPAYLOAD-dbee94a867271abe440b6a9e.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""0"",""safety_value"":""""}",cog_2025_160809,"[""core"",""headline""]",undated-source-B4X2500LIVE-20260729-009821,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-1fb7f3c7ddaa0498e144ec2a,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""2834344"",""character_start"":""2834343"",""column"":"""",""page"":""440"",""row"":"""",""table_id"":""""}",7afc99bcf6b464694aefa40758ec11cc99739ab4cad66474e99fe66715f6b4ef,EXTSOURCE-dbee94a867271abe440b6a9e,retained source EXTPAYLOAD-dbee94a867271abe440b6a9e,,AK,weakly_supports_claim,"the six percentages may add to more than 100 percent because individuals may report more than one race. Source: U.S. Census Bureau, Census 2000. U.S. Census Bureau 436 === PAGE 439 === T able DP-1. Profile of General Demographic Characteristics: 2000 Geographic Area: Ekwok ANVSA, AK [For information on confidentiality protection, nonsampling error, and definitions, see text] Subject Number Percent Total population.......................... 1 3 0 100.0 SEX AND AGE M a l e........................................ 6 9 5 3 . 1 Female...................................... 6 1 4 6 . 9 Under 5 years ............................... 1 3 1 0 . 0 5 to 9 years ................................. 1 9 1 4 . 6 1 0t o1 4y e a r s............................... 2 0 1 5 . 4 1 5t o1 9y e a r s............................... 7 5 . 4 2 0t o2 4y e a r s............................... 3 2 . 3 2 5t o3 4y e a r s.",
,strong_bounded_context,{},XRESULT-21f8edeaab02461dbc669cbe,not_applicable,0,retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-78ee3610ff877023e81ec573"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/36/EXTPAYLOAD-781da6695755697e199f0a4a.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""0"",""safety_value"":""""}",cog_2025_191225,"[""core"",""headline""]",2023,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-20217c617fa9fd55b779c56b,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""305043"",""character_start"":""305042"",""column"":"""",""page"":""151"",""row"":"""",""table_id"":""""}",360da46404c79e970a2904f7e9176f1943c3aa82d44494ccba1dd5ee7a0c3e4f,EXTSOURCE-781da6695755697e199f0a4a,retained source EXTPAYLOAD-781da6695755697e199f0a4a,,OH,weakly_supports_claim,"llinois State Board of Education, and disseminating information to educators, school districts and the community. The office coordinates and delivers these services with both State and County funding. FINANCIAL SUMMARY ACCOUNT FY2024 ACTUALS FY2025 ADOPTED BUDGET FY2025 MODIFIED BUDGET FY2026 BUDGET $ VARIANCE % VARIANCE A45X-Intergovernmental 35,000 0 0 0 0 0% A49X-Transfers (759) 0 0 0 0 0% Total Revenue 34,241 0 0 0 0 0% AH5X-Personnel 524,867 511,284 511,284 561,608 50,324 10% AH74X-Beneﬁts 158,092 159,039 159,039 180,547 21,508 14% AH7X-Contractuals 107,178 90,755 90,755 149,955 59,200 65% Total Expenses 790,136 761,078 761,078 892,110 131,032 17% GOALS • Create a countywide ALOP program for students. • Design a new worldclass facility to support Lake County students and educators. • Grow the number of work-based learning",
,strong_bounded_context,{},XRESULT-19d7aeb2d4d0575cf5e929be,not_applicable,100.0,retain in bounded claim evidence,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_001,"{""canonical_record_key"":""obs:EXTOBS-d8397e16327a9cf76c3e2d8e"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7a/EXTPAYLOAD-dbee94a867271abe440b6a9e.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""100.0"",""safety_value"":""""}",cog_2025_160809,"[""core"",""headline""]",undated-source-B4X2500LIVE-20260729-009821,upheld_with_narrower_wording,contextual_only,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-250257fffef4bf188e1d076a,The exact retained excerpt and bounded context support the source-local administrative fact; claim use must remain narrower than the original analytical candidate label.,side_independent,"{""character_end"":""1943074"",""character_start"":""1943069"",""column"":"""",""page"":""302"",""row"":"""",""table_id"":""""}",7afc99bcf6b464694aefa40758ec11cc99739ab4cad66474e99fe66715f6b4ef,EXTSOURCE-dbee94a867271abe440b6a9e,retained source EXTPAYLOAD-dbee94a867271abe440b6a9e,,AK,weakly_supports_claim,more other races: 3 W h i t e....................................... 1 8 6 . 1 Black or African American ..................... - - American Indian and Alaska Native ............. 2 7 8 9 3 . 9 A s i a n....................................... - - Native Hawaiian and Other Pacific Islander ...... - - Some other race ............................. - - Subject Number Percent HISPANIC OR LATINO AND RACE Total population.......................... 2 9 6 100.0 H i s p a n i co rL a t i n o( o fa n yr a c e )................ - - Mexican................................... - - P u e r t oR i c a n ............................... - - Cuban .................................... - - Other Hispanic or Latino .................... - - N o tH i s p a n i co rL a t i n o........................ 2 9 6 100.0 W h i t ea l o n e ................................ 1 8 6 . 1 RELATIONSHIP Total population.................,
