evidence_id,row_document_id,failure_stage,attempt_count,last_status,error_type,error_code,quarantine_reason,raw_prompt_saved,raw_response_saved
qualitative:lobs_04f9eb5b8890fe6d4dc6eeb3,lobs_04f9eb5b8890fe6d4dc6eeb3,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_105175a47d0bf328006c847a,lobs_105175a47d0bf328006c847a,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_169fe1f971d8b0e81b729eee,lobs_169fe1f971d8b0e81b729eee,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_19e13aeaceb57713ab40d13a,lobs_19e13aeaceb57713ab40d13a,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_2d9afcd37b81c60586893cbb,lobs_2d9afcd37b81c60586893cbb,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_2f57634a0d2f2cccacadca55,lobs_2f57634a0d2f2cccacadca55,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_321b74bf35c1678baf2117d9,lobs_321b74bf35c1678baf2117d9,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_36b39fbc5f98ee94b6d9cd7a,lobs_36b39fbc5f98ee94b6d9cd7a,live,2,success,StrictValidationError,positive_attribute_has_negative_controls,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_394f913aea7e067e9f65cc3b,lobs_394f913aea7e067e9f65cc3b,live,2,success,StrictValidationError,supporting_quote_not_exact_substring,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_407e1b039bf8066e01f440da,lobs_407e1b039bf8066e01f440da,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
qualitative:lobs_51d5b08940fb49b9b653b73f,lobs_51d5b08940fb49b9b653b73f,live,2,success,StrictValidationError,weak_attribute_controls_invalid,persistent_transport_or_strict_schema_failure,false,false
