extracted_text_id,retained_source_id,candidate_id,lane_id,target_mechanism_family,state,derived_region,readiness_status,extraction_status,extracted_text_path,extracted_text_sha256,extracted_text_size_bytes,extracted_char_count,extraction_method,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
TXT378-e86f68e5574c27afc7f8,RS556-00923076d6e9ab75d33f,TS4L-34adae9de58cfce5b4a6,lane_1,non_safety_constraint_signal,PA,Northeast,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-e86f68e5574c27afc7f8.txt,0a6a2fadeeaee8c3c2da4684f083340fd7f1695720074ba35ea7fee065ed3c32,290918,289554,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-8ead42f0b458b4c1106d,RS556-0145e29ff5c9bd41bccb,TS4L-ebc5a1fcfa61ba8b8cd4,lane_1,non_safety_constraint_signal,NJ,Northeast,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-8ead42f0b458b4c1106d.txt,14470c6cfdd4c38e7183d344a165fadefd466a6e322283e8937b6224c3d57c85,4691,4691,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-7b1961b356abf497b394,RS556-02489917ab0e7e498ce4,TS4L-05dc4525a5bc3db46686,lane_1,non_safety_constraint_signal,IL,Midwest,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-7b1961b356abf497b394.txt,fe8560f8965e41e3e64a54cab54326b7534cf987e591e6af418dcb3093a4b0e6,62243,61776,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-c7aaa034a30b818876aa,RS556-02815a227bd9bbc2ea27,TS4L-73621257781166febda9,lane_1,non_safety_constraint_signal,NJ,Northeast,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-c7aaa034a30b818876aa.txt,d1dd1ee09a76cd249a687372894f436bbc280664ff57d728cc16039a09f5b63e,17525,17350,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-70a73088b885a6311b88,RS556-02c244d081193185dfb4,TS4L-b3cd15e29d1c5b09f6fa,lane_1,non_safety_constraint_signal,OH,Midwest,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-70a73088b885a6311b88.txt,47a3fbb96197e3d721d81920ab3d92c64464095845acbf395912bd60764bba96,198891,198380,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-05bf874310e8016ecc38,RS556-098fea323f2c4c4f2ae7,TS4L-70847458f048ea226ddb,lane_1,non_safety_constraint_signal,OH,Midwest,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-05bf874310e8016ecc38.txt,0cb84b2aa001a8a0f280f269a156c5155470f402bc8cdda56013f70bf84b04c6,128063,127747,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-d4cbb8b924092f97d979,RS556-0f957dcdea01922fcc4f,TS4L-9e01803bf01f926fc4c0,lane_1,non_safety_constraint_signal,ID,West,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-d4cbb8b924092f97d979.txt,381ada59d80e1313c14ee39c883e56e842bc077a702a64627166d9de7ec2ab38,112967,112794,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-5e93924c2a6a17541601,RS556-1165df3f704416e42708,TS4L-84174ba21ec5bafc5626,lane_1,non_safety_constraint_signal,MI,Midwest,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-5e93924c2a6a17541601.txt,2e6c3c5534ceb5bd66ec952518fc5e82e6c0051c4f7c163c24f79ec06962daf5,52311,52219,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-1b5657aaf8810579bc97,RS556-11e6a472fd1a34eefe9d,TS4L-0419d32500648846ffa0,lane_1,non_safety_constraint_signal,NY,Northeast,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-1b5657aaf8810579bc97.txt,1e54931ac3ef36c6ae8de87db741b46931d03642041727e77d40afb15476ef1a,96973,96460,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-6f1de5a125bf468334aa,RS556-121d05df34a7da3c8686,TS4L-5587b097856e8158dc6e,lane_1,non_safety_constraint_signal,TX,South,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-6f1de5a125bf468334aa.txt,a27e3f20f0d5ae7676b60e83fdbaff9f6926e02e7095961873ce3363d7770c69,78771,78771,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-2235473420e3a8293c5f,RS556-13ad7d68fa2142e07698,TS4L-a95d82e275a851de3120,lane_1,non_safety_constraint_signal,FL,South,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-2235473420e3a8293c5f.txt,76243aed12b07d03574d28f225089238379dc815af1a905d4176ab89b6ae5c95,131720,128234,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
TXT378-8d2dce4a039116cc5fff,RS556-14e1d2c7981af4badec9,TS4L-e1fe68a96c23b987d3ce,lane_1,non_safety_constraint_signal,MO,Midwest,parse_text_layer_later,extracted_ok,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-8d2dce4a039116cc5fff.txt,5666427435c7ae10ff0a7b13ddb1b5f0e9b1ab98a9de71e19e50a199baed86da,492196,491314,pdftotext_local_non_ocr,not_rated,not_ingested,not_codified,not_causal_evidence,false
