state,valid_rating_count,evidence_strength_counts,claim_relevance_counts
AK,189,"{""moderate"": 32, ""not_supported"": 19, ""strong"": 62, ""weak"": 76}","{""context_only"": 62, ""direct_text_claim"": 40, ""documentary_mechanism_claim"": 10, ""not_claim_ready"": 10, ""quantitative_compensation_claim"": 65, ""source_navigation_claim"": 2}"
AL,104,"{""moderate"": 25, ""not_supported"": 16, ""strong"": 24, ""weak"": 39}","{""context_only"": 43, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 38, ""source_navigation_claim"": 2}"
AR,131,"{""moderate"": 19, ""not_supported"": 19, ""strong"": 37, ""weak"": 56}","{""context_only"": 50, ""direct_text_claim"": 15, ""documentary_mechanism_claim"": 13, ""not_claim_ready"": 8, ""quantitative_compensation_claim"": 45}"
AZ,268,"{""moderate"": 71, ""not_supported"": 26, ""strong"": 82, ""weak"": 89}","{""context_only"": 74, ""direct_text_claim"": 48, ""documentary_mechanism_claim"": 21, ""not_claim_ready"": 14, ""quantitative_compensation_claim"": 109, ""source_navigation_claim"": 2}"
CA,1054,"{""moderate"": 201, ""not_supported"": 85, ""strong"": 325, ""weak"": 443}","{""context_only"": 343, ""direct_text_claim"": 140, ""documentary_mechanism_claim"": 75, ""not_claim_ready"": 56, ""provisional_causal_candidate"": 1, ""quantitative_compensation_claim"": 432, ""source_navigation_claim"": 7}"
CO,204,"{""moderate"": 40, ""not_supported"": 40, ""strong"": 52, ""weak"": 72}","{""context_only"": 82, ""direct_text_claim"": 19, ""documentary_mechanism_claim"": 11, ""not_claim_ready"": 17, ""quantitative_compensation_claim"": 73, ""source_navigation_claim"": 2}"
CT,556,"{""moderate"": 128, ""not_supported"": 52, ""strong"": 148, ""weak"": 228}","{""context_only"": 168, ""direct_text_claim"": 79, ""documentary_mechanism_claim"": 50, ""not_claim_ready"": 32, ""quantitative_compensation_claim"": 221, ""source_navigation_claim"": 6}"
DE,58,"{""moderate"": 8, ""not_supported"": 9, ""strong"": 13, ""weak"": 28}","{""context_only"": 31, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 14}"
FL,400,"{""moderate"": 86, ""not_supported"": 43, ""strong"": 108, ""weak"": 163}","{""context_only"": 138, ""direct_text_claim"": 64, ""documentary_mechanism_claim"": 29, ""not_claim_ready"": 31, ""quantitative_compensation_claim"": 135, ""source_navigation_claim"": 3}"
GA,237,"{""moderate"": 40, ""not_supported"": 45, ""strong"": 49, ""weak"": 103}","{""context_only"": 114, ""direct_text_claim"": 23, ""documentary_mechanism_claim"": 21, ""not_claim_ready"": 21, ""quantitative_compensation_claim"": 58}"
