figure_id,all_events_accounted_for,outside_extent,status
corrected-category-map-none-identified,True,0,pass
corrected-category-map-payroll-effective-date,True,0,pass
corrected-category-map-retroactive,True,0,pass
corrected-category-map-retroactive-pay,True,0,pass
corrected-category-map-recurring,True,0,pass
corrected-category-map-fiscal-constraint,True,0,pass
corrected-category-map-budget-pay-plan-process,True,0,pass
corrected-category-map-no-direct-compensation-outcome,True,0,pass
corrected-category-map-across-the-board-raise,True,0,pass
corrected-category-map-one-time,True,0,pass
corrected-category-map-non-base-compensation-other,True,0,pass
corrected-category-map-ordinance-council-adoption,True,0,pass
corrected-category-map-ordinance-adoption,True,0,pass
corrected-category-map-unclear,True,0,pass
corrected-category-map-base-wage-change,True,0,pass
corrected-category-map-step-progression,True,0,pass
corrected-category-map-cola-cpi-adjustment,True,0,pass
corrected-category-map-uniform-or-equipment-allowance,True,0,pass
corrected-category-map-benefit-cost-change,True,0,pass
corrected-category-map-budget-appropriation,True,0,pass
corrected-category-map-stipend-or-premium,True,0,pass
corrected-category-map-settlement-or-mou,True,0,pass
corrected-category-map-market-recruitment-retention,True,0,pass
corrected-category-map-classification-band-change,True,0,pass
corrected-category-map-longevity,True,0,pass
corrected-category-map-overtime,True,0,pass
corrected-category-map-inflation-indexing,True,0,pass
corrected-category-map-holiday-pay,True,0,pass
corrected-category-map-lump-sum,True,0,pass
corrected-category-map-bargaining-leverage,True,0,pass
corrected-category-map-collective-bargaining,True,0,pass
corrected-category-map-salary-range-change,True,0,pass
corrected-category-map-contract-ratification,True,0,pass
corrected-category-map-vacancy-pressure,True,0,pass
corrected-category-map-reimbursement,True,0,pass
corrected-category-map-comparability-parity,True,0,pass
corrected-category-map-classification-civil-service,True,0,pass
corrected-category-map-interest-arbitration,True,0,pass
corrected-profile-map-retroactivity-payroll,True,0,pass
corrected-profile-map-non-base-compensation,True,0,pass
corrected-profile-map-scheduled-base-growth,True,0,pass
corrected-profile-map-budgets-pay-plans,True,0,pass
corrected-profile-map-ordinance-adoption,True,0,pass
corrected-profile-map-formal-bargaining,True,0,pass
corrected-profile-map-classification-structure,True,0,pass
corrected-profile-map-staffing-market-pressure,True,0,pass
