packet_id,retained_source_id,rating_lane_id,stage,attempt,request_id,backend,model,status,schema_valid,input_sha256,input_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
BRMGRP-20260802-5bf1523998a5752eecb9f55a,RMSRD-20260802-d0f2a5fc00d050dbbaea,gabriel_rating_lane_005,live,1,resp_0cbb99d9e7f76f1c006a6fc35b16808195a8745538e8f1d197,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,9ccf30bd27038ca0b96660c94140e9335535db07f7f4001c634f7ec53a0acc43,19632,5304,7373,12677,44.471627,,,false,false
BRMGRP-20260802-2a3cc3aeac5c9d018d8a5971,RMSRD-20260802-903d5292a694d44085f3,gabriel_rating_lane_005,live,1,resp_041d7f96959a1178006a6fc35b11888190833fc756e8cc6afa,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b70b66868c43315bb4ab46975f0addb1313a6fc504953c77aabddc4120a4e7aa,20457,5390,6750,12140,38.310059,,,false,false
BRMGRP-20260802-52a6da90d9a160a0d83446ef,RMSRD-20260802-4e3cd09438c704e8ddc3,gabriel_rating_lane_005,live,1,resp_03d3b0768210dc36006a6fc35b0b208195b727f0b8db45d2d9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,eed3a07e7c2499e8e793a5e25cccb12eec2f1b969d1fef33747c0087e2d6f888,18616,5063,4411,9474,26.227801,,,false,false
BRMGRP-20260802-1bb920e50057d070ec394c3f,RMSRD-20260802-2802cad645288d1b2534,gabriel_rating_lane_005,live,1,resp_0ab345882c748dfd006a6fc35b10f88194b28bbc9c22214b84,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,b48bbb051b6e79c2df11988a3fc0c6c3ddb92e3ca4fc335febd18abb34be5390,19077,5109,5810,10919,34.761124,,span_membership_changed,false,false
BRMGRP-20260802-1bb920e50057d070ec394c3f,RMSRD-20260802-2802cad645288d1b2534,gabriel_rating_lane_005,live,2,,huit_openai_responses_direct_sdk,gpt-5.4-nano,timeout,false,0f8a709559c9f43b4427eb489fd2daceda54168e732a1b1341b7d6c7901e8523,19218,0,0,0,180.003767,TimeoutError,transport_timeout,false,false
BRMGRP-20260802-f36ee9842dcea80fc6162a13,RMSRD-20260802-e96c9d2c29d5fdb7ba5d,gabriel_rating_lane_005,live,1,resp_031f0c677c028605006a6fc35b0ccc8197a90fd79da6ae8afc,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,20862cbd51b43e881dfba7545d8ed9b374cec6ec6bc8e24febdff7402366c9da,19408,5238,4690,9928,28.426499,,,false,false
BRMGRP-20260802-2aca361871d6b05d01a101f1,RMSRD-20260802-debf121b493698cdcda8,gabriel_rating_lane_005,live,1,resp_0805c775e095ea15006a6fc35b0fb08193a978817771d010b2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b1502f0c718bf56e7dad09a0827c03963b3bfcc2d6ce799765e5ca97997d03b7,18513,4934,4197,9131,24.885735,,,false,false
BRMGRP-20260802-390b633aafcf0829a6dba3a1,RMSRD-20260802-3c9dc0948110d4010e19,gabriel_rating_lane_005,live,1,resp_07fe80ff04db9414006a6fc43b4a2c8190b280291b7719fbff,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b916992afa1b74ef64ec6ea73bcf80ac34661d27559e453c9064ceb9804164c8,19820,5097,4339,9436,27.118323,,,false,false
BRMGRP-20260802-be0cb49ea673a43a4a566f80,RMSRD-20260802-c73aef673bf8f6742968,gabriel_rating_lane_005,live,1,resp_04fee185a2764e68006a6fc43b4ce08195a93ee89d081bade6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,f60864fff367be4c71fd9c9ba78a0a5aea3b69f011a3a1867e8dde1c50e7ecb9,19741,5036,4158,9194,26.772224,,,false,false
BRMGRP-20260802-4018a5f6c80fef42f259c717,RMSRD-20260802-563bfde8e72c78c3998c,gabriel_rating_lane_005,live,1,resp_030a9c7483df1e0c006a6fc43b555081979e03f765f51be867,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,3ec009b1be0e92536263a6d7cabac26ce3079550a79f1d068295d0977559156e,18897,4942,4421,9363,29.231749,,,false,false
