targeted_qa_resolution_id,review_queue_row_number,review_type,extraction_case_id,page_number,lane,source_observation_ids,source_observation_count,resolution_classification,resolution_status,quantitative_action,non_base_wage_action,reference_action,retained_quantitative_observation_ids,routed_quantitative_observation_ids,reference_only_quantitative_observation_ids,created_non_base_wage_observation_ids,created_reference_ids,structured_basis,bounded_evidence_pointer,local_evidence_inspected,reason_codes,confidence,unresolved_flag,notes
qares1000_e628e80b107a9ec2f854a3a3,1,potential_quantitative_conflict,cex_3aa9b7e69b4a086e1dd2e5b5,8,quantitative,qobs_37b00ea23114e8bcc3dc5ac6|qobs_d21cb18e2de539057c644ca9,2,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,no_change,qobs_37b00ea23114e8bcc3dc5ac6|qobs_d21cb18e2de539057c644ca9,,,,,The page separately labels a 3% general salary increase and 1.75% equity adjustment.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0050_sr_8cdb6ccab3663d30d4acaa57.pdf#page=8,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_da236b894b10ddc85be9f27d,2,potential_quantitative_conflict,cex_579be2561452cc472e1e067c,5,quantitative,qobs_cadb12ccf757ba3f3e4e3f98|qobs_8267cf3612c5a6568975789c|qobs_89a54513858dc5c2ffc60548,3,non_base_wage_misroute,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_records,no_change,,qobs_cadb12ccf757ba3f3e4e3f98|qobs_8267cf3612c5a6568975789c|qobs_89a54513858dc5c2ffc60548,,nobsqa1000_5222904e1ad8a63b2e12c2ea|nobsqa1000_fdc5de04537fcfb262c3c3a7|nobsqa1000_86a0f9297a261057c6ff6fd5,,"The page is a holiday-leave advance/deduction rule, not a base-wage schedule.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0077_sr_0e64b08d9ae4f1e480389c3a.pdf#page=5,structured_fields_and_bounded_local_page_text,CONFLICT_GROUP_IS_NONBASE_LEAVE,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_f50c31d6a8be00c6f7be968d,3,potential_quantitative_conflict,cex_1fa1e412a821765bf0673616,6,quantitative,qobs_7d59019de0e975088093191b|qobs_696fec269326e7bd405b6a47|qobs_194aeccaaa80ba41e0ff3892|qobs_e68f60236f4804303aaddbdc|qobs_d8cd849b2a621614dad873d6,5,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,no_change,qobs_7d59019de0e975088093191b|qobs_696fec269326e7bd405b6a47|qobs_194aeccaaa80ba41e0ff3892|qobs_e68f60236f4804303aaddbdc|qobs_d8cd849b2a621614dad873d6,,,,,Five separately printed salary cells occur in the bounded patrol-officer schedule.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0367_sr_ae7029efe8542a6a8b46ea47.pdf#page=6,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_9e3f321ce3a2ff035798e347,4,potential_quantitative_conflict,cex_3e940c2d671c549e5967d721,52,quantitative,qobs_11b9469f7e488b96f3668b4b|qobs_228069350461bb0ef04bff48,2,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,no_change,qobs_11b9469f7e488b96f3668b4b|qobs_228069350461bb0ef04bff48,,,,,The bounded grade table contains separate values under the shared grade heading.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0092_sr_0c7dc75c68a7e6c210594482.pdf#page=52,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_ea864ca487515952e49f43de,5,potential_quantitative_conflict,cex_47fc35f9d528af0ec6185b9d,10,quantitative,qobs_0cfd9130f3db58b13e3ce452|qobs_42d3cc8dbe5f632424a9c61b|qobs_cfbbe915e7ca1784041391f8,3,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,no_change,qobs_0cfd9130f3db58b13e3ce452|qobs_42d3cc8dbe5f632424a9c61b|qobs_cfbbe915e7ca1784041391f8,,,,,The training-wage formula displays three separate percentage cells.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0016_sr_8597d3a12fde454e0d499f62.pdf#page=10,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_ad650a0597fcce482fd0d68b,6,potential_quantitative_conflict,cex_cee255168d800981c6d73c2c,1,quantitative,qobs_4a3de13b5fb7f05ac75fb3d5|qobs_d6af0550806e19d2ed366dde|qobs_d3b829b3b7531334cbec2405,3,distinct_effective_period,resolved,retain_distinct_active_records,no_change,no_change,qobs_4a3de13b5fb7f05ac75fb3d5|qobs_d6af0550806e19d2ed366dde|qobs_d3b829b3b7531334cbec2405,,,,,"The bounded fiscal-impact table labels wage increases by Year 1, Year 2, and Year 3.",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0029_sr_7ebc1637b23126b4385ddffb.pdf#page=1,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_357360f1725f4ab7e551777a,7,potential_quantitative_conflict,cex_cee255168d800981c6d73c2c,1,quantitative,qobs_985ddb7a53fed53c92361fdb|qobs_443497d509eb8f225658b2c9,2,insufficient_evidence_needs_review,unresolved,retain_active_flag_unresolved,no_change,no_change,qobs_985ddb7a53fed53c92361fdb|qobs_443497d509eb8f225658b2c9,,,,,Aggregate fiscal-impact dollar estimates are not employee wage cells and lack a safe lane conversion.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0029_sr_7ebc1637b23126b4385ddffb.pdf#page=1,structured_fields_and_bounded_local_page_text,BOUNDED_EVIDENCE_REMAINS_UNDERSPECIFIED,low,true,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_a40bbb897968ba5a88d39ebb,8,potential_quantitative_conflict,cex_2a51ac62e4ed6a1c2984049f,38,quantitative,qobs_d6f39640c4aed18a697d3f6a|qobs_778cafef26338040d9708272,2,non_base_wage_misroute,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_records,no_change,,qobs_d6f39640c4aed18a697d3f6a|qobs_778cafef26338040d9708272,,nobsqa1000_31f75ca89571a62f36cc4ba4|nobsqa1000_15fea3497d94ed8b5d4da745,,The page explicitly identifies 6% swing/cover-shift and 8% graveyard-shift differentials.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0475_sr_9bb881d253327e22a8b6eed9.pdf#page=38,structured_fields_and_bounded_local_page_text,CONFLICT_GROUP_IS_NONBASE_STIPEND,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_3081b92ea1f4e70ba1c97caf,9,potential_quantitative_conflict,cex_995a391a0e1cd96a38427d0c,7,quantitative,qobs_4917b6e99309266ef7a6dee3|qobs_bf626ad61c78b170a00f609e|qobs_25483f7c98b248266bd5479a|qobs_2d75e2647fe72a0255be3171,4,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,no_change,qobs_4917b6e99309266ef7a6dee3|qobs_bf626ad61c78b170a00f609e|qobs_25483f7c98b248266bd5479a|qobs_2d75e2647fe72a0255be3171,,,,,Four distinct cells are printed in the bounded scheduled-base-pay evidence.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0013_sr_ab020d2123019581b612bdc6.pdf#page=7,structured_fields_and_bounded_local_page_text,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
qares1000_111e49c73fa154062443bd6b,10,potential_quantitative_conflict,cex_a3fc313e790624b8b6fe9f5b,7,quantitative,qobs_b32deaf4f9666278f93edd50|qobs_fb95dd39928c3e6e57ab1a77|qobs_e2ce4e63b9777ddff0794a76,3,non_base_wage_misroute,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_records,no_change,,qobs_b32deaf4f9666278f93edd50|qobs_fb95dd39928c3e6e57ab1a77|qobs_e2ce4e63b9777ddff0794a76,,nobsqa1000_1d2f682d5e434e9eaf9ad357|nobsqa1000_e57058839d995e6f255179e1|nobsqa1000_a513aad6fb92e7dd7e99c2dd,,"The page is an Article VII longevity schedule with 5-, 10-, and 15-year premiums.",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0044_sr_2d6d8b78b6d547dc93f8d809.pdf#page=7,structured_fields_and_bounded_local_page_text,CONFLICT_GROUP_IS_NONBASE_LONGEVITY,high,false,"No values, classifications, steps, ranks, or dates were fabricated."
