page,section,page_type,title,subtitle,native_text_characters,render_QA
1,Opening,cover,Cover,,472,pass
2,Opening,standard,Executive summary,The corpus supports a bounded account of compensation mechanisms more strongly than a national wage-gap or causal estimate.,1334,pass
3,Part I · Reader guide,standard,Research question and analytical units,The project compares occupations within municipalities while keeping city and compensation cycle central.,1164,pass
4,Part I · Reader guide,standard,Maps and evidence tiers,Map shading describes documented events; evidence tiers describe how safely a record can support a claim.,1266,pass
5,Part I · Reader guide,standard,Core compensation-mechanism glossary,Plain-language definitions used throughout the mechanism profiles.,1647,pass
6,Part II · Corpus and evidence base,standard,Corpus scale and source mix,"The project assembled a large, mixed-format corpus, but different source units are never combined into one total.",682,pass
7,Part II · Corpus and evidence base,standard,"Discovery, retention, and usable evidence","Near-complete municipality scouting did not make every discovered source accessible, retained, or analytically compatible.",758,pass
8,Part II · Corpus and evidence base,standard,Safety and non-safety visibility,Safety appears more often in retained classified evidence; unresolved and side-independent material remains visible.,716,pass
9,Part II · Corpus and evidence base,standard,Analytical readiness and evidence boundaries,"Millions of extracted records became compact evidence layers, but strict compatibility gates still produced no external wage or growth panel.",671,pass
10,Part III · Compensation mechanisms,standard,Retroactivity and payroll timing,"2,253 distinct profile events · 1,269 municipalities · 42 states",1889,pass
11,Part III · Compensation mechanisms,standard,Non-base and one-time compensation,890 distinct profile events · 551 municipalities · 32 states,1928,pass
12,Part III · Compensation mechanisms,standard,Scheduled base-wage growth,809 distinct profile events · 540 municipalities · 36 states,1928,pass
13,Part III · Compensation mechanisms,standard,"Budgets, pay plans, and fiscal constraint",636 distinct profile events · 409 municipalities · 33 states,1814,pass
14,Part III · Compensation mechanisms,standard,Council and ordinance adoption,315 distinct profile events · 271 municipalities · 38 states,1712,pass
15,Part III · Compensation mechanisms,standard,Formal bargaining and impasse resolution,81 distinct profile events · 69 municipalities · 22 states,1972,pass
16,Part III · Compensation mechanisms,standard,Classification and pay structure,57 distinct profile events · 54 municipalities · 14 states,1821,pass
17,Part III · Compensation mechanisms,standard,"Staffing, market, and comparability pressure",56 distinct profile events · 47 municipalities · 17 states,1846,pass
18,Part III · Compensation mechanisms,standard,Documentary growth by evidence tier,"Step progression leans safety, across-the-board results are mixed, and COLA evidence is sparse.",569,pass
19,Part III · Compensation mechanisms,standard,Staffing pressure and channel evidence,A small direct channel sits inside a much larger descriptive and unresolved staffing layer.,581,pass
20,Part III · Compensation mechanisms,standard,Implementation lifecycle,"Adoption, effective date, payroll operation, and payment are distinct stages.",608,pass
21,Part IV · Final claim boundaries,standard,Ten bounded local comparisons,"Five favor safety, four favor non-safety, and one is neutral.",503,pass
22,Part IV · Final claim boundaries,standard,Final claim classes,The final universe contains fourteen claims; evidence volume alone does not determine support.,622,pass
23,Part IV · Final claim boundaries,standard,Evidence matrix: bounded findings,"Eight claims supported, qualified, or bounded by mechanism and countervailing evidence.",985,pass
24,Part IV · Final claim boundaries,standard,Evidence matrix: unsupported boundaries,Six proposed global claims remain unsupported because the required analytical design is absent.,879,pass
25,Part IV · Final claim boundaries,standard,Claims CLAIM-A and CLAIM-B,"Compact adjudication cards preserve the exact class, defensible language, principal evidence, and prohibited wording.",2218,pass
