auto_adjudication_id,calibration_id,gabriel_request_id,gabriel_backend,gabriel_model,request_status,prompt_sha256,prompt_chars,input_page_count,input_text_chars,prior_labels_in_prompt,raw_prompt_saved,raw_response_saved,response_chars,response_sha256,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_message,credential_value_saved,authorization_header_saved
auto_adj_bb657abf431b85dec588,cal_01a57230b8158e19db8100b3,resp_0bb1a510a0c9b2a5006a65027049dc81949f9f36c01d9007b9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,631b279da5fcee2ce40fe5b12de3b5044fc21316b1e774acf7f8129133760b96,5726,2,2436,False,False,False,630,5a909f4e7862215edae369c6d3269410a215666ddcb6925d76c991cc210f2bb7,1719,217,1936,3.76922,,,False,False
auto_adj_4e26aaa6bada7063022b,cal_045e7e8100647061f677cbed,resp_0b8cdc8805ab729c006a6502729eb88193be9a098f18c3f867,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,2035989e59149b52c875873e99e66e8e01d500c02f1593a84cadf0f75ee2722c,10920,5,6000,False,False,False,637,da4315bcd8d646bed235e1a19870a26ce03e64a4a2a38356d233972979d8be49,3335,305,3640,6.39839,,,False,False
auto_adj_dfe9acfefc0ce03277ed,cal_04e9c405fa82bce92279cc76,resp_0f191fdc8ceeb122006a650275654c81939fd76ec279ae6ced,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,b338aafd01a218702df3b9a30f69d1492e49d43c08cbab3f1ce2e6593b8ab031,11238,6,6000,False,False,False,643,ce4aa0ac01a27a5fee7d24d911fc3552fa359a9bc6d3e8ccb079b615ce71ef8d,3035,320,3355,9.850208,,,False,False
auto_adj_5ce4ee6841d76b66c4ae,cal_075c10415a94e03dadfb692f,resp_0369f1c8b62bbc44006a650278e27881968bcc4d1fffa73d6c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,db87c1abc15fe2c47d39e0f78c431b40b46af0e259f199a88d4f1b6fb387e723,10829,5,6000,False,False,False,642,fed955245c08063d5ca410a4a2fb723ae77d9bb72186a0caddf9e562a5056143,3003,217,3220,12.270132,,,False,False
auto_adj_6b94490e99d4d9c6c4c6,cal_0ccdac533aafb9416dffec65,resp_009a515ec2f93c7f006a65027b4f048196a74fb2f6558120e2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,2e6f74094a369fceb881b363fe19bf531d95f916b2a799f234e434622044979a,10579,6,5391,False,False,False,687,a40c8862a8484199730f5900ac2cfe6c1f2bf6dacc380c31bfb079299a33158d,2629,303,2932,15.341829,,,False,False
auto_adj_d02b0f81f8b870680bcb,cal_0d99791bdc0cd19c28d5f5de,resp_05a6cb8c20581437006a65027e5b88819383bc08f3767b132c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,9dc86b7fe7fe302837687784b3c4820ea2b89927acbf84f268a1bb7ef0d2e0ce,9949,6,4736,False,False,False,663,bc4e9869188c3dc9a4ae499e80d02c58deeace283b17db19e542d39ada35d370,2738,366,3104,18.591592,,,False,False
auto_adj_7639cc902a11db6ed939,cal_0e71fee5856adca413c60d77,resp_03aab72bf3ee566b006a650281a3c88194aa16cf2ea2691bac,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,62e58830a1d4584afadd21f34d34a6e3b81979bf047fd6815a9eec46df02ca52,8761,4,4500,False,False,False,679,c7719f95dcb35727e85f16588b8f90260e6e5bb868a04f61c2efecefe4fcad37,3413,257,3670,21.2234,,,False,False
auto_adj_422d1c2e9c1bcf50201d,cal_20f83d208f858a0cf99daad1,resp_0106d9168d52e760006a65028438e88196b8babede515f8038,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,7a28ee2c5d524f427a1da50b46efe04e1cb59d4805c2cad2f33d045e1d9b5e60,3787,1,979,False,False,False,579,d8b744b5b008ec958d120600aa7ecb9cd98bee15aea9bf73050feb648186c5de,1440,214,1654,23.533342,,,False,False
auto_adj_330ce466eda624978e1c,cal_211c78b8eb2cdd5520344d2c,resp_07724c7183d8b261006a65028688d88193ac87b48b03015338,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,35341834052c0902b259113af5cd03e02d79877b996b6b1f8ad698cebc1d3545,11177,6,6000,False,False,False,602,71fc5653d7b625f723262f38b055f9efe4e3c5a3b3007d77fba9175979d48d8f,3018,309,3327,26.602254,,,False,False
auto_adj_1506c959dd04e0c82fb8,cal_2cc9c8211edf7dc1fc8bbd7c,resp_0795853e8f25d53b006a6502899f688194ada16666f9b4f035,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,501b8fd18570fb197a398a885c3ed90d7f16e12e70d96876ae75ad759e404bf7,6510,3,2750,False,False,False,597,eb6a186360e0eaec245364c1dcb78546ff27b6076b1fca59b626e781a22305a4,1946,218,2164,28.74327,,,False,False
