duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,confidence,raw_target_id
RESCAND-63d5fe200b05804daaf60bf5,EXTCAND-c2a931683f8b43ca0cf516d2,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-493914af4730faa15f168204
RESCAND-693ebb5bae20e68a9a45fa3f,EXTCAND-a618ede488b80279b02f8211,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-493914af4730faa15f168204
RESCAND-e5cf9ade759bd256edc88f1c,EXTCAND-8a53a6806383434499bb8d76,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-493914af4730faa15f168204
RESCAND-7b094cb96de28a506f9739d2,EXTCAND-ce7bc38a61e390560cc8a3fe,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-493914af4730faa15f168204
RESCAND-0f8e3684d82821ecc7192492,EXTCAND-f29ce53dc5f11abcab806378,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-96e686e62c8b97357c74ed1d,EXTCAND-d1898b834f26458fede33cea,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-3eb2d9a0de177ae9b2beed75,EXTCAND-e178a3173c5e836d24402996,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-1becb123b11f07acd30600a9,EXTCAND-aeeff36a178460e8410b87f0,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-301de77454573552fcdcc0ce,EXTCAND-876e0513eacf84cb1396edff,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-4b66bb2420635a1f60dc8fb0,RESCAND-4b66bb2420635a1f60dc8fb0,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-1becb123b11f07acd30600a9,EXTCAND-aeeff36a178460e8410b87f0,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-a2a2e5518bae46c760f7c4b4,RESCAND-a2a2e5518bae46c760f7c4b4,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-3eb2d9a0de177ae9b2beed75,EXTCAND-e178a3173c5e836d24402996,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-96e686e62c8b97357c74ed1d,EXTCAND-d1898b834f26458fede33cea,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-e9404658cb490feb084cb0ae
RESCAND-a805f58a7213febf2cdac2f2,EXTCAND-f8161bd316dc9e3e6f7b31ad,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-b9e191de295ac1fe92f9772a
RESCAND-14914cc62bdfc43957850de5,EXTCAND-7a64c7fd6923031bfb25eb15,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-b9e191de295ac1fe92f9772a
RESCAND-933f2f6ab9cadcf0923c1e49,EXTCAND-b3f5fcad9ed232d3f39c9bb4,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-b9e191de295ac1fe92f9772a
RESCAND-8889f5077406fd4a64ed9670,EXTCAND-5ae7bc11e7e01f3deeb8fef8,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-b9e191de295ac1fe92f9772a
RESCAND-50dc2e1a27756cb379ea7300,EXTCAND-7263e97bbea29a6ef08b8874,same canonical URL and normalized title across wave 1 and wave 2,external_search_wave_001_compacted,high,EXTTARGET-b9e191de295ac1fe92f9772a
RESCAND-d3c45f0ecabb6d6e74dc4acc,RESCAND-d3c45f0ecabb6d6e74dc4acc,same canonical URL and normalized title within wave 2,external_search_wave_002_exhaustive_residual,high,EXTTARGET-b9e191de295ac1fe92f9772a
