wave_id,priority_rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,selection_bucket,selection_reason,claim_or_source_need_connection,expected_units_to_search,verification_notes,recommended_scout_status,already_scouted_status,coverage_status_before_run,scout_purpose,anchor_cycle,known_source_cycle_exclusions,known_source_notes,known_source_urls
CA25-2026-07-20,1,CA,Los Angeles,ca_los_angeles,161174,CITY OF LOS ANGELES,municipal,place,3820914,1,no,Los Angeles County [06037; county; government-units-primary=yes; basis=2020_place_by_county],claim_register_anchor,Highest-priority California national-manifest anchor and the state's largest municipal employer; central large-city safety-versus-civilian wage-setting contrast.,"California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY OF LOS ANGELES employer and Census ID 161174, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute Los Angeles County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY OF LOS ANGELES canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF LOS ANGELES source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
CA25-2026-07-20,2,CA,Sacramento,ca_sacramento,161241,CITY OF SACRAMENTO,municipal,place,526384,1,no,Sacramento County [06067; county; government-units-primary=yes; basis=2020_place_by_county],claim_register_anchor,California capital and national-manifest anchor; adds state-administrative and large municipal-employer context without substituting state or county units.,"California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY OF SACRAMENTO employer and Census ID 161241, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute Sacramento County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY OF SACRAMENTO canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF SACRAMENTO source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
CA25-2026-07-20,3,CA,San Diego,cog_2025_207598,207598,CITY OF SAN DIEGO,municipal,place,1388320,1,no,San Diego County [06073; county; government-units-primary=yes; basis=2020_place_by_county],claim_register_anchor,National-manifest anchor and major southern California full-service city with strong police/fire/civilian comparison relevance.,"California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY OF SAN DIEGO employer and Census ID 207598, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute San Diego County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY OF SAN DIEGO canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF SAN DIEGO source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
CA25-2026-07-20,4,CA,San Francisco,cog_2025_161258,161258,CITY AND COUNTY OF SAN FRANCISCO,municipal,place,808988,1,no,San Francisco County [06075; county; government-units-primary=yes; basis=2020_place_by_county],claim_register_anchor,National-manifest anchor and California's consolidated city-and-county municipal structure; retained only for the exact City and County employer.,"California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY AND COUNTY OF SAN FRANCISCO employer and Census ID 161258, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute San Francisco County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found. The City and County of San Francisco is the authoritative California consolidated municipal employer in the universe; exclude every other county or special-district employer.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY AND COUNTY OF SAN FRANCISCO canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY AND COUNTY OF SAN FRANCISCO source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
CA25-2026-07-20,5,CA,Fresno,cog_2025_189636,189636,CITY OF FRESNO,municipal,place,545716,1,no,Fresno County [06019; county; government-units-primary=yes; basis=2020_place_by_county],claim_register_anchor,National-manifest anchor and Central Valley regional center selected for a large inland municipal labor-market contrast.,"California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY OF FRESNO employer and Census ID 189636, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute Fresno County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY OF FRESNO canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF FRESNO source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
CA25-2026-07-20,6,CA,San Jose,cog_2025_100745,100745,CITY OF SAN JOSE,municipal,place,969655,1,no,Santa Clara County [06085; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,Largest untouched Bay Area city and major technology-region municipal employer with high-value safety/non-safety comparability.,"California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY OF SAN JOSE employer and Census ID 100745, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute Santa Clara County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY OF SAN JOSE canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF SAN JOSE source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
CA25-2026-07-20,7,CA,Long Beach,cog_2025_161173,161173,CITY OF LONG BEACH,municipal,place,449468,1,no,Los Angeles County [06037; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,Large Los Angeles County city selected as an independent municipal employer; port and school employers are explicit exclusions.,"California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY OF LONG BEACH employer and Census ID 161173, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute Los Angeles County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY OF LONG BEACH canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF LONG BEACH source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
CA25-2026-07-20,8,CA,Oakland,cog_2025_123093,123093,CITY OF OAKLAND,municipal,place,436504,1,no,Alameda County [06001; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,Large East Bay municipal employer selected for public-safety wage-setting and ordinary civilian comparison relevance.,"California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY OF OAKLAND employer and Census ID 123093, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute Alameda County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY OF OAKLAND canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF OAKLAND source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
CA25-2026-07-20,9,CA,Bakersfield,cog_2025_183825,183825,CITY OF BAKERSFIELD,municipal,place,413381,1,no,Kern County [06029; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,"Large inland Kern County city selected for geographic, industry, and municipal labor-market contrast.","California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY OF BAKERSFIELD employer and Census ID 183825, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute Kern County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY OF BAKERSFIELD canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF BAKERSFIELD source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
CA25-2026-07-20,10,CA,Anaheim,cog_2025_183836,183836,CITY OF ANAHEIM,municipal,place,340512,1,no,Orange County [06059; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,"Large Orange County city with an exact city-employer target; county, school, tourism/private, and authority substitutes are excluded.","California matched-cycle discovery for police/fire versus ordinary municipal civilian wage-setting material; test safety/non-safety wage-gap mechanisms across coastal/inland, northern/southern, and large/smaller city employers.","police CBA; fire CBA; one ordinary general-municipal non-safety CBA such as clerical, public works, library, or citywide civilian; public arbitration, factfinding, impasse, or other binding wage-setting mechanism material","Later verification must confirm exact CITY OF ANAHEIM employer and Census ID 183836, official/union provenance, visible 2014-2024 operative dates, paid-unit identity, execution/completeness, and mutual cycle overlap. Do not substitute Orange County, school districts, transit agencies, housing authorities, port or airport authorities, park/recreation districts, fire/water/utility or other special districts, regional bodies, universities, state/federal employers, or private providers. A police, fire, EMS, corrections, dispatcher, or other safety agreement cannot serve as the ordinary non-safety comparator. Search only public materials; do not make or recommend a CPRA/PRA or other public-records request. Allow an empty candidate list if no qualifying city-unit source is found.",ready_for_scout,no,not_scouted,matched_comparison_repair,No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles; label non-overlap or unclear year evidence.,None recorded: no CITY OF ANAHEIM canonical contract or national queue candidate as of 2026-07-20.,No canonical or queued CITY OF ANAHEIM source/cycle is known locally; duplicate checks remain required against any sources returned within this run.,
