evidence_id,row_document_id,attribute_taxonomy_version,primary_attribute,overall_evidence_quality,scout_priority_signal,no_wage_gap_claim,no_final_causal_claim,gabriel_backend,gabriel_model,gabriel_request_id,gabriel_attempt_count,qa_status,automatic_raise_mechanism__attribute_present,automatic_raise_mechanism__direction_of_pressure,automatic_raise_mechanism__evidence_strength,automatic_raise_mechanism__claim_relevance,automatic_raise_mechanism__reason_code,automatic_raise_mechanism__supporting_quote,automatic_raise_mechanism__claim_boundary,bargaining_power_signal__attribute_present,bargaining_power_signal__direction_of_pressure,bargaining_power_signal__evidence_strength,bargaining_power_signal__claim_relevance,bargaining_power_signal__reason_code,bargaining_power_signal__supporting_quote,bargaining_power_signal__claim_boundary,market_or_comparability_pressure__attribute_present,market_or_comparability_pressure__direction_of_pressure,market_or_comparability_pressure__evidence_strength,market_or_comparability_pressure__claim_relevance,market_or_comparability_pressure__reason_code,market_or_comparability_pressure__supporting_quote,market_or_comparability_pressure__claim_boundary,rank_or_specialization_premium__attribute_present,rank_or_specialization_premium__direction_of_pressure,rank_or_specialization_premium__evidence_strength,rank_or_specialization_premium__claim_relevance,rank_or_specialization_premium__reason_code,rank_or_specialization_premium__supporting_quote,rank_or_specialization_premium__claim_boundary,implementation_or_retroactivity_advantage__attribute_present,implementation_or_retroactivity_advantage__direction_of_pressure,implementation_or_retroactivity_advantage__evidence_strength,implementation_or_retroactivity_advantage__claim_relevance,implementation_or_retroactivity_advantage__reason_code,implementation_or_retroactivity_advantage__supporting_quote,implementation_or_retroactivity_advantage__claim_boundary,fiscal_constraint_signal__attribute_present,fiscal_constraint_signal__direction_of_pressure,fiscal_constraint_signal__evidence_strength,fiscal_constraint_signal__claim_relevance,fiscal_constraint_signal__reason_code,fiscal_constraint_signal__supporting_quote,fiscal_constraint_signal__claim_boundary,parity_or_internal_equity_signal__attribute_present,parity_or_internal_equity_signal__direction_of_pressure,parity_or_internal_equity_signal__evidence_strength,parity_or_internal_equity_signal__claim_relevance,parity_or_internal_equity_signal__reason_code,parity_or_internal_equity_signal__supporting_quote,parity_or_internal_equity_signal__claim_boundary,non_base_compensation_signal__attribute_present,non_base_compensation_signal__direction_of_pressure,non_base_compensation_signal__evidence_strength,non_base_compensation_signal__claim_relevance,non_base_compensation_signal__reason_code,non_base_compensation_signal__supporting_quote,non_base_compensation_signal__claim_boundary,base_wage_direct_value__attribute_present,base_wage_direct_value__direction_of_pressure,base_wage_direct_value__evidence_strength,base_wage_direct_value__claim_relevance,base_wage_direct_value__reason_code,base_wage_direct_value__supporting_quote,base_wage_direct_value__claim_boundary,safety_advantage_signal__attribute_present,safety_advantage_signal__direction_of_pressure,safety_advantage_signal__evidence_strength,safety_advantage_signal__claim_relevance,safety_advantage_signal__reason_code,safety_advantage_signal__supporting_quote,safety_advantage_signal__claim_boundary,non_safety_constraint_signal__attribute_present,non_safety_constraint_signal__direction_of_pressure,non_safety_constraint_signal__evidence_strength,non_safety_constraint_signal__claim_relevance,non_safety_constraint_signal__reason_code,non_safety_constraint_signal__supporting_quote,non_safety_constraint_signal__claim_boundary,gap_narrowing_signal__attribute_present,gap_narrowing_signal__direction_of_pressure,gap_narrowing_signal__evidence_strength,gap_narrowing_signal__claim_relevance,gap_narrowing_signal__reason_code,gap_narrowing_signal__supporting_quote,gap_narrowing_signal__claim_boundary,strike_or_no_strike_constraint__attribute_present,strike_or_no_strike_constraint__direction_of_pressure,strike_or_no_strike_constraint__evidence_strength,strike_or_no_strike_constraint__claim_relevance,strike_or_no_strike_constraint__reason_code,strike_or_no_strike_constraint__supporting_quote,strike_or_no_strike_constraint__claim_boundary,weak_or_no_claim_support__attribute_present,weak_or_no_claim_support__direction_of_pressure,weak_or_no_claim_support__evidence_strength,weak_or_no_claim_support__claim_relevance,weak_or_no_claim_support__reason_code,weak_or_no_claim_support__supporting_quote,weak_or_no_claim_support__claim_boundary
qualitative:lobs_002c1605061ebac04849affa,lobs_002c1605061ebac04849affa,v1.1,non_base_compensation_signal,low,medium,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0ac41f594fb800b1006a66548e0d6481948ddcdb1326ffc551,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_rule_in_span,,: not provided,false,not_applicable,not_supported,not_claim_ready,span_mentions_negotiations_time_pay_not_bargaining_leverage,,: not provided,false,not_applicable,not_supported,not_claim_ready,no_market_comparison_or_competitiveness_language,,: not provided,false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_or_differential_comp_language,,: not provided,false,not_applicable,not_supported,not_claim_ready,no_effective_date_retroactivity_or_staged_implementation_terms,,: not provided,false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_or_fiscal_limit_terms,,: not provided,false,not_applicable,not_supported,not_claim_ready,no_parity_compression_internal_equity_alignment_terms,,: not provided,true,non_safety_advantage,moderate,direct_text_claim,span_directly_describes_payment_for_time_spent_in_negotiations,"in number, shall be paid by the City for time spent in negotiations with a",Supports that compensation may be provided for time spent in negotiations; does not establish base wage or broader wage effects.,false,not_applicable,not_supported,not_claim_ready,no_base_wage_hourly_or_salary_rate_or_step_or_grade_in_span,,: not provided,false,not_applicable,not_supported,not_claim_ready,no_safety_or_police_or_fire_comparative_mechanism_language,,: not provided,false,not_applicable,not_supported,not_claim_ready,no_constraints_on_non_safety_pay_or_standardization_language,,: not provided,false,not_applicable,not_supported,not_claim_ready,no_parity_or_compression_or_gap_reduction_mechanism_terms,,: not provided,false,not_applicable,not_supported,not_claim_ready,no_strike_or_no_strike_or_work_stoppage_or_essential_service_language,,: not provided,false,not_applicable,not_supported,not_claim_ready,non_base_compensation_signal_is_supported_by_span,,: not provided
qualitative:lobs_0061e768a4924ce0613c5725,lobs_0061e768a4924ce0613c5725,v1.1,implementation_or_retroactivity_advantage,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_040fced910ce05d7006a66548e10fc8193a73f1c35722b37ae,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_rule_mentioned,,://,false,not_applicable,not_supported,not_claim_ready,no_bargaining_or_negotiation_terms,,://,false,not_applicable,not_supported,not_claim_ready,no_market_or_competitive_justification,,://,false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_pay_differentiation,,://,true,gap_narrowing,moderate,direct_text_claim,contract_made_retroactive_to_a_specific_date,"retroactive to October 1, 2023.",Timing term indicating retroactivity of the contract effective date.,false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_language,,://,false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_reference,,://,false,not_applicable,not_supported,not_claim_ready,no_non_base_compensation_items_listed,,://,false,not_applicable,not_supported,not_claim_ready,no_base_wage_rate_or_amount_stated,,://,false,not_applicable,not_supported,not_claim_ready,no_safety_vs_non_safety_mechanism,,://,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_or_standardization_terms,,://,false,not_applicable,not_supported,not_claim_ready,no_equity_or_gap_narrowing_mechanism_described,,://,false,not_applicable,not_supported,not_claim_ready,no_strike_or_work_stoppage_terms,,://,false,not_applicable,not_supported,not_claim_ready,other_attribute_supported_retroactivity_timing,,://
qualitative:lobs_00dcd4d701faa49826d0585f,lobs_00dcd4d701faa49826d0585f,v1.1,implementation_or_retroactivity_advantage,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0e658c59c8c1aabb006a66548e0ebc8197aab29cf8861020f1,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_rule_indicator_in_span,,Not enough information to identify an automatic COLA/CPI/step/seniority/contract formula.,false,not_applicable,not_supported,not_claim_ready,no_bargaining_or_negotiation_language_in_span,,"The span does not mention bargaining, arbitration, settlement, or negotiation leverage.",false,not_applicable,not_supported,not_claim_ready,no_market_comparison_or_competitiveness_terms_in_span,,No market/peer/recruitment/retention language is present.,false,not_applicable,not_supported,not_claim_ready,no_rank_or_role_based_pay_differentiation_in_span,,The span does not tie pay to rank/certification/specialty/hazard/assignment.,true,gap_narrowing,weak,provisional_causal_candidate,span_contains_timing_effective_date_for_pay_but_lacks_amount_and_mechanism,"Effective the first full pay period following April 1, 2022 members shall receive",Supports only that the pay increase/treatment is timed to an effective date; does not specify magnitude or whether the timing benefits safety vs non-safety.,false,not_applicable,not_supported,not_claim_ready,no_budget_affordability_or_funding_constraints_in_span,,No fiscal constraint language is present.,false,not_applicable,not_supported,not_claim_ready,no_parity_compression_or_internal_equity_terms_in_span,,"The span does not mention parity, compression, or internal equity.",false,not_applicable,not_supported,not_claim_ready,no_overtime_stipend_longevity_benefit_terms_in_span,,The span does not identify any non-base compensation type.,false,not_applicable,not_supported,not_claim_ready,no_salary_or_rate_or_percentage_amount_stated_in_span,,No base wage amount/rate/step/grade/percentage is stated in the provided span.,false,not_applicable,not_supported,not_claim_ready,no_safety_vs_non_safety_comparative_compensation_mechanism_in_span,,The span does not indicate safety-specific compensation relative to non-safety.,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_or_standardization_terms_in_span,,The span does not suggest constraints/delays/weaker differentiation for non-safety pay.,false,not_applicable,not_supported,not_claim_ready,no_compression_parity_or_gap_narrowing_mechanism_in_span,,No mechanism is stated that would narrow a safety/non-safety pay gap.,false,not_applicable,not_supported,not_claim_ready,no_strike_or_no_strike_terms_in_span,,No strike/no-strike or work stoppage restriction language is present.,false,not_applicable,not_supported,not_claim_ready,another_attribute_is_present_so_weak_or_no_claim_support_not_applicable,,N/A
qualitative:lobs_01c6e8860b466aa692232fb9,lobs_01c6e8860b466aa692232fb9,v1.1,implementation_or_retroactivity_advantage,low,medium,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_09a3ed8cacd65849006a66548e224481939cd5c2bd8fd5f7f7,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_index_or_step_rule,,N/A,false,not_applicable,not_supported,not_claim_ready,no_bargaining_or_negotiation_language,,N/A,false,not_applicable,not_supported,not_claim_ready,no_market_or_comparability_justification,,N/A,false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_pay_differentiation,,N/A,true,gap_narrowing,moderate,documentary_mechanism_claim,pays_increase_linked_to_effective_date_after_completion,Any pay increase shall be applied with the effective date of the successful completion of the,Timing/effective-date rule indicates implementation timing; no direction of wage effects is asserted.,false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_constraints,,N/A,false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_language,,N/A,false,not_applicable,not_supported,not_claim_ready,no_non_base_compensation_types_mentioned,,N/A,false,not_applicable,not_supported,not_claim_ready,no_base_wage_amount_rate_or_grade_reported,,N/A,false,not_applicable,not_supported,not_claim_ready,no_safety_vs_non_safety_comparative_mechanism,,N/A,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_or_standardization_language,,N/A,false,not_applicable,not_supported,not_claim_ready,no_equity_compression_or_narrowing_mechanism_for_gap,,N/A,false,not_applicable,not_supported,not_claim_ready,no_strike_or_work_stoppage_terms,,N/A,false,not_applicable,not_supported,not_claim_ready,another_attribute_is_supported_so_weak_support_not_used,,N/A
qualitative:lobs_01cf4dde9a822739e8c3a74b,lobs_01cf4dde9a822739e8c3a74b,v1.1,implementation_or_retroactivity_advantage,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0fe72a68e0fd228d006a6654d737908193a424206dc2cd445d,2,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_rule_language_in_span,,.Exclude one-time discretionary changes and require COLA/CPI/step/seniority/schedule/contract formula language.,false,not_applicable,not_supported,not_claim_ready,no_bargaining_or_negotiation_language_in_span,,.Exclude union/negotiation/arbitration/memorandum/factfinding language.,false,not_applicable,not_supported,not_claim_ready,no_market_or_competitive_comparison_language_in_span,,.Exclude market/peer recruitment-retention competitiveness language.,false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_compensation_differentiation_in_span,,.Exclude rank/certification/classification/hazard/assignment differentiation language.,true,neutral_or_unclear,weak,provisional_causal_candidate,salary_review_dates_may_imply_timing_but_no_retroactive_or_staged_increase_terms,Individual salary review dates will be,"Indicates timing via review dates but does not state retroactivity, effective-date advantage, staged increases, or comparative timing.",false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_constraint_language_in_span,,.Exclude explicit fiscal constraint/budget limit language.,false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_language_in_span,,.Exclude parity/compression/alignment language.,false,not_applicable,not_supported,not_claim_ready,no_non_base_compensation_item_language_in_span,,.Exclude overtime/stipend/leave/reimbursement/pension/benefits language.,false,not_applicable,not_supported,not_claim_ready,no_specific_wage_amount_or_rate_in_span,,".Exclude direct base wage values, rates, steps, grades, or explicit percent raises.",false,not_applicable,not_supported,not_claim_ready,no_safety_or_fire_police_advantage_mechanism_language_in_span,,.Exclude comparative safety/non-safety compensation mechanism language.,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_or_standardization_language_in_span,,.Exclude language indicating non-safety pay is constrained/delayed/less differentiated.,false,not_applicable,not_supported,not_claim_ready,no_equity_compression_gap_narrowing_mechanism_language_in_span,,.Exclude explicit compression/parity/shared-raise language.,false,not_applicable,not_supported,not_claim_ready,no_strike_or_no_strike_clause_language_in_span,,.Exclude strike/no-strike/work stoppage/arbitration substitute language.,false,not_applicable,not_supported,not_claim_ready,not_used_when_an_attribute_is_present,,.
qualitative:lobs_01d00a56e42bc6a4aef8fda3,lobs_01d00a56e42bc6a4aef8fda3,v1.1,implementation_or_retroactivity_advantage,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0562a772b6a43def006a665496cef0819089aae6e6e068bdaf,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_rule_language_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_bargaining_leverage_terms_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_market_or_comparability_terms_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_rank_or_classification_pay_differentiation_in_span,,: none,true,neutral_or_unclear,weak,documentary_mechanism_claim,span_indicates_timing_of_contract_change_without_establishing_favorable_adv_or_w,"may be adopted after the date of the execution of this Contract, which change increases the",Timing term about when a contract change may be adopted; does not specify favorable effective dating relative to a counterfactual.,false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_constraint_terms_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_language_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_non_base_compensation_terms_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_direct_base_wage_amount_or_rate_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_safety_vs_non_safety_advantage_mechanism_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_or_standardization_terms_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_compression_or_gap_narrowing_mechanism_terms_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,no_strike_or_no_strike_or_labor_peace_terms_in_span,,: none,false,not_applicable,not_supported,not_claim_ready,not_used_when_an_attribute_is_supported,,: none
qualitative:lobs_01fde53ca68eab05b472dac3,lobs_01fde53ca68eab05b472dac3,v1.1,automatic_raise_mechanism,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_038a75c4b9af584d006a665496e15c81978d254c6b9af75901,1,schema_valid_exact_quote_verified,true,gap_narrowing,weak,provisional_causal_candidate,step_progression_after_service,in “E” Step after completion of four (4) years of active full -time service.,"Indicates a step progression tied to completing four years of active full-time service; does not specify the size, timing beyond the condition, or whether it is automatic via COLA/CPI vs a service-step rule.",false,not_applicable,not_supported,not_claim_ready,no_bargaining_language_in_span,,"The provided span does not mention union negotiation, arbitration, or similar bargaining leverage.",false,not_applicable,not_supported,not_claim_ready,no_market_comparison_terms_in_span,,"The provided span does not discuss market comparison, recruitment/retention pressures, or competitiveness.",false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_comp_differential_in_span,,"The provided span does not state compensation varies by rank, certification, or specialty.",false,not_applicable,not_supported,not_claim_ready,no_effective_date_or_retroactivity_in_span,,"The provided span does not mention retroactivity, effective dates, or staged implementation.",false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_language_in_span,,The provided span does not cite fiscal limits or municipal finance constraints.,false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_terms_in_span,,"The provided span does not mention parity, compression, or internal equity alignment.",false,not_applicable,not_supported,not_claim_ready,no_non_base_comp_terms_in_span,,"The provided span does not reference overtime, stipends, longevity, benefits, or other non-base compensation.",false,not_applicable,not_supported,not_claim_ready,no_wage_amount_in_span,,The provided span indicates a step designation but does not directly state a base wage amount or rate.,false,not_applicable,not_supported,not_claim_ready,no_safety_specific_comparative_mechanism_in_span,,The provided span does not compare safety compensation to non-safety compensation.,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_language_in_span,,The provided span does not describe constraints or reduced differentiation for non-safety pay.,false,not_applicable,not_supported,not_claim_ready,no_gap_or_parity_mechanism_comparison_in_span,,The provided span does not mention a safety vs non-safety gap or compression relief.,false,not_applicable,not_supported,not_claim_ready,no_strike_or_no_strike_language_in_span,,The provided span does not address strike rights or strike-related clauses.,false,not_applicable,not_supported,not_claim_ready,automatic_step_indicator_present,,Not used because automatic_raise_mechanism has some support from the step-after-service wording.
qualitative:lobs_0225ab3abe275717ae62b033,lobs_0225ab3abe275717ae62b033,v1.1,implementation_or_retroactivity_advantage,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_07cb6bd148a46b8d006a665498dd40819489476b695eb4d524,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_rule_text_in_span,,No automatic COLA/CPI/step/seniority/schedule/formula language is present in the provided span.,false,not_applicable,not_supported,not_claim_ready,no_union_or_negotiation_language_in_span,,"The span does not mention negotiation, bargaining, arbitration, or similar mechanisms.",false,not_applicable,not_supported,not_claim_ready,no_market_comparison_language_in_span,,The span does not reference market comparison or competitiveness.,false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_comp_differentiation_in_span,,The span provides no rank/classification/specialty compensation differentiation.,true,neutral_or_unclear,weak,documentary_mechanism_claim,effective_date_timing_phrase_present_but_advantage_not_justified_in_span,"Effective January 1, 2026","This only indicates timing ('Effective January 1, 2026') and does not establish whether the timing is favorable relative to another group or period.",false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_constraints_in_span,,"The span does not mention fiscal limits, budgets, affordability, or funding constraints.",false,not_applicable,not_supported,not_claim_ready,no_parity_or_equity_language_in_span,,"The span does not reference parity, compression, or internal equity.",false,not_applicable,not_supported,not_claim_ready,no_non_base_benefit_terms_in_span,,"The span does not mention overtime, stipends, healthcare, pension, leave, or other non-base compensation.",false,not_applicable,not_supported,not_claim_ready,base_wage_value_not_clearly_specified_in_span,,"Although the span contains 'a 3.', it does not clearly specify an explicit base wage amount/rate or an unambiguous wage value context.",false,not_applicable,not_supported,not_claim_ready,no_safety_vs_non_safety_comp_mechanism_in_span,,The span does not mention safety occupations or differential safety compensation mechanisms.,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_language_in_span,,The span does not describe constraints or delays affecting non-safety pay.,false,not_applicable,not_supported,not_claim_ready,no_gap_or_compression_mechanism_in_span,,The span does not mention parity/compression relief or any gap-narrowing mechanism.,false,not_applicable,not_supported,not_claim_ready,no_strike_or_no_strike_language_in_span,,The span does not discuss strike rights or labor-peace/no-strike constraints.,false,not_applicable,not_supported,not_claim_ready,implementation_or_retroactivity_signal_supported_so_not_needed,,"Another attribute is present, so weak_or_no_claim_support is not applied."
qualitative:lobs_0243e0cd2d60f9c9fd4c0959,lobs_0243e0cd2d60f9c9fd4c0959,v1.1,automatic_raise_mechanism,low,medium,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0bd1fb216d65ec76006a66549dc30481948ffa08421e617c7d,1,schema_valid_exact_quote_verified,true,gap_narrowing,moderate,documentary_mechanism_claim,cola_mechanism_language_present,cost of living adjustment,This excerpt indicates a COLA description of the combined 2022 increases; it does not establish outcomes or relative wage effects.,false,not_applicable,not_supported,not_claim_ready,no_bargaining_power_language,,No bargaining/leverage/negotiation language appears in the provided span.,true,non_safety_advantage,weak,documentary_mechanism_claim,partial_market_reference_only,a market,The span only begins a 'market' phrase and does not specify how market comparability affects pay.,false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_comp_language,,"The provided text does not reference rank, certification, classification, or specialty-based pay differentials.",false,not_applicable,not_supported,not_claim_ready,no_timing_or_effective_date_terms,,No effective-date/retroactivity/staged implementation language is present in the excerpt.,false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_constraints,,"The excerpt does not cite budget limits, funding constraints, or municipal finance considerations.",false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_language,,No parity/compression/internal-equity terms are included in the provided span.,false,not_applicable,not_supported,not_claim_ready,no_non_base_pay_components_mentioned,,"The excerpt does not mention overtime, stipends, longevity, healthcare, pension, leave, or reimbursements.",false,not_applicable,not_supported,not_claim_ready,no_base_pay_amount_or_rate,,"Although a three percent adjustment is mentioned, the excerpt does not directly state a base wage, hourly rate, salary, or grade pay value.",false,not_applicable,not_supported,not_claim_ready,no_safety_vs_non_safety_comparative_mechanism,,The span contains no comparative safety vs non-safety compensation mechanism.,false,not_applicable,not_supported,not_claim_ready,no_constraint_on_non_safety_pay,,No language suggests non-safety pay is constrained or less differentiated.,false,not_applicable,not_supported,not_claim_ready,no_gap_narrowing_or_compression_terms,,The excerpt does not state parity/compression relief or a narrowing mechanism between safety and non-safety pay.,false,not_applicable,not_supported,not_claim_ready,no_strike_or_work_stoppage_language,,"The provided span does not mention strike/no-strike provisions, essential-service limits, or labor-peace clauses.",false,not_applicable,not_supported,not_claim_ready,other_attributes_present,,Not used because at least one substantive attribute (automatic raise mechanism) is supported.
qualitative:lobs_028611b71918af6461eeb646,lobs_028611b71918af6461eeb646,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_099b788e1499c979006a6655a20e848195a27a84c8e9255021,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_rule_mentioned,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_bargaining_process_or_negotiation_terms,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_market_or_comparability_language,,not_applicable,false,not_applicable,not_supported,not_claim_ready,only_classifications_listed_no_comp_diff_stated,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_timing_or_effective_date_terms,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_constraints,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_parity_or_equity_mechanism_stated,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_overtime_stipend_or_benefit_terms,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_wage_amount_or_pay_grade_value_provided,,not_applicable,false,not_applicable,not_supported,not_claim_ready,classifications_only_no_safety_compensation_mechanism,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_or_standardization_terms,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_parity_compression_or_gap_related_mechanism,,not_applicable,false,not_applicable,not_supported,not_claim_ready,no_strike_or_work_stoppage_language,,not_applicable,true,neutral_or_unclear,weak,not_claim_ready,classification_only_no_pay_mechanism_or_comp_terms,Police Officer and Police Sergeant classifications,not_applicable
