blocker_record_id,source_layer,original_record_id,unit_type,claim_boundary,blocker_or_route,caveats,resolution
WCB-72f2395a13b97df139b2b7bb,targeted_scout_ab,WCRS-a696ebf008016645cc404310,rated_span,write_off,direct_text_claim,[],preserved_for_repair_readiness_or_write_off_denominator
WCB-c1e962918e3e965e1489ef2c,targeted_scout_c,WCRS-fb95a429e89a32d3072faf22,rated_span,write_off,direct_text_claim,[],preserved_for_repair_readiness_or_write_off_denominator
WCB-69deaedec58a762c4a651c04,combined_broad,WCRS-335bf8bf92b2e1c89d0e1078,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-a64ef090091a9658a933f6b0,combined_broad,WCRS-de2c8e8ae9acb6ae402cf1f0,rated_span,write_off,weak_or_not_supported,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-72277a9a5669a9ee6193aaef,combined_broad,WCRS-ae15a36f5a161a895bc31900,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-7c13c16fb42f32034ef0a225,combined_broad,WCRS-163815fc2df10310ad35b0be,rated_span,write_off,weak_or_not_supported,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-c9f8212ce07ddffcaeae436d,combined_broad,WCRS-441dd1ec9f5b112c26d5278d,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-dd691fa566b0f8e641f2c9ae,combined_broad,WCRS-4d71152685c3f4b03bd67e4a,rated_span,write_off,weak_or_not_supported,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-1676b79944b45c2a6e5a0370,combined_broad,WCRS-6f21d7228c9e0dbe50c380c4,rated_span,write_off,weak_or_not_supported,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-0c84defab500a71a491d9659,combined_broad,WCRS-aa3092d7ab32e40be4cc4af5,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-a2f768adbfe3726ce5df3c6e,combined_broad,WCRS-05828fe0654525ac79befbcd,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-8e6fce8ee229bdca3dd0de34,combined_broad,WCRS-560b1a409c96af4d9a3aab0c,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-9ab798b8399e5451bffe7518,combined_broad,WCRS-7b4319b8ead06027b95dfd66,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-4a015f389230bb31ccf48972,combined_broad,WCRS-0e2103022167dd632cfac35c,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-b8c9369fcd047b0a281ec9ac,combined_broad,WCRS-f5a0274ba131ae702ff91d75,rated_span,write_off,weak_or_not_supported,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-49cb73c283a689a530e5f7a8,combined_broad,WCRS-e6cd3bfe60217f5f8139a045,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-5ce35aa79809b321f6d8789b,combined_broad,WCRS-162224d8a3ffe5d378790dde,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-36b70ede1e54865b3e7ea2c8,combined_broad,WCRS-45fccfc4e0a158e80fe73257,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-061f9affe1ac4da06b44de3a,combined_broad,WCRS-fcd2a00627bda27296aad656,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-b05fc121447d030ce1e18126,combined_broad,WCRS-9ba5594ddb8263665c0492ea,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-d9fcae28abab26a2cf8cf2a9,combined_broad,WCRS-ba1f1204f1af50ef41081cc5,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-bd0b97c4c08f976851048a87,combined_broad,WCRS-91185df9e110f68bfddeb068,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-002050368b74497b2f9f6c2e,combined_broad,WCRS-18d8682699f641e2fcff6616,rated_span,repair_needed,source_navigation_only,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-0a7a6de8258da3993bdcb4cb,combined_broad,WCRS-ddba153e95213dc5dc42e82d,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-0edf34e96617450ac870310d,combined_broad,WCRS-6ca6648219a04924d19e7629,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-4825e995bb40cdfe81276b7e,combined_broad,WCRS-00b94db6eaf6c174be98ead3,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-241fb167e7a5738c047d0177,combined_broad,WCRS-ead0755b7384fdeb6f77bae1,rated_span,write_off,weak_or_not_supported,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-3246c1b4829a56a7f9b46f1a,combined_broad,WCRS-bafda8f7e6cd839729c4f2ed,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-4c5e8231cf57f06d664ace43,combined_broad,WCRS-0be1bfcc59ad9527fc8dc80e,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-b09c81cd9b3e4972cb70ab0e,combined_broad,WCRS-65a802ff72335bfeec8987f1,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-4b758560d15bdc14a5a8530d,combined_broad,WCRS-3d60ef6731225b8e571f7e12,rated_span,write_off,weak_or_not_supported,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-ae20709e80aa92773c9f0913,combined_broad,WCRS-29a11c7ae718c41b464271ba,rated_span,write_off,weak_or_not_supported,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-c7450a39b449887d167e243d,combined_broad,WCRS-64546df8788f794ea12a00bb,rated_span,write_off,weak_or_not_supported,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
WCB-4db0849cdf43169af685a389,combined_broad,WCRS-fa91b5b1c5966cfbb3075af4,rated_span,repair_needed,quant_needs_normalization,"[""snippet_pointer_only"",""not_clear_side_anchor""]",preserved_for_repair_readiness_or_write_off_denominator
