selection_id,claim_id,claim_section,example_id,source_record_id,municipality,state,source_family,side_label,mechanism_class,bounded_evidence_summary,bounded_source_text,why_selected,claim_boundary,source_pointer,source_lineage
REPORT-CLAIM-A-01,CLAIM-A,"Claim 1: Bargaining, Arbitration, and Factfinding",WCCPEX-b7717536d2561f66db0ced52,WCM-20b28280dbc27a559ca3accd,Harrison,OH,mou_or_memorandum,police_direct,collective_bargaining,"Harrison, OH: a mou_or_memorandum record codes collective bargaining for police_direct; the package preserves the bounded evidence pointer and source lineage.",Section 2.5 Bargaining unit members shall receive a three (3) percent lump sum payment,Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-0623b86e76118f9bb037ce9e,"{""candidate_id"": ""BRM5C-BRM5-20260731-02278-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Addendums/2021/21-MED-02-0192.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Addendums/2021/21-MED-02-0192.pdf"", ""scout_target_id"": ""BRM5-20260731-02278""}"
REPORT-CLAIM-A-02,CLAIM-A,"Claim 1: Bargaining, Arbitration, and Factfinding",WCCPEX-9002228502ce09035b47f850,WCM-3140e457a07cd6f05de6770c,Olive,NY,cba,police_direct,arbitration_factfinding,"Olive, NY: a cba record codes arbitration factfinding for police_direct; the package preserves the bounded evidence pointer and source lineage.","procedure of the Taylor Law shall apply (e.g., mediation and interest arbitration).",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-e1f197ee05ff1ed1a5d31c7f,"{""candidate_id"": ""BRM5C-BRM5-20260731-14254-01"", ""final"": ""https://townofoliveny.gov/wp-content/uploads/2023/12/Olive-Police-CBA-2024-2026.pdf"", ""original"": ""https://townofoliveny.gov/wp-content/uploads/2023/12/Olive-Police-CBA-2024-2026.pdf"", ""scout_target_id"": ""BRM5-20260731-14254""}"
REPORT-CLAIM-A-03,CLAIM-A,"Claim 1: Bargaining, Arbitration, and Factfinding",WCCPEX-f9fc40ff1c1507df5ef0c2fc,WCM-003339a869c96f5aa7faaf91,Orchard Park,NY,wage_schedule,police_direct,strike_no_strike_dispute_process,"Orchard Park, NY: a wage_schedule record codes strike no strike dispute process for police_direct; the package preserves the bounded evidence pointer and source lineage.","Orchard Park, NY: a wage_schedule record codes strike no strike dispute process for police_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://orchardparkny.gov/wp-content/uploads/2018/02/PBA-Contract.pdf
REPORT-CLAIM-A-04,CLAIM-A,"Claim 1: Bargaining, Arbitration, and Factfinding",WCCPEX-4c27a8c5b48512597d9835de,WCM-01523ce2a91d89f1a2f6313e,Bloomfield charter,MI,cba,police_direct,strike_no_strike_dispute_process,"Bloomfield charter, MI: a cba record codes strike no strike dispute process for police_direct; the package preserves the bounded evidence pointer and source lineage.","Bloomfield charter, MI: a cba record codes strike no strike dispute process for police_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://bloomfieldtwpmi.gov/media/nwepukaq/bt-polc-patrol-contract-2026-2028-signed-with-attachments.pdf
REPORT-CLAIM-B-01,CLAIM-B,Claim 2: Step Schedules and Seniority Progression,WCCPEX-c85689d111d6649da0624c40,WCM-476f2d9a5900e2036e6978de,Union Gap,WA,agenda_packet_or_minutes,police_direct,cola_cpi_indexing,"Union Gap, WA: a agenda_packet_or_minutes record codes cola cpi indexing for police_direct; the package preserves the bounded evidence pointer and source lineage.",AN ORDINANCE authorizing a 5.0% increase in the salaries and wages for,Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-cc01eca3010afbf82c79a15a,"{""candidate_id"": ""BRM5C-BRM5-20260731-03741-01"", ""final"": ""https://uniongapwa.gov/council/wp-content/uploads/sites/4/1-10-2022-Council-Packet.pdf"", ""original"": ""https://uniongapwa.gov/council/wp-content/uploads/sites/4/1-10-2022-Council-Packet.pdf"", ""scout_target_id"": ""BRM5-20260731-03741""}"
REPORT-CLAIM-B-02,CLAIM-B,Claim 2: Step Schedules and Seniority Progression,WCCPEX-fa637add09963a080b3734e2,WCM-32ae0dd7404b0c8533e9afea,Bruceville-Eddy,TX,budget_or_pay_plan,non_safety_direct,cola_cpi_indexing,"Bruceville-Eddy, TX: a budget_or_pay_plan record codes cola cpi indexing for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",most employees who have completed one year of service with a 4% cost-of-living adjustment (COLA) while allocating a base pay increase for our Public Works,Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-f7d15ac611bb5130584cd0ad,"{""candidate_id"": ""BRM5C-BRM5-20260731-14840-04"", ""final"": ""https://bruceville-eddy.us/wp-content/uploads/2025/08/20250818-Agenda-Packet-Public-Version.pdf"", ""original"": ""https://bruceville-eddy.us/wp-content/uploads/2025/08/20250818-Agenda-Packet-Public-Version.pdf"", ""scout_target_id"": ""BRM5-20260731-14840""}"
REPORT-CLAIM-B-03,CLAIM-B,Claim 2: Step Schedules and Seniority Progression,WCCPEX-f2fd6f6f10b7f68fc611502d,WCM-00a980f022281945c2af9e9b,Wellsville,NY,cba,police_direct,step_schedule_seniority,"Wellsville, NY: a cba record codes step schedule seniority for police_direct; the package preserves the bounded evidence pointer and source lineage.","Wellsville, NY: a cba record codes step schedule seniority for police_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://seethroughny.net/contracts/VillageofWellsville_P_2017.pdf
REPORT-CLAIM-B-04,CLAIM-B,Claim 2: Step Schedules and Seniority Progression,WCCPEX-878f9634860427d13452c14b,WCM-47b2faf43bf5c4502a66a7f6,Warwick,PA,budget_or_pay_plan,police_direct,cola_cpi_indexing,"Warwick, PA: a budget_or_pay_plan record codes cola cpi indexing for police_direct; the package preserves the bounded evidence pointer and source lineage.","This includes 3.25% increase (per Collective Bargaining) in salary for sworn officers plus overtime,",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-88eabb44ef43caef5b798b1c,"{""candidate_id"": ""BRM5C-BRM5-20260731-07227-01"", ""final"": ""https://warwick-bucks.com/wp-content/uploads/2024/10/2025-Draft-Budget-10.23-2.pdf"", ""original"": ""https://warwick-bucks.com/wp-content/uploads/2024/10/2025-Draft-Budget-10.23-2.pdf"", ""scout_target_id"": ""BRM5-20260731-07227""}"
REPORT-CLAIM-C-01,CLAIM-C,Claim 3: Non-Base Compensation,WCCPEX-605e55a2877ed56999fd1d6a,WCM-00613e37654f6a99adf1431e,Milaca,MN,cba,police_direct,non_base_compensation,"Milaca, MN: a cba record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.","Milaca, MN: a cba record codes non base compensation for police_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://cityofmilaca.org/documents/556/01-17-24_AGENDA_PACKET_PAGE_NUMBERS.pdf
REPORT-CLAIM-C-02,CLAIM-C,Claim 3: Non-Base Compensation,WCCPEX-dea0cd1123e3866a6fa117d1,WCM-011041c42392c701cecb62b5,Sugarcreek,OH,cba,fire_direct,non_base_compensation,"Sugarcreek, OH: a cba record codes non base compensation for fire_direct; the package preserves the bounded evidence pointer and source lineage.","Sugarcreek, OH: a cba record codes non base compensation for fire_direct; the package preserves the bounded evidence pointer and source lineage.",Representative traceable example with side/mechanism diversity for this claim family.,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-12-1421.pdf
