claim_recommendation,confidence_basis,correction_fields,cross_exam_result_id,department,exact_excerpt_or_table_row,expected_claim_consequence,formula,headline_id,implementation_sequence_id,lane_id,lineage_fields,linked_claim,mathematical_inputs,municipality,packet_memberships,period,primary_outcome,proposed_interpretation,record_type,registry_hash,rejection_reason,reproduced_result,review_record_id,reviewer_rationale,side,source_coordinates,source_hash,source_id,source_title,staffing_review_class,state,supporting_disposition,surrounding_context,unresolved_reason
,strong_bounded_context,{},XRESULT-683c2ff5a3293d6de981b1f1,police,-1.0,retain only within reviewed boundary,,,,cross_exam_lane_002,"{""canonical_record_key"":""staffing:EXTRECON-e89c5f582947dae093d7032e"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/93/EXTPAYLOAD-6cab8ebb84b7a9d6442f2bfc.txt.gz""}",MECH-06,"{""denominator"":"""",""non_safety_value"":"""",""numerator"":"""",""raw_value"":""-1.0"",""safety_value"":""""}",cog_2025_166790,"[""strict_staffing_channel_universe""]",undated-source-B4X2500LIVE-20260729-002884,upheld_with_narrower_wording,supports_safety_pressure_channel,staffing_channel_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-000c756f77c826792156f6e4,"The source-local context supports the side and staffing type, but the record is descriptive channel-consistent evidence rather than an explicit causal response.",police,"{""character_end"":""652727"",""character_start"":""652723"",""column"":"""",""page"":""276"",""row"":"""",""table_id"":""""}",93528aa7111cd4e1c3e53c29e20eefbf3bb7ad066f9c7b890ffc5a1d7989a53d,EXTSOURCE-6cab8ebb84b7a9d6442f2bfc,retained source EXTPAYLOAD-6cab8ebb84b7a9d6442f2bfc,descriptive_channel_consistent,,contextualizes_claim,on Eliminate vacant Purchasing Officer position (-1.0); reflect 50% funding of combined Purchasing & Personnel Coordinator position (+0.5) 04-05 Finance Eliminate vacant Accounting Supervisor position (-1.0); add Accountant position (+1.0); eliminate vacant Fiscal Assistant I position (-1.0) 04-05 Information Technology Eliminate vacant part-time Information Systems Support position (-0.7) 04-05 Police Eliminate vacant positions: Police Officer (-1.0); Police Service Assistant (-1.0); and Office Assistant II (-1.0); reflect Police Department transfer of Police Officer position from Auto Theft Prevention Fund to patrol (+1.0) 04-05 Fire Eliminate vacant Fire Fighter position (-1.0) 04-05 Community Development Eliminate vacant Office Assistant II position (-1.0); add hours to part-time CDD Aide position (+0.2) 04-05 Library Eliminate hours for part-time Branch Library Circulation Chief (-0,
,partial_context_only,{},XRESULT-29cb299b477a0f4a8d1c0199,unclear,1,remove from claim evidence; preserve lineage,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_002,"{""canonical_record_key"":""obs:EXTOBS-1e753c8639d6b7a608cb45b0"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7a/EXTPAYLOAD-dbee94a867271abe440b6a9e.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""1"",""safety_value"":""""}",cog_2025_160809,"[""core"",""staffing""]",undated-source-B4X2500LIVE-20260729-009821,downgraded_to_context,staffing_hypothesis_candidate,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-00f67b9e4823bd7403ce1812,"The retained value and coordinate are verified, but source-local context does not resolve all dimensions required for the proposed analytical role.",unclear,"{""character_end"":""3813730"",""character_start"":""3813729"",""column"":"""",""page"":""592"",""row"":"""",""table_id"":""""}",7afc99bcf6b464694aefa40758ec11cc99739ab4cad66474e99fe66715f6b4ef,EXTSOURCE-dbee94a867271abe440b6a9e,retained source EXTPAYLOAD-dbee94a867271abe440b6a9e,,AK,contextualizes_claim,"................... 3 . 2 8 ( X ) HOUSING OCCUPANCY Total housing units....................... 2 , 9 5 7 100.0 O c c u p i e dh o u s i n gu n i t s....................... 1 , 7 9 6 6 0 . 7 Vacant housing units.......................... 1 , 1 6 1 3 9 . 3 For seasonal, recreational, or occasional use ............................ 1 6 2 5 . 5 Homeowner vacancy rate (percent) ............. 1 . 9 ( X ) Rental vacancy rate (percent) .................. 1 8 . 0 ( X ) HOUSING TENURE Occupied housing units .................. 1 , 7 9 6 100.0 O w n e r - o c c u p i e dh o u s i n gu n i t s................. 6 5 9 3 6 . 7 Renter-occupied housing units ................. 1 , 1 3 7 6 3 . 3 Average household size of owner-occupied units. 2.92 (X) Average household size of renter-occupied units . 2.36 (X) - Represents zero or rounds to zero. (X) Not applicable. 1 Other Asian alone, or two or more Asian ca",
,partial_context_only,{},XRESULT-f871a50867fbbea8b36f92af,unclear,5,remove from claim evidence; preserve lineage,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_002,"{""canonical_record_key"":""obs:EXTOBS-d07b021bd3f7d3169359fc58"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7a/EXTPAYLOAD-dbee94a867271abe440b6a9e.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""5"",""safety_value"":""""}",cog_2025_160809,"[""core"",""staffing""]",undated-source-B4X2500LIVE-20260729-009821,downgraded_to_context,staffing_hypothesis_candidate,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-013e075002fb3b63d177ce1d,"The retained value and coordinate are verified, but source-local context does not resolve all dimensions required for the proposed analytical role.",unclear,"{""character_end"":""3271370"",""character_start"":""3271369"",""column"":"""",""page"":""508"",""row"":"""",""table_id"":""""}",7afc99bcf6b464694aefa40758ec11cc99739ab4cad66474e99fe66715f6b4ef,EXTSOURCE-dbee94a867271abe440b6a9e,retained source EXTPAYLOAD-dbee94a867271abe440b6a9e,,AK,contextualizes_claim,"e household size ....................... 4 . 7 6 ( X ) Average family size ........................... 5 . 2 4 ( X ) HOUSING OCCUPANCY Total housing units....................... 9 5 100.0 O c c u p i e dh o u s i n gu n i t s....................... 8 2 8 6 . 3 Vacant housing units.......................... 1 3 1 3 . 7 For seasonal, recreational, or occasional use ............................ 5 5 . 3 Homeowner vacancy rate (percent) ............. 5 . 1 ( X ) Rental vacancy rate (percent) .................. - ( X ) HOUSING TENURE Occupied housing units .................. 8 2 100.0 O w n e r - o c c u p i e dh o u s i n gu n i t s................. 5 6 6 8 . 3 Renter-occupied housing units ................. 2 6 3 1 . 7 Average household size of owner-occupied units. 4.84 (X) Average household size of renter-occupied units . 4.58 (X) - Represents zero or rounds to zero. (X) Not applicable. 1 O",
,partial_context_only,{},XRESULT-41e5e5b8f05c34b7f4ad4e07,unclear,$             7,remove from claim evidence; preserve lineage,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_002,"{""canonical_record_key"":""obs:EXTOBS-a8a21323422e53158ca7c78f"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a4/EXTPAYLOAD-4c435a8b4038b5db55998498.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""$             7"",""safety_value"":""""}",cog_2025_128411,"[""core"",""staffing""]",2024,downgraded_to_context,staffing_hypothesis_candidate,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-015c065750e1585eae1ad3bc,"The retained value and coordinate are verified, but source-local context does not resolve all dimensions required for the proposed analytical role.",unclear,"{""character_end"":""55281"",""character_start"":""55266"",""column"":"""",""page"":""34"",""row"":"""",""table_id"":""""}",a49cd3e5cfa8c8710a0272d60e9f44f7ccc2409a1c0a54f051d7b884a347f3dd,EXTSOURCE-4c435a8b4038b5db55998498,retained source EXTPAYLOAD-4c435a8b4038b5db55998498,,MI,contextualizes_claim,"57$ 60.2 25.0 25.0 Vested Former Employees 2 33,701 2 33,701 52.9 13.5 20.5 Retirees and Beneficiaries 11 313,471 11 307,324 67.3 Pending Refunds 1 1 02 - Dispatchers Active Employees 0 0$ 0 0$ 0.0 0.0 0.0 Vested Former Employees 1 20,877 1 20,877 48.1 12.1 15.0 Retirees and Beneficiaries 4 101,202 4 99,218 66.4 Pending Refunds 1 1 05 - Fire Active Employees 7 801,672$ 7 901,165$ 48.1 20.5 20.5 Vested Former Employees 3 76,710 3 76,710 42.7 11.4 16.0 Retirees and Beneficiaries 15 647,887 14 635,439 58.6 Pending Refunds 0 0 09 - Retiree-2% Comp/COLA& Deferre Active Employees 0 0$ 0 0$ 0.0 0.0 0.0 Vested Former Employees 0 0 0 0 0.0 0.0 0.0 Retirees and Beneficiaries 5 91,566 6 158,571 58.1 Pending Refunds 0 0 10 - Gen af 2/19/08 Active",
,strong_bounded_context,{},XRESULT-ab02dab334f3e50d1c2d04de,police,2026,retain only within reviewed boundary,,,,cross_exam_lane_002,"{""canonical_record_key"":""staffing:EXTRECON-f8487dc80a5b8844eb8277a8"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/d3/EXTPAYLOAD-472fa4659a13d713b9d3cd48.txt.gz""}",MECH-06,"{""denominator"":"""",""non_safety_value"":"""",""numerator"":"""",""raw_value"":""2026"",""safety_value"":""""}",cog_2025_225676,"[""strict_staffing_channel_universe""]",2021,upheld_with_narrower_wording,supports_safety_pressure_channel,staffing_channel_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-018b6a72fc7c60b264a4d706,"The source-local context supports the side and staffing type, but the record is descriptive channel-consistent evidence rather than an explicit causal response.",police,"{""character_end"":""42743"",""character_start"":""42739"",""column"":"""",""page"":""26"",""row"":"""",""table_id"":""""}",d3a85086d5d6678ac07f5032c7c4217af1af76601f79b8753ca46dcc8651723b,EXTSOURCE-472fa4659a13d713b9d3cd48,retained source EXTPAYLOAD-472fa4659a13d713b9d3cd48,descriptive_channel_consistent,,contextualizes_claim,"22, 2026 SUBJECT: One-Time Retention and Recruitment Incentive Program SUMMARY: The Berlin Police Department is requesting authorization to utilize $100,000 of the approximately $118,000 in salary surplus remaining within the FY 2026 Salaries Account after all projected payroll obligations have been satisfied through the end of the fiscal year. These funds are available primarily as a result of police officer vacancies throughout FY 2026 and would not require additional funding or a budget amendment. The Department is currently operating with four (4) vacant police officer positions. While these vacancies have generated salary savings, they have also increased workload demands on existing personnel and created recruitment and retention challenges. The law enforcement employment market within the region has become increasingly competitive. Multiple surrounding agencies have",
,partial_context_only,{},XRESULT-bce5fcb77b0cf816066bccb8,unclear,16.00,remove from claim evidence; preserve lineage,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_002,"{""canonical_record_key"":""obs:EXTOBS-1714b3c576e5433e808a6ea1"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/77/EXTPAYLOAD-1231c367abf0fb24632246af.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""16.00"",""safety_value"":""""}",cog_2025_170299,"[""core"",""staffing""]",2026,downgraded_to_context,staffing_hypothesis_candidate,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-01bde29eb5c26976b8f5825f,"The retained value and coordinate are verified, but source-local context does not resolve all dimensions required for the proposed analytical role.",unclear,"{""character_end"":""718508"",""character_start"":""718503"",""column"":"""",""page"":""416"",""row"":"""",""table_id"":""""}",774cc4b4df631ca8e0981d1a612e2f823a0a1caddbdfc00dcb89c9eb32484082,EXTSOURCE-1231c367abf0fb24632246af,retained source EXTPAYLOAD-1231c367abf0fb24632246af,,NJ,contextualizes_claim,"All Funds) $1,095,700 $1,799,077 $1,179,803 ($619,274) -34.4% Total Program FTEs 5.00 4.00 4.00 0.00 0.0% Expenditures by Character FY 2024 Actual FY 2025 Approved FY 2026 Approved $ Change 2025 - 2026 % Change 2025 - 2026 Personnel $5,110,979 $3,180,587 $2,763,673 ($416,914) -13.1% Non-Personnel $1,450,076 $1,254,696 $1,710,291 $455,595 36.3% Total Program Expenditures (All Funds) $6,561,055 $4,435,283 $4,473,964 $38,681 0.9% Total Program FTEs 16.00 18.00 18.00 0.00 0.0% City of Alexandria FY 2026 Approved Budget 14.38 === PAGE 410 === C I T Y O F A L E X A N D R I A , V I R G I N I A Fire Department Program Description: This program provides employee professional development to ensure adequately trained new and current personnel. EMPLOYEE PROFESSIONAL DEVELOPMENT FIRE, EMS, AND SPECIAL OPERATIONS RESPONSE Program Description: This program provides special operations such a",
,strong_bounded_context,{},XRESULT-e7cd2d4f6851ed99c0879793,police,24.7,retain only within reviewed boundary,,,,cross_exam_lane_002,"{""canonical_record_key"":""staffing:EXTRECON-5e09d52a8182c00ed6dd8506"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/3f/EXTPAYLOAD-bff57724106d07db80fe93d3.txt.gz""}",MECH-06,"{""denominator"":"""",""non_safety_value"":"""",""numerator"":"""",""raw_value"":""24.7"",""safety_value"":""""}",cog_2025_170801,"[""strict_staffing_channel_universe""]",undated,upheld_with_narrower_wording,supports_safety_pressure_channel,staffing_channel_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-021c982f4702db15fba8d26a,"The source-local context supports the side and staffing type, but the record is descriptive channel-consistent evidence rather than an explicit causal response.",police,"{""character_end"":""151248"",""character_start"":""151244"",""column"":"""",""page"":""91"",""row"":"""",""table_id"":""""}",3f2c815902ec5375f0f620c8e397662b4d3cc4478fa8dfe090b4401095eba9c4,EXTSOURCE-bff57724106d07db80fe93d3,retained source EXTPAYLOAD-bff57724106d07db80fe93d3,descriptive_channel_consistent,,contextualizes_claim,"ld under the supervision of a senior patrol officer. Those recruits currently in field-training are expected to complete that training by March 2025. Total non-deployable officers and vacancies total 55 FTE’s, or 6.8 percent, as of September 30, 2024. Non-sworn police department personnel are budgeted at 208 FTE’s, with 172 filled, creating a vacancy of 36 positions, or 17.3 percent. Approximately 66 out of the 267 current vacancies, or 24.7 percent of vacancies, are in the police department. The fire department has 743 FTE uniformed officers budgeted, and currently, 722 of those positions are filled. As of September 30, 2024, there were 21 uniformed vacancies in the fire department, 51 recruits going through the fire academy, as well as approximately 24 employees on long-term injured-on-duty disability, for an effective vacancy of 96 FTE’s or 12.9 percent of the department",
,partial_context_only,{},XRESULT-954997164e5e048e1df481d5,unclear,5,remove from claim evidence; preserve lineage,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_002,"{""canonical_record_key"":""obs:EXTOBS-d3b046c7aacf41887177ad2d"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/db/EXTPAYLOAD-192eb6de98e2463e1e849669.txt.gz""}",MECH-09,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""5"",""safety_value"":""""}",cog_2025_137163,"[""core"",""staffing""]",2015,downgraded_to_context,staffing_hypothesis_candidate,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-02c68a8c42e572aecd720d0a,"The retained value and coordinate are verified, but source-local context does not resolve all dimensions required for the proposed analytical role.",unclear,"{""character_end"":""493751"",""character_start"":""493750"",""column"":"""",""page"":""241"",""row"":"""",""table_id"":""""}",db3b1bd9cfa61a78e15aa4a0a274dbdb449fe4147ad5c547f5a8b848b179fa57,EXTSOURCE-192eb6de98e2463e1e849669,retained source EXTPAYLOAD-192eb6de98e2463e1e849669,,AK,contextualizes_claim,"on Division is responsible for the department’s short and long range capital projects planning, administration of the department’s budget, the effective distribution of the department’s resources and professional guidance to each division. PERSONNEL: FYE 13 FYE 14 FYE 14 FYE 14 FYE 15 ACTUAL ORIGINAL REVISED ESTIMATE ADOPTED Full-time Positions 5 5 5 5 5 Part-time Positions 0 0 0 0 0 Total Budgeted Positions 5 5 5 5 5 EXPENDITURES: FYE 13 FYE 14 FYE 14 FYE 14 FYE 15 ACTUAL ORIGINAL REVISED ESTIMATE ADOPTED Salaries & Benefits 398,292 399,702 399,702 399,702 408,401 Supplies & Materials 5,190 3,977 6,522 6,522 4,147 Services & Maintenance 149,600 172,585 172,997 158,052 182,101 Internal Services 15,050 14,959 14,959 14,873 15,481 Capital Equipment 0 3,600 3,600 3,600 0 Subtotal 568,133 594,823 59",
,partial_context_only,{},XRESULT-f665079fb9174f2b51933539,unclear,1,remove from claim evidence; preserve lineage,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_002,"{""canonical_record_key"":""obs:EXTOBS-d4ad5b0d3cf13cb0a21c4ac7"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a8/EXTPAYLOAD-6a21d9c60eadbf497c39467e.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""1"",""safety_value"":""""}",cog_2025_170530,"[""core"",""staffing""]",undated-source-B4X2500LIVE-20260729-006401,downgraded_to_context,staffing_hypothesis_candidate,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-03cd6227963dd2a19d7b6a42,"The retained value and coordinate are verified, but source-local context does not resolve all dimensions required for the proposed analytical role.",unclear,"{""character_end"":""290043"",""character_start"":""290042"",""column"":"""",""page"":""193"",""row"":"""",""table_id"":""""}",a8abf14e8033a226fadf75408732ae16f86fd1df67165d59fa522be7b2aa05f9,EXTSOURCE-6a21d9c60eadbf497c39467e,retained source EXTPAYLOAD-6a21d9c60eadbf497c39467e,,NY,contextualizes_claim,"36 1 37 1 37 1 37 1 0 0 JC41350-PROG COOR -EMER MGT- 10 2 10 2 10 2 10 2 0 0 JC07110-ADMIN ASSISTANT 9 1 9 1 9 1 9 1 0 0 JC07160-ADMIN ANALYST 2 11 2 11 2 11 2 11 2 0 0 JC15190-SENIOR PLANNER EM 11 1 11 1 0 1 JC41310-PROG ASST EMERG MNG 10 1 10 1 10 1 10 1 0 0 JC42290-CODES ENF OFFICER 11 1 11 1 11 1 11 1 0 0 JC41340-DIR OF EMER MNG FIRE 33 1 35 1 35 1 35 1 0 0 JC01750-EXEC SECRETARY 26 1 26 1 26 1 26 1 0 0 Total Authorized Positions 12 12 13 13 1 Human Services Section 4 Page 14 === PAGE 191 === Program Narrative D38-Emergency Management 2023 Adopted Gross Appropriations Local Dollars Staffing D38-Emergency Management 3,634,858 2,607,170 12 D3810000000-Emergency Management (Administration) 3,018,664 2,076,387 9 D3820000000-Fire Bureau 337,045 328,634 2 D3830000000-Emergency Medical Service Bureau 279,149 202,149 1 Human Services Section 4 Page 15 === PAGE 192 === Emergency Management",
,partial_context_only,{},XRESULT-0dd63598d064ae174482f03f,unclear,2,remove from claim evidence; preserve lineage,none unless an existing documentary calculation is explicitly carried,,,cross_exam_lane_002,"{""canonical_record_key"":""obs:EXTOBS-47cbfc6133e45da978372b19"",""context_basis"":""exact_character_window"",""source_accessible"":true,""source_pointer"":""artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/7a/EXTPAYLOAD-dbee94a867271abe440b6a9e.txt.gz""}",,"{""denominator"":""see linked analytical result"",""non_safety_value"":"""",""numerator"":""see linked analytical result"",""raw_value"":""2"",""safety_value"":""""}",cog_2025_160809,"[""core"",""staffing""]",undated-source-B4X2500LIVE-20260729-009821,downgraded_to_context,staffing_hypothesis_candidate,external_core_record,4ddf318975645fbe7e36d0e2f5db9604f4f276d2ac7f269c7353f9a141007d96,,,XREVIEW-04eb268d0acdb68c73ec393f,"The retained value and coordinate are verified, but source-local context does not resolve all dimensions required for the proposed analytical role.",unclear,"{""character_end"":""2166856"",""character_start"":""2166855"",""column"":"""",""page"":""336"",""row"":"""",""table_id"":""""}",7afc99bcf6b464694aefa40758ec11cc99739ab4cad66474e99fe66715f6b4ef,EXTSOURCE-dbee94a867271abe440b6a9e,retained source EXTPAYLOAD-dbee94a867271abe440b6a9e,,AK,contextualizes_claim,"old size ....................... 2 . 5 3 ( X ) Average family size ........................... 3 . 0 9 ( X ) HOUSING OCCUPANCY Total housing units....................... 3 5 2 100.0 O c c u p i e dh o u s i n gu n i t s....................... 2 7 8 7 9 . 0 Vacant housing units.......................... 7 4 2 1 . 0 For seasonal, recreational, or occasional use ............................ 4 9 1 3 . 9 Homeowner vacancy rate (percent) ............. 2 . 5 ( X ) Rental vacancy rate (percent) .................. 2 . 1 ( X ) HOUSING TENURE Occupied housing units .................. 2 7 8 100.0 O w n e r - o c c u p i e dh o u s i n gu n i t s................. 2 3 1 8 3 . 1 Renter-occupied housing units ................. 4 7 1 6 . 9 Average household size of owner-occupied units. 2.47 (X) Average household size of renter-occupied units . 2.81 (X) - Represents zero or rounds to zero. (X) Not applica",
