whole_corpus_claim_record_id,unit_type,source_layer,original_record_id,municipality,state,region,source_family,cba_non_cba_hint,side_label,claim_family,claim_boundary,qa_status,mechanism_class,period_label,pay_basis,source_lineage,caveats,no_final_national_claim,no_causal_claim
WCCR-d602d6a78957e925b2b5b3f8,rated_span,initial_4726_source_pipeline,WCRS-07c1e6eb87e485eec1afdaa2,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_028611b71918af6461eeb646,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-0d86105d63c5f37b4d6a81b1,rated_span,initial_4726_source_pipeline,WCRS-57ef64e193b2c9712ab4d4bd,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_04f9eb5b8890fe6d4dc6eeb3,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-aa92f24c78f5c7449d933873,rated_span,initial_4726_source_pipeline,WCRS-83fe1aea553f0f1f1ea0d299,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_08ba3bf246af07a17259fec9,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-7462ff8dfbd9a1de76771b80,rated_span,initial_4726_source_pipeline,WCRS-d493ead1d29b8eb9cd7686de,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_0b01ff022d0f0db2fd3d39e4,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-79bd3efc4dc3694f6278589b,rated_span,initial_4726_source_pipeline,WCRS-e2315c91c7d8fc7ec643660f,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_0d5423a9fc2b1796a80db643,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-48547506126e622047ad6e61,rated_span,initial_4726_source_pipeline,WCRS-9dd2952baa9dd046efb12277,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_0e10b5a23bbbcaa59c0790d7,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-018b8b1eae1ac5468c2eda97,rated_span,initial_4726_source_pipeline,WCRS-6cb57f261774516f3c80e650,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_0ea1e6031f1122e4a19f7e7f,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-4b99532f9cdfa4bf4d4e23cc,rated_span,initial_4726_source_pipeline,WCRS-99b9a70436af941a0602942b,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_11b9469f7e488b96f3668b4b,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-9f1289026aaec2a0d1304289,rated_span,initial_4726_source_pipeline,WCRS-407364475ff87a5cda7e8214,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_1354b624c86e695a74ab7e12,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-d4257511fb0003d8c6e01a86,rated_span,initial_4726_source_pipeline,WCRS-1e24841ef4558a8995e8ee68,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_137c25c4b1646df9e12670f2,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-e11a889026990d88b666b420,rated_span,initial_4726_source_pipeline,WCRS-a28a049a0c4648219adc2da3,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_14861bf513159c968b4ed4f1,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-045d05777fb8c7ae6d5860b1,rated_span,initial_4726_source_pipeline,WCRS-b52392df823398a8c5349bf6,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_14b21c0930fb05307f925a88,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-3f7fdd304dba83336c02bc38,rated_span,initial_4726_source_pipeline,WCRS-3b015f19a8af67cac65f02f7,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_154a91a7063a07ac5e9c604b,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-db321e6e1789b1f589217e2d,rated_span,initial_4726_source_pipeline,WCRS-397b9ac83d466c6f7989fa5a,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_167492b8c58e063c9f780333,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-1e783678bedbc6e2a896d3da,rated_span,initial_4726_source_pipeline,WCRS-0c0663b36d498b242ec7fd23,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_17f59d483c418dd4610899a0,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-0767c32f023a45de54769d87,rated_span,initial_4726_source_pipeline,WCRS-9712eaeffe33cbf380c77f88,,,,,,remains_unclear,qualitative_mechanism,claim_ready,provisional_causal_candidate,non_base_compensation,,,lobs_18f4212214cbb54d2e21f720,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-16047ab8d2427285ff5d26b6,rated_span,initial_4726_source_pipeline,WCRS-fe72ab2a22a133143d11c222,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_19e13aeaceb57713ab40d13a,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-8362e1828f96500428688b4d,rated_span,initial_4726_source_pipeline,WCRS-b348994d74eacd2a0bf73adb,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_1cc32e05e8744817ddf06d6c,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-e111298c85ce36092e5b27e1,rated_span,initial_4726_source_pipeline,WCRS-e8a50b1b6acb250a7d72720b,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_21a5a79843616d2edbe24023,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-2f2793817657ed2d3049a89a,rated_span,initial_4726_source_pipeline,WCRS-a766b08af4b2169f2786e5ab,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_23650e2a3d03ca4b72dc3e3a,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-785956a37cbbb642804d8dec,rated_span,initial_4726_source_pipeline,WCRS-62fe941cbe1616f42ef16114,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_24d4b840799b0808ad196e9e,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-965b661d115211e8300470fc,rated_span,initial_4726_source_pipeline,WCRS-a5a4daa7d5380261ec050e00,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_26283099ba7e400b8801e1d8,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
WCCR-274d90fda59c0df8ca5f7f8f,rated_span,initial_4726_source_pipeline,WCRS-ebf2291be35a5dc606ba62f3,,,,,,remains_unclear,qualitative_mechanism,claim_ready,not_claim_ready,weak_or_no_claim_support,,,lobs_279285820a4d0b101bd68120,"[""not_clear_side_anchor"",""internal_boundary_only""]",true,true
