claim_supported,counterexample_or_caveat,figure_id,intended_takeaway,potential_misreading,unresolved_visual_question,user_review_status
[],Counts describe distinct source and extraction units. Native PDF pages and the separate text-page equivalent are reported independently; neither is a measure of analytical support.,F01,"Large source volume, with analytical usefulness varying by layer","A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
[],"The pipeline preserves incompatible, unresolved, and conditional records instead of forcing them into clean estimates. Stage counts use different declared units and should not be read as a single loss rate.",F02,Filtering preserves incompatible and unresolved evidence instead of forcing it into estimates,"A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""UNSUP-02""]","State coverage is the share of eligible municipalities reached by the scout. It measures discovery coverage, not evidence quality, claim support, or population representativeness.",F03,Coverage is the share of eligible municipalities reached—not raw source volume,"A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""CLAIM-D""]","The 18,358 staffing units are dominated by vacancy and position-reduction records. These are source-specific levels or changes and do not by themselves identify a staffing trend or causal effect.",F04,Most retained staffing units describe vacancies or position reductions,"A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""CLAIM-D""]","Seven reviewed records directly support a staffing channel and 216 are descriptively consistent; 18,135 remain contextual, insufficient, or unresolved. Counts describe evidence status, not causal effects or national prevalence.",F05,A small reviewed subset directly or descriptively fits the proposed channels,"A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
[],"Staffing evidence reaches 511 municipalities, but coverage is geographically uneven. Counts are unique municipalities represented in retained staffing records, not state-level staffing rates.",F06,"Staffing records span 511 municipalities, unevenly across states","A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""CLAIM-E"", ""CLAIM-F""]","Thirty-eight sequences support bounded lifecycle descriptions; 1,230 remain on hold. Nineteen adopted sequences have no paid stage observed in the retained evidence—this does not mean they were never paid.",F07,"Adoption, amendment, implementation, and payment remain distinct stages","A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""CLAIM-A"", ""CLAIM-C"", ""CLAIM-F""]","Administrative corroboration is shown separately by unique source, municipality, and root compensation event. The measures describe retained coverage and must not be combined or interpreted as mechanism prevalence.",F08,"Coverage is shown separately for sources, municipalities, and root events","A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""CLAIM-B"", ""CLAIM-G"", ""UNSUP-05""]","Unit-cycle weighted documentary records show a safety-leaning step-progression cell, mixed across-board results, and sparse COLA comparisons. The cells are small and nonrepresentative; there is no uniform safety growth advantage.",F09,Step progression leans safety; across-board results are mixed; COLA evidence is sparse,"A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""CLAIM-G"", ""CLAIM-H"", ""UNSUP-01""]","Ten bounded local comparisons include five safety-favorable, four non-safety-favorable, and one neutral result. Role and period caveats remain, so the examples cannot be averaged into a national wage gap.",F10,"Five favor safety, four favor non-safety, and one is neutral","A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""CLAIM-G"", ""CLAIM-H""]","Seven retained counterexamples and countervailing records directly limit broad claims. They are included as analytical evidence, not as decorative caveats, and do not represent a prevalence estimate.",F11,Seven retained records directly challenge or narrow broad interpretations,"A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
[],"Most external records could not enter clean wage comparisons because side, basis, identity, or conflict gates were unresolved. Correct exclusion protects comparability; it is not evidence of a wage effect.",F12,"Unresolved side, basis, identity, and conflict holds remain outside clean comparisons","A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""CLAIM-H"", ""UNSUP-06""]","The matrix separates reviewed Tier 1, Tier 2, and Tier 3 support from counterexamples and conflicts for all 14 claims. Final classes remain bounded by the adjudicated wording.",F13,Precise support is rare; mechanism support and explicit limitations dominate,"A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
[],"Fixed 50-km hexagons count deduplicated retroactive-pay implementation events by side. Safety and non-safety panels use the same scale; concentration is documentary coverage, not population prevalence.",F14,"Fixed-grid event counts show documentary concentration, not population prevalence","A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
[],"The canonical crosswalk identifies 468 urban, 682 rural, and 290 unknown municipalities. Event counts are retained-document distribution, not urban/rural prevalence, and unknown status is not inferred.",F15,Unknown urbanicity remains visible rather than inferred,"A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
"[""UNSUP-01"", ""UNSUP-02"", ""UNSUP-03"", ""UNSUP-04"", ""UNSUP-05"", ""UNSUP-06""]","One claim is supported, one conditional, five mechanism-supported, one mixed, and six unsupported. The project does not estimate a national wage gap, representative prevalence, regression relationship, or causal effect.",F16,"The project supports bounded mechanism findings, not national or causal estimates","A national wage gap, representative prevalence, regression result, or causal effect.",None before user review.,pending user review
