figure_id,title,caption,word_count,category
mechanism-across-the-board-raise,Across The Board Raise,"This map shows 373 distinct documented across the board raise implementation events across 298 municipalities in 34 states. The same general increase applied across covered roles or classifications. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",61,mechanism
mechanism-bargaining-leverage,Bargaining Leverage,"This map shows 17 distinct documented bargaining leverage implementation events across 15 municipalities in 6 states. Evidence that negotiating leverage shaped compensation terms. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",56,mechanism
mechanism-base-wage-change,Base Wage Change,"This map shows 120 distinct documented base wage change implementation events across 98 municipalities in 19 states. A change to the recurring base wage or salary rate. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,mechanism
mechanism-benefit-cost-change,Benefit Cost Change,"This map shows 65 distinct documented benefit cost change implementation events across 53 municipalities in 15 states. A change in benefit value, employee contributions, or employer benefit costs. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",61,mechanism
mechanism-budget-appropriation,Budget Appropriation,"This map shows 64 distinct documented budget appropriation implementation events across 58 municipalities in 24 states. A budget allocation that authorized or funded compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",57,mechanism
mechanism-budget-pay-plan-process,Budget Pay Plan Process,"This map shows 617 distinct documented budget pay plan process implementation events across 391 municipalities in 31 states. A budget or pay-plan process that formally set or revised compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,mechanism
mechanism-classification-band-change,Classification Band Change,"This map shows 43 distinct documented classification band change implementation events across 40 municipalities in 13 states. A change to job classification, pay grade, range, or band. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,mechanism
mechanism-classification-civil-service,Classification Civil Service,"I found 4 documented classification civil service implementation events across 4 municipalities in 2 states. Civil-service or classification rules that structure pay placement or progression. The evidence is too sparse for a density pattern, so I show the exact locations instead. This establishes that the mechanism appears in the retained evidence; it does not show how common it is or how much it changed wages.",65,mechanism
mechanism-cola-cpi-adjustment,COLA CPI Adjustment,"This map shows 79 distinct documented cola cpi adjustment implementation events across 61 municipalities in 23 states. A cost-of-living adjustment, sometimes linked to inflation or a price index. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",61,mechanism
mechanism-collective-bargaining,Collective Bargaining,"This map shows 17 distinct documented collective bargaining implementation events across 15 municipalities in 6 states. Negotiation between a public employer and represented employees over compensation. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",59,mechanism
