mechanism,weighting_method,evidence_lean,wage_growth_pathway,dashboard_treatment,police_mean_growth_percent,police_median_growth_percent,police_unit_cycle_count,police_municipality_count,police_cycle_count,police_small_n,fire_mean_growth_percent,fire_median_growth_percent,fire_unit_cycle_count,fire_municipality_count,fire_cycle_count,fire_small_n,combined_safety_mean_growth_percent,combined_safety_median_growth_percent,combined_safety_unit_cycle_count,combined_safety_municipality_count,combined_safety_cycle_count,combined_safety_small_n,non_safety_mean_growth_percent,non_safety_median_growth_percent,non_safety_unit_cycle_count,non_safety_municipality_count,non_safety_cycle_count,non_safety_small_n,all_safety_mean_growth_percent,all_safety_median_growth_percent,all_safety_unit_cycle_count,all_safety_municipality_count,all_safety_cycle_count,all_safety_small_n
across_the_board_percentage_raise,unit_cycle_weighted_average,mixed,Direct recurring percentage changes move wage schedules between cycles; fire and non-safety means are similar and both exceed police in the current layer.,main_chart,4.019118,3.0,34,27,34,False,6.315385,3.0,13,9,13,False,,,0,0,0,True,6.055556,3.0,9,7,8,False,4.654255,3.0,47,34,46,False
COLA_CPI,unit_cycle_weighted_average,insufficient_cross_side,"Contract-indexed or fixed COLA language creates recurring schedule growth, but the non-safety and fire cells are below the cross-side display threshold.",main_chart_with_warning,3.345455,3.0,11,10,11,False,2.75,2.75,2,2,2,True,,,0,0,0,True,3.2,3.2,1,1,1,True,3.253846,3.0,13,12,13,False
step_schedule_progression,unit_cycle_weighted_average,safety_police_lean_fragile,"Step ladders compound scheduled progression; the safety mean is higher, but the non-safety comparator is only three unit-cycles from one municipality.",main_chart_with_warning,7.444444,5.0,9,8,9,False,,,0,0,0,True,,,0,0,0,True,2.75,2.75,3,1,3,False,7.444444,5.0,9,8,9,False
automatic_raise,unit_cycle_weighted_average,not_separately_estimable,"Specific automatic mechanisms are assigned to percentage, COLA/CPI, or step categories to avoid double counting.",technical_only,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True
implementation_retroactivity,unit_cycle_weighted_average,insufficient,The ledger contains timing evidence but no recurring-rate-eligible default observations.,technical_only,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True
bargaining_settlement,unit_cycle_weighted_average,context_only,No growth rate is directly attributed to settlement in the continuity ledger; institutional evidence remains separate context.,technical_only,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True
arbitration_factfinding,unit_cycle_weighted_average,context_only,No growth rate is directly attributed to arbitration or factfinding in the continuity ledger.,technical_only,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True
market_recruitment_retention,unit_cycle_weighted_average,context_only,No rate clears the attribution rule for a direct market/staffing growth estimate.,technical_only,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True
non_base_compensation,unit_cycle_weighted_average,not_rate_comparable,The current rate layer does not convert non-base components into comparable cycle growth percentages.,technical_only,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True
base_wage_schedule_change,unit_cycle_weighted_average,insufficient_mixed,Computed base-schedule continuity is valuable but small: non-safety clears the threshold while both safety subgroups remain small-n.,main_chart_computed_label,5.483256,5.483256,2,1,1,True,7.623648,7.623648,2,1,1,True,,,0,0,0,True,4.663158,3.014819,5,4,4,False,6.553452,6.984229,4,2,2,True
unknown_or_unattributed,unit_cycle_weighted_average,not_displayed,Unattributed changes are excluded from mechanism comparisons.,technical_only,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True,,,0,0,0,True
