auto_adjudication_id,calibration_id,gabriel_request_id,gabriel_backend,gabriel_model,request_status,prompt_sha256,prompt_chars,input_page_count,input_text_chars,prior_labels_in_prompt,raw_prompt_saved,raw_response_saved,response_chars,response_sha256,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_message,credential_value_saved,authorization_header_saved
auto_adj_b7d25f149c3d4e84e3ce,cal_01a57230b8158e19db8100b3,resp_01737b2ee5e1d436006a650ad8446481969dd6456beb6f5517,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,d8679020cabb74426b1356b14ee453e742630d3228b6e10ea67c2892fe782f61,6507,2,2436,False,False,False,645,3d90dde1feb8e07f45e51b1679584b9196482d3eb60134eea77e2b5ad322110a,1879,257,2136,3.211043,,,False,False
auto_adj_58c5823bf5fc3159970d,cal_045e7e8100647061f677cbed,resp_0a72ac6afad8ff6e006a650adb2de081958b5f90ab61e35dd6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,9f2a5b057312f0fe4ca2031cf47ffdc98402c8411424cd0528ee05140d1017d6,12101,5,6000,False,False,False,655,89156257f844029bf7f94b04dddb56a4ebd40509939319b83cd08b541178dde2,3635,281,3916,6.055781,,,False,False
auto_adj_c80b89ccec30fd995ab6,cal_04e9c405fa82bce92279cc76,resp_0cd9723e7417392f006a650ade44c48193a9c7744ad4c26912,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,a143b2b330068937974619ca8a6c7b2397f2233e04aca09ae57b4ff631a36a5e,12485,6,6000,False,False,False,661,85d7b529b5a4893c0c7f47ec5b65735b150005fd9a9dfb73f5b38127d846724e,3345,341,3686,9.787688,,,False,False
auto_adj_8dff2be8b1373ed7ba6d,cal_075c10415a94e03dadfb692f,resp_0b02f208ea5fc112006a650ae1f86481938fa3f1f13052c507,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,8ccbb0d72eaebfed406d04a7be170eca34cf3766266df8239dc7708866f92daa,11967,5,6000,False,False,False,689,c2e3d3a1cc17345b3260738e6145931ce839de414ac27d6e66c2b2b3d827f2bb,3258,188,3446,12.240957,,,False,False
auto_adj_38994d42409119b2f505,cal_0ccdac533aafb9416dffec65,resp_0ef01d0cefca905f006a650ae46a60819385ce7f639fce52d3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,53afc7870a18e7ea8566749b3ab94e1fbdac8928b897ecb03fdb49c5f389f629,12546,6,6000,False,False,False,696,51fe0ca4c7701469b6379b5815b38c7c3dfb1b132eadf3fc0bc2f645aab75db5,3052,333,3385,15.414416,,,False,False
auto_adj_f633dc7ac1b38921a7ea,cal_0d99791bdc0cd19c28d5f5de,resp_0303aa4dc2c19a80006a650ae797588197929a7bb13740b132,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,32f24cdf15566387512939595cae704166dd99fb9d92abccf9a8089314224f6b,12537,6,6000,False,False,False,604,d8af76a3cbea52b7aae4b148fcb41b386c85754d4c1816715b8650bc4a7f34fe,3197,229,3426,18.108672,,,False,False
auto_adj_a68f0def746e47fc78af,cal_0e71fee5856adca413c60d77,resp_0090a3d763dc83fb006a650aea47a481908061852afb3371fa,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,279fdf11422bc6fa8103baa86604f87645641a8abe6b72175bcf5f3bab342204,12499,6,6000,False,False,False,654,71fe27464424f83c0199aae31fcdafa9fbd46da2953d61846f329da32117487e,4629,319,4948,20.945557,,,False,False
auto_adj_d38c3cf767f1e0519b67,cal_20f83d208f858a0cf99daad1,resp_01728509549d72ec006a650aed22dc81969fc901f503940b48,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,18a5b684a62a686dccb2540c0994af814f7404db6a895e101769a6a00729cda8,4376,1,979,False,False,False,586,5600d0a1da0b67548883e6a998b1dc1c3e63c0d7331ee371feded1924528f75e,1556,254,1810,23.433901,,,False,False
auto_adj_beb21b20bc9523f24950,cal_211c78b8eb2cdd5520344d2c,resp_0be1ae318e0761b5006a650aefa250819091f6dfecf4dfd25e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,1dd9cfa32e1524987dca84de6972236496b7e1836efc7a09bde9bee83a014d4c,12402,6,6000,False,False,False,679,0aaf9b5d04a2c50b7b4927eb70505a265ddf6a1e062f13ae211b2dd0c5e91a92,3274,386,3660,26.873279,,,False,False
auto_adj_097485146f8d0ebcc38f,cal_2cc9c8211edf7dc1fc8bbd7c,resp_0081129ca8571768006a650af3145c819084e4e8a2a276b1c3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,357fe0bbae85ba807183b74a38497c86b6ba90079f7fab157e0b5b278d619f20,7363,3,2750,False,False,False,674,6a5e7ec56a3fb2dfed1afd27444b541faee6f551123ca17ecc751e1042ff7265,2126,216,2342,29.245087,,,False,False
