claim_id,claim_text,documentary_support_count,administrative_source_count,unique_municipality_count,unique_event_count,quantitative_evidence_count,qualitative_mechanism_evidence_count,staffing_evidence_count,implementation_evidence_count,growth_evidence_count,local_comparison_evidence_count,counterexample_count,conflict_count,unresolved_linkage_count,strongest_supporting_statistic,strongest_countervailing_statistic,mathematical_support_status,semantic_cross_examination_priority,limitation
CLAIM-A,"Safety compensation is exposed to recurring formal negotiation and impasse-resolution institutions that can lift wage floors, preserve leverage, and lock increases into agreements or awards.",1,0,pending semantic packet verification,event lineage preserved,0,1,0,0,0,0,6,266849,1493412,documentary growth and mechanism evidence; bounded by unit-specific denominator,zero compatible external wage and growth matches,mechanism_supported_only,high,"Internal bounded mechanism claim; no national prevalence, wage-gap estimate, or causal-effect estimate."
CLAIM-B,"Step, seniority, rank, and COLA structures embed recurring wage growth rather than requiring a wholly discretionary raise each year.",1,0,pending semantic packet verification,event lineage preserved,432,1,0,0,432,0,6,266849,1493412,documentary growth and mechanism evidence; bounded by unit-specific denominator,zero compatible external wage and growth matches,descriptively_supported,high,"Internal bounded mechanism claim; no national prevalence, wage-gap estimate, or causal-effect estimate."
CLAIM-C,"Safety compensation pressure extends beyond base pay because overtime, holidays, longevity, premiums, stipends, and allowances are structured compensation channels.",1,0,pending semantic packet verification,event lineage preserved,0,1,0,0,0,0,6,266849,1493412,documentary growth and mechanism evidence; bounded by unit-specific denominator,zero compatible external wage and growth matches,mechanism_supported_only,high,"Internal bounded mechanism claim; no national prevalence, wage-gap estimate, or causal-effect estimate."
CLAIM-D,"Recruitment, retention, and comparator pressure provides an explicit institutional justification for raising schedules or adding targeted premiums, with public-safety staffing making the channel especially salient in many records.",1,0,pending semantic packet verification,event lineage preserved,0,1,18358,0,0,0,6,266849,1493412,documentary growth and mechanism evidence; bounded by unit-specific denominator,zero compatible external wage and growth matches,mechanism_supported_only,high,"Internal bounded mechanism claim; no national prevalence, wage-gap estimate, or causal-effect estimate."
CLAIM-E,Retroactive effective dates and implementation provisions turn bargaining delay into payable increases and back pay instead of eliminating scheduled growth.,1,0,pending semantic packet verification,event lineage preserved,0,1,0,38,0,0,6,266849,1493412,documentary growth and mechanism evidence; bounded by unit-specific denominator,zero compatible external wage and growth matches,mechanism_supported_only,high,"Internal bounded mechanism claim; no national prevalence, wage-gap estimate, or causal-effect estimate."
CLAIM-F,"Council action, ordinances, budgets, pay plans, and classification systems translate compensation proposals into funded policy, while also imposing fiscal limits.",1,0,pending semantic packet verification,event lineage preserved,0,1,0,38,0,0,6,266849,1493412,documentary growth and mechanism evidence; bounded by unit-specific denominator,zero compatible external wage and growth matches,mechanism_supported_only,high,"Internal bounded mechanism claim; no national prevalence, wage-gap estimate, or causal-effect estimate."
CLAIM-G,"Non-safety units also receive bargaining, steps, COLAs, and pay-plan mechanisms; the defensible distinction is a reinforcing safety pressure bundle, not a claim that non-safety compensation lacks institutional growth channels.",1,0,pending semantic packet verification,event lineage preserved,432,1,0,0,432,0,6,266849,1493412,documentary growth and mechanism evidence; bounded by unit-specific denominator,zero compatible external wage and growth matches,mixed_or_countervailing,high,"Internal bounded mechanism claim; no national prevalence, wage-gap estimate, or causal-effect estimate."
CLAIM-H,The corpus supports the direction and operation of a safety wage-pressure story more strongly than it supports a clean global wage-gap or causal-effect estimate.,1,0,pending semantic packet verification,event lineage preserved,432,1,18358,38,432,21,6,266849,1493412,documentary growth and mechanism evidence; bounded by unit-specific denominator,zero compatible external wage and growth matches,mathematically_supported_bounded,high,"Internal bounded mechanism claim; no national prevalence, wage-gap estimate, or causal-effect estimate."
UNSUP-01,A national safety wage-gap estimate,0,0,0,0,0,0,0,0,0,0,0,266849,1493412,none,Matched city-cycle breadth and harmonized pay basis are insufficient.,unsupported_by_current_math,high,Matched city-cycle breadth and harmonized pay basis are insufficient.
UNSUP-02,A national prevalence estimate for any mechanism,0,0,0,0,0,0,0,0,0,0,0,266849,1493412,none,Evidence-unit counts are not population-weighted denominators.,unsupported_by_current_math,high,Evidence-unit counts are not population-weighted denominators.
UNSUP-03,A causal effect estimate of a mechanism,0,0,0,0,0,0,0,0,0,0,0,266849,1493412,none,No counterfactual identification design or treatment-effect analysis was run.,unsupported_by_current_math,high,No counterfactual identification design or treatment-effect analysis was run.
UNSUP-04,A regression-based claim,0,0,0,0,0,0,0,0,0,0,0,266849,1493412,none,No regression was run or authorized.,unsupported_by_current_math,high,No regression was run or authorized.
UNSUP-05,A precise claim that safety wages grow X percent faster,0,0,0,0,0,0,0,0,0,0,0,266849,1493412,none,Global wage-gap readiness fails.,unsupported_by_current_math,high,Global wage-gap readiness fails.
UNSUP-06,The mechanism caused an observed wage difference,0,0,0,0,0,0,0,0,0,0,0,266849,1493412,none,Documentary mechanism interpretation is not causal estimation.,unsupported_by_current_math,high,Documentary mechanism interpretation is not causal estimation.
